RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,1,465,,"GOYARD, NICOLAS",France,M,Foil,20-39M,00:32:19,
1,3,14,,"MORTEFON, PIERRE",France,M,Open,20-39M,00:32:57,
1,4,330,,"HUPPERT, WILLIAM",France,M,Foil,20-39M,00:32:58,
1,5,3,,"GOYARD, THOMAS",France,M,Foil,20-39M,00:33:02,
1,6,531,,"WAREMBOURG, NICOLAS",France,M,Open,40-59M,00:33:03,
1,7,752,,"COUSIN, ALEXANDRE",France,M,Open,20-39M,00:33:22,
1,8,192,,"ALBEAU, ANTOINE",France,M,Open,40-59M,00:33:43,
1,13,99,,"QUESTEL, ANTOINE",France,M,Open,20-39M,00:34:47,
1,14,819,,"MATHIS, ALEXIS",France,M,Foil,20-39M,00:34:53,
1,17,1220,,"JULES, LOHAN",France,M,Fin,20-39M,00:35:28,
1,18,6,,"BONTEMPS, JULIEN",France,M,Foil,40-59M,00:35:33,
1,19,1159,,"MERCEUR, BENOÎT",France,M,Open,20-39M,00:35:42,
1,20,338,,"MESTRE, ADRIEN",France,M,Foil,20-39M,00:35:44,
1,21,820,,"GUIRAUD, LUCAS",France,M,Foil,20-39M,00:35:48,
1,22,91,,"BORDES, CEDRIC",France,M,Open,20-39M,00:36:11,
1,22,665,,"BOURGEOIS, SÉBASTIEN",France,M,Open,20-39M,00:36:11,
1,25,10159,,"GENEVOIS, Armand",France,M,Foil,20-39M,00:36:26,
1,28,73,,"FASQUELLE, VICTOR",France,M,Fin,20-39M,00:36:55,
1,30,479,,"MURATEL, OSCAR",France,M,Foil,U20M,00:37:03,
1,31,585,,"KLAAIJSEN, DENNIS",France,M,Fin,40-59M,00:37:12,
1,32,101500,,"BOZEC, CLÉMENT",France,M,Open,20-39M,00:37:14,
1,33,38,,"GARANDEAU, NOE",France,M,Foil,U20M,00:37:20,
1,34,888,,"THIEME, JIMMY",France,M,Fin,20-39M,00:37:37,
1,35,10945,,"MACQUAERT, PIERRE",France,M,Open,20-39M,00:37:43,
1,36,619,,"CARFANTAN, OCTAVE",France,M,Open,U20M,00:38:04,
1,37,1129,,"ARNOUX, DAMIEN",France,M,Open,20-39M,00:38:08,
1,41,557,,"ASSORIN, MATHIEU",France,M,Foil,U20M,00:38:27,
1,42,592,,"LAUMOND, JOHANN",France,M,Fin,20-39M,00:38:34,
1,43,602,,"SAILLARD, NICOLAS",France,M,Open,20-39M,00:38:35,
1,44,171,,"LEMETEYER, JUSTINE",France,F,Open,17-30F,00:38:44,
1,49,29,,"BERNARD, OLIVIER",France,M,Open,40-59M,00:39:07,
1,50,250,,"EVRARD, CYRIL",France,M,Open,U20M,00:39:08,
1,51,10714,,"GUYADER, ALEXANDRE",France,M,Open,40-59M,00:39:23,
1,53,273,,"JOLY, XAVIER",France,M,Open,40-59M,00:39:36,
1,57,416,,"DREYFUS, TIMOTHÉ",France,M,Foil,U20M,00:39:54,
1,58,1322,,"MOUSSILMANI, CYRIL",France,M,Fin,40-59M,00:40:00,
1,60,410,,"LHUILLIER, MAXIME",France,M,Fin,20-39M,00:40:10,
1,62,422,,"CERVERA, DAMIEN",France,M,Fin,20-39M,00:40:14,
1,64,633,,"PIERBONI, LUCAS",France,M,Open,U20M,00:40:19,
1,66,101,,"DEVIME, LAURENT",France,M,Fin,40-59M,00:40:30,
1,68,775,,"COUSIN QUESTEL, DELPHINE",France,F,Open,31-45F,00:40:33,
1,69,973,,"CHAUMET-LAGRANGE, RENAUD",France,M,Fin,40-59M,00:40:34,
1,70,60,,"HOUDIER, FREDERIC",France,M,Fin,40-59M,00:40:35,
1,71,449,,"DALIBOT, MAËL",France,M,Foil,U20M,00:40:50,
1,74,684,,"GROUEIX, BASTIEN",France,M,Fin,U20M,00:41:05,
1,76,902,,"JOLY, ELIOT",France,M,Fin,U20M,00:41:24,
1,77,939,,"RUQUET, SIMON",France,M,Fin,20-39M,00:41:25,
1,78,1077,,"WILHELEM, BASILE",France,M,Fin,40-59M,00:41:26,
1,79,1284,,"COULIOU, ERWAN",France,M,Fin,40-59M,00:41:27,
1,80,824,,"ADAM, PIERRE",France,M,Foil,20-39M,00:41:28,
1,82,993,,"BARTHES, LEO",France,M,Open,U20M,00:41:52,
1,83,62,,"POSTEC, MANOA",France,M,Open,U20M,00:41:57,
1,84,118,,"MORTEFON, MARION",France,F,Open,17-30F,00:41:58,
1,85,801,,"HERMITANT, MARIN",France,M,Open,U20M,00:42:01,
1,86,1377,,"COUTURIER, MARION",France,F,Foil,17-30F,00:42:06,
1,87,135,,"SENICOURT, SÉBASTIEN",France,M,Fin,40-59M,00:42:14,
1,91,651,,"DI LELLO, THÉO",France,M,Open,20-39M,00:42:24,
1,93,488,,"ACHLIF, LENNY",France,M,Foil,U20M,00:42:39,
1,94,186,,"VENTURI, BASTIEN",France,M,Fin,20-39M,00:42:42,
1,95,1221,,"TORRES, LAURENT",France,M,Open,40-59M,00:42:43,
1,97,1199,,"HUAULT-HERNÁNDEZ, IVÁN",France,M,Fin,U16M,00:42:54,
1,98,462,,"BALEY, PIERRE",France,M,Fin,40-59M,00:42:55,
1,99,850,,"LEYGUE, PIERRE-OLIVIER",France,M,Foil,U20M,00:42:59,
1,100,166,,"TRAVERSA, THOMAS",France,M,Fin,20-39M,00:43:00,
1,101,643,,"LE BRIS, EDGAR",France,M,Fin,20-39M,00:43:01,
1,102,649,,"VILLIER, JIMMY",France,M,Open,40-59M,00:43:04,
1,103,23,,"RUEDA, ETIENNE",France,M,Open,U20M,00:43:06,
1,104,225,,"LAUBANEY, STEVE",France,M,Fin,20-39M,00:43:07,
1,105,1192,,"SCHMITZ, PIERRE",France,M,Foil,U20M,00:43:10,
1,106,206,,"BUET, FREDERIC",France,M,Fin,40-59M,00:43:12,
1,107,816,,"ROBERT, FABRICE",France,M,Fin,40-59M,00:43:13,
1,111,976,,"EDOUARD, PATRICE",France,M,Fin,40-59M,00:43:30,
1,113,673,,"BRANCATO, YANN",France,M,Open,20-39M,00:43:32,
1,115,810,,"BELBEOCH, CEDRIC",France,M,Fin,20-39M,00:43:40,
1,116,396,,"RENNESSON, ERIC",France,M,Fin,40-59M,00:43:43,
1,117,1121,,"MARCHAND, PIERRE",France,M,Fin,20-39M,00:43:45,
