RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
2,1052,1143,"KRETZSCHMAR, KLAUS",Germany,,M,Fin,40-59M,01:16:12,
2,1097,254,"BENTLEY, CHRIS",Germany,,M,Fin,40-59M,01:25:57,
2,1107,570,"STOEPKE, MALTE-LEANDER",Germany,,M,Fin,20-39M,01:33:15,
2,1121,246,"FORTENBACHER, FELIX",Germany,,M,Fin,40-59M,,DNF
2,1121,378,"FINKBEINER, MATTHIAS",Germany,,M,Fin,40-59M,,DNF
2,1121,783,"FILIPSKI, SEBASTIAN",Germany,,M,Fin,40-59M,,DNF
2,1121,883,"ZINKE, KLAUS",Germany,,M,Fin,60+M,,DNF
2,1121,1004,"ROSENDORFER, JACOB",Germany,,M,Fin,40-59M,,DNF
2,1121,1131,"HEIDE, MARKUS",Germany,,M,Fin,40-59M,,DNF
2,1121,101163,"GUTEWORT, FRANK",Germany,,M,Fin,40-59M,,DNF
2,1121,93,"LAUFER, ANDY",Germany,,M,Fin,40-59M,,DNS
2,1121,143,"MEIER, JAN",Germany,,M,Fin,60+M,,DNS
2,1121,319,"EMMANOUILIDIS, NIKOS",Germany,,M,Fin,40-59M,,DNS
2,1121,325,"EMMANOUILIDIS, PHILOS",Germany,,M,Fin,U20M,,DNS
2,1121,348,"LEHMANN, MARC",Germany,,M,Fin,40-59M,,DNS
2,1121,471,"SEITZ, FLORIAN",Germany,,M,Fin,40-59M,,DNS
2,1121,539,"RUFFERT, OLE MAXIMILIAN",Germany,,M,Fin,U20M,,DNS
2,1121,612,"MANNICH, ACHIM",Germany,,M,Fin,40-59M,,DNS
2,1121,658,"LINDENMAIER, LOVIS",Germany,,M,Fin,U20M,,DNS
2,1121,793,"PERSCHKE, TIMO",Germany,,M,Open,40-59M,,DNS
2,1121,835,"GEIGER, ULI",Germany,,M,Fin,40-59M,,DNS
2,1121,983,"HARTMANN, MARCEL",Germany,,M,Fin,40-59M,,DNS
2,1121,1040,"ROOS, MARTIN",Germany,,M,Fin,40-59M,,DNS
2,1121,1041,"WASCHITSCHEK, KAREL",Germany,,M,Open,40-59M,,DNS
2,1121,1082,"LINDENMAIER, NILS",Germany,,M,Fin,U16M,,DNS
2,1121,1160,"KULIGA, KLAUS",Germany,,M,Fin,60+M,,DNS
2,1121,1171,"HEINSOHN, SVEN",Germany,,M,Fin,40-59M,,DNS
2,1121,1357,"KNOELKE, ANDRÉ",Germany,,M,Fin,40-59M,,DNS
2,1121,1359,"FEUERBACH, KLAUS",Germany,,M,Open,40-59M,,DNS
2,1121,10900,"GROSS, REINHARD",Germany,,M,Open,40-59M,,DNS
3,23,7,"PRIEN, NICOLAS",Germany,,M,Open,20-39M,00:34:28,
3,99,59,"DEUS, CHRISTOPH",Germany,,M,Fin,20-39M,00:39:28,
3,185,401,"WINTER, MARKUS",Germany,,M,Open,40-59M,00:42:43,
3,261,1268,"BROZIO, MICHAEL",Germany,,M,Fin,40-59M,00:45:41,
3,263,497,"KUEMPEL, MARIO",Germany,,M,Fin,20-39M,00:45:45,
3,324,574,"GIELEN, CHRISTOPH",Germany,,M,Fin,20-39M,00:48:06,
3,353,221,"HOCK, MICHAEL",Germany,,M,Fin,40-59M,00:48:59,
3,364,1208,"GROSZER, PATRICK",Germany,,M,Open,40-59M,00:49:18,
3,414,210,"KOESTER, STEPHAN",Germany,,M,Open,40-59M,00:50:22,
3,452,78,"KOWALSKI, ROMAN",Germany,,M,Fin,40-59M,00:51:48,
3,504,491,"BÄUERLE, SIMON",Germany,,M,Fin,40-59M,00:53:48,
3,521,378,"FINKBEINER, MATTHIAS",Germany,,M,Fin,40-59M,00:54:15,
3,557,263,"KRENZEL, CHRISTOPH",Germany,,M,Fin,60+M,00:55:42,
3,565,905,"HAACK, KARSTEN",Germany,,M,Fin,60+M,00:56:01,
3,568,906,"ULLRICH, ANDREAS",Germany,,M,Fin,60+M,00:56:09,
3,584,276,"HEINRICHS, JÖRG",Germany,,M,Fin,40-59M,00:56:35,
3,611,1003,"SCHÜTZE, MARC",Germany,,M,Fin,40-59M,00:58:00,
3,688,257,"WAGNER, THOMAS",Germany,,M,Fin,40-59M,01:01:29,
3,706,511,"JÄGER, CHRISTIAN",Germany,,M,Open,40-59M,01:02:09,
3,707,520,"SCHLENKER, THOMAS",Germany,,M,Open,40-59M,01:02:12,
3,719,1013,"ALTMAYER, ELIAS",Germany,,M,Open,U20M,01:02:33,
3,733,1306,"PELZER, DIRK",Germany,,M,Open,40-59M,01:02:55,
3,761,555,"EHLERS, CEDRIC",Germany,,M,Fin,20-39M,01:04:04,
3,777,576,"LINDENMAIER, GOETZ",Germany,,M,Fin,40-59M,01:04:42,
3,784,101163,"GUTEWORT, FRANK",Germany,,M,Fin,40-59M,01:05:07,
3,809,621,"GLUTH, LEON",Germany,,M,Fin,20-39M,01:06:15,
3,819,694,"DANNINGER, BENEDIKT",Germany,,M,Fin,20-39M,01:06:33,
3,825,394,"KONRAD, PHILIPP",Germany,,M,Fin,20-39M,01:06:44,
3,847,970,"ALTMAYER, BORIS",Germany,,M,Open,40-59M,01:07:38,
3,863,594,"BREDOW, ANTON",Germany,,M,Fin,20-39M,01:08:51,
3,868,1183,"ELLENBERG, ARNE",Germany,,M,Fin,40-59M,01:09:13,
3,882,1362,"LÜBKERT, KAY",Germany,,M,Fin,40-59M,01:10:19,
3,906,246,"FORTENBACHER, FELIX",Germany,,M,Fin,40-59M,01:12:10,
3,908,254,"BENTLEY, CHRIS",Germany,,M,Fin,40-59M,01:12:12,
3,914,740,"MAYER-BERG, CHRISTOPHER",Germany,,M,Fin,40-59M,01:12:55,
3,933,1225,"MEEUW, FOLKERT",Germany,,M,Fin,60+M,01:15:19,
3,947,766,"VELLGUTH, BJÖRN",Germany,,M,Open,20-39M,01:16:55,
3,958,348,"LEHMANN, MARC",Germany,,M,Fin,40-59M,01:20:21,
3,983,112,"VOGL, STEFAN",Germany,,M,Fin,40-59M,,DNF
3,983,284,"REINKING, NIELS",Germany,,M,Fin,20-39M,,DNF
3,983,708,"KUEMPEL, PHILIPP",Germany,,M,Foil,40-59M,,DNF
3,983,783,"FILIPSKI, SEBASTIAN",Germany,,M,Fin,40-59M,,DNF
3,983,1143,"KRETZSCHMAR, KLAUS",Germany,,M,Fin,40-59M,,DNF
3,983,93,"LAUFER, ANDY",Germany,,M,Fin,40-59M,,DNS
3,983,143,"MEIER, JAN",Germany,,M,Fin,60+M,,DNS
3,983,282,"NEUSS, CHRISTIAN",Germany,,M,Fin,40-59M,,DNS
3,983,285,"REINKING, DIRK",Germany,,M,Fin,40-59M,,DNS
3,983,319,"EMMANOUILIDIS, NIKOS",Germany,,M,Fin,40-59M,,DNS
3,983,325,"EMMANOUILIDIS, PHILOS",Germany,,M,Fin,U20M,,DNS
3,983,471,"SEITZ, FLORIAN",Germany,,M,Fin,40-59M,,DNS
3,983,539,"RUFFERT, OLE MAXIMILIAN",Germany,,M,Fin,U20M,,DNS
3,983,570,"STOEPKE, MALTE-LEANDER",Germany,,M,Fin,20-39M,,DNS
3,983,612,"MANNICH, ACHIM",Germany,,M,Fin,40-59M,,DNS
3,983,658,"LINDENMAIER, LOVIS",Germany,,M,Fin,U20M,,DNS
3,983,793,"PERSCHKE, TIMO",Germany,,M,Open,40-59M,,DNS
3,983,835,"GEIGER, ULI",Germany,,M,Fin,40-59M,,DNS
3,983,883,"ZINKE, KLAUS",Germany,,M,Fin,60+M,,DNS
3,983,983,"HARTMANN, MARCEL",Germany,,M,Fin,40-59M,,DNS
3,983,1004,"ROSENDORFER, JACOB",Germany,,M,Fin,40-59M,,DNS
3,983,1040,"ROOS, MARTIN",Germany,,M,Fin,40-59M,,DNS
3,983,1041,"WASCHITSCHEK, KAREL",Germany,,M,Open,40-59M,,DNS
3,983,1082,"LINDENMAIER, NILS",Germany,,M,Fin,U16M,,DNS
3,983,1131,"HEIDE, MARKUS",Germany,,M,Fin,40-59M,,DNS
3,983,1160,"KULIGA, KLAUS",Germany,,M,Fin,60+M,,DNS
3,983,1171,"HEINSOHN, SVEN",Germany,,M,Fin,40-59M,,DNS
3,983,1246,"PRZYTARSKI, TORSTEN",Germany,,M,Fin,40-59M,,DNS
3,983,1356,"PAGEL, ANDREAS",Germany,,M,Fin,60+M,,DNS
3,983,1357,"KNOELKE, ANDRÉ",Germany,,M,Fin,40-59M,,DNS
3,983,1359,"FEUERBACH, KLAUS",Germany,,M,Open,40-59M,,DNS
3,983,10900,"GROSS, REINHARD",Germany,,M,Open,40-59M,,DNS
3,983,876,"BECKER, JAN WIM",Germany,,M,Open,U20M,,DSQ
3,983,1222,"WITTHUHN, MARIO",Germany,,M,Fin,40-59M,,DSQ
4,14,7,"PRIEN, NICOLAS",Germany,,M,Open,20-39M,00:33:36,
4,80,59,"DEUS, CHRISTOPH",Germany,,M,Fin,20-39M,00:38:53,
4,126,401,"WINTER, MARKUS",Germany,,M,Open,40-59M,00:41:30,
4,145,497,"KUEMPEL, MARIO",Germany,,M,Fin,20-39M,00:42:12,
4,228,210,"KOESTER, STEPHAN",Germany,,M,Open,40-59M,00:45:22,
4,230,1268,"BROZIO, MICHAEL",Germany,,M,Fin,40-59M,00:45:32,
4,245,876,"BECKER, JAN WIM",Germany,,M,Open,U20M,00:45:53,
4,274,1208,"GROSZER, PATRICK",Germany,,M,Open,40-59M,00:47:05,
4,351,621,"GLUTH, LEON",Germany,,M,Fin,20-39M,00:50:05,
4,384,221,"HOCK, MICHAEL",Germany,,M,Fin,40-59M,00:51:33,
4,428,574,"GIELEN, CHRISTOPH",Germany,,M,Fin,20-39M,00:53:04,
4,460,1004,"ROSENDORFER, JACOB",Germany,,M,Fin,40-59M,00:54:13,
4,469,1222,"WITTHUHN, MARIO",Germany,,M,Fin,40-59M,00:54:22,
4,474,276,"HEINRICHS, JÖRG",Germany,,M,Fin,40-59M,00:54:26,
4,543,491,"BÄUERLE, SIMON",Germany,,M,Fin,40-59M,00:56:24,
4,580,520,"SCHLENKER, THOMAS",Germany,,M,Open,40-59M,00:57:23,
4,581,263,"KRENZEL, CHRISTOPH",Germany,,M,Fin,60+M,00:57:25,
4,581,1183,"ELLENBERG, ARNE",Germany,,M,Fin,40-59M,00:57:25,
4,611,1306,"PELZER, DIRK",Germany,,M,Open,40-59M,00:58:16,
4,635,694,"DANNINGER, BENEDIKT",Germany,,M,Fin,20-39M,00:59:12,
4,651,906,"ULLRICH, ANDREAS",Germany,,M,Fin,60+M,00:59:36,
4,653,78,"KOWALSKI, ROMAN",Germany,,M,Fin,40-59M,00:59:42,
4,655,511,"JÄGER, CHRISTIAN",Germany,,M,Open,40-59M,00:59:44,
4,698,257,"WAGNER, THOMAS",Germany,,M,Fin,40-59M,01:01:06,
4,715,576,"LINDENMAIER, GOETZ",Germany,,M,Fin,40-59M,01:01:53,
4,783,1131,"HEIDE, MARKUS",Germany,,M,Fin,40-59M,01:04:15,
4,814,1362,"LÜBKERT, KAY",Germany,,M,Fin,40-59M,01:05:05,
4,828,594,"BREDOW, ANTON",Germany,,M,Fin,20-39M,01:06:03,
4,830,394,"KONRAD, PHILIPP",Germany,,M,Fin,20-39M,01:06:04,
4,836,555,"EHLERS, CEDRIC",Germany,,M,Fin,20-39M,01:06:24,
4,854,254,"BENTLEY, CHRIS",Germany,,M,Fin,40-59M,01:07:15,
4,888,708,"KUEMPEL, PHILIPP",Germany,,M,Foil,40-59M,01:09:49,
4,903,740,"MAYER-BERG, CHRISTOPHER",Germany,,M,Fin,40-59M,01:10:57,
4,934,766,"VELLGUTH, BJÖRN",Germany,,M,Open,20-39M,01:14:42,
4,936,970,"ALTMAYER, BORIS",Germany,,M,Open,40-59M,01:14:57,
4,943,1013,"ALTMAYER, ELIAS",Germany,,M,Open,U20M,01:16:16,
4,973,1143,"KRETZSCHMAR, KLAUS",Germany,,M,Fin,40-59M,01:21:53,
4,975,471,"SEITZ, FLORIAN",Germany,,M,Fin,40-59M,01:22:52,
4,993,570,"STOEPKE, MALTE-LEANDER",Germany,,M,Fin,20-39M,01:29:45,
4,1018,112,"VOGL, STEFAN",Germany,,M,Fin,40-59M,,DNF
4,1018,246,"FORTENBACHER, FELIX",Germany,,M,Fin,40-59M,,DNF
4,1018,282,"NEUSS, CHRISTIAN",Germany,,M,Fin,40-59M,,DNF
4,1018,285,"REINKING, DIRK",Germany,,M,Fin,40-59M,,DNF
4,1018,783,"FILIPSKI, SEBASTIAN",Germany,,M,Fin,40-59M,,DNF
4,1018,883,"ZINKE, KLAUS",Germany,,M,Fin,60+M,,DNF
4,1018,101163,"GUTEWORT, FRANK",Germany,,M,Fin,40-59M,,DNF
4,1018,93,"LAUFER, ANDY",Germany,,M,Fin,40-59M,,DNS
4,1018,143,"MEIER, JAN",Germany,,M,Fin,60+M,,DNS
4,1018,284,"REINKING, NIELS",Germany,,M,Fin,20-39M,,DNS
4,1018,319,"EMMANOUILIDIS, NIKOS",Germany,,M,Fin,40-59M,,DNS
4,1018,325,"EMMANOUILIDIS, PHILOS",Germany,,M,Fin,U20M,,DNS
4,1018,348,"LEHMANN, MARC",Germany,,M,Fin,40-59M,,DNS
4,1018,378,"FINKBEINER, MATTHIAS",Germany,,M,Fin,40-59M,,DNS
4,1018,539,"RUFFERT, OLE MAXIMILIAN",Germany,,M,Fin,U20M,,DNS
4,1018,612,"MANNICH, ACHIM",Germany,,M,Fin,40-59M,,DNS
4,1018,658,"LINDENMAIER, LOVIS",Germany,,M,Fin,U20M,,DNS
4,1018,793,"PERSCHKE, TIMO",Germany,,M,Open,40-59M,,DNS
4,1018,835,"GEIGER, ULI",Germany,,M,Fin,40-59M,,DNS
4,1018,905,"HAACK, KARSTEN",Germany,,M,Fin,60+M,,DNS
4,1018,983,"HARTMANN, MARCEL",Germany,,M,Fin,40-59M,,DNS
4,1018,1003,"SCHÜTZE, MARC",Germany,,M,Fin,40-59M,,DNS
4,1018,1040,"ROOS, MARTIN",Germany,,M,Fin,40-59M,,DNS
4,1018,1041,"WASCHITSCHEK, KAREL",Germany,,M,Open,40-59M,,DNS
4,1018,1082,"LINDENMAIER, NILS",Germany,,M,Fin,U16M,,DNS
4,1018,1160,"KULIGA, KLAUS",Germany,,M,Fin,60+M,,DNS
4,1018,1171,"HEINSOHN, SVEN",Germany,,M,Fin,40-59M,,DNS
4,1018,1225,"MEEUW, FOLKERT",Germany,,M,Fin,60+M,,DNS
4,1018,1246,"PRZYTARSKI, TORSTEN",Germany,,M,Fin,40-59M,,DNS
4,1018,1356,"PAGEL, ANDREAS",Germany,,M,Fin,60+M,,DNS
4,1018,1357,"KNOELKE, ANDRÉ",Germany,,M,Fin,40-59M,,DNS
4,1018,1359,"FEUERBACH, KLAUS",Germany,,M,Open,40-59M,,DNS
4,1018,10900,"GROSS, REINHARD",Germany,,M,Open,40-59M,,DNS
