RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,29,7,"PRIEN, NICOLAS",Germany,,M,Open,20-39M,00:37:02,
1,156,59,"DEUS, CHRISTOPH",Germany,,M,Fin,20-39M,00:46:01,
1,247,263,"KRENZEL, CHRISTOPH",Germany,,M,Fin,60+M,00:49:53,
1,260,221,"HOCK, MICHAEL",Germany,,M,Fin,40-59M,00:50:37,
1,293,497,"KUEMPEL, MARIO",Germany,,M,Fin,20-39M,00:52:38,
1,306,876,"BECKER, JAN WIM",Germany,,M,Open,U20M,00:53:09,
1,430,210,"KOESTER, STEPHAN",Germany,,M,Open,40-59M,00:58:25,
1,433,378,"FINKBEINER, MATTHIAS",Germany,,M,Fin,40-59M,00:58:32,
1,435,574,"GIELEN, CHRISTOPH",Germany,,M,Fin,20-39M,00:58:36,
1,489,905,"HAACK, KARSTEN",Germany,,M,Fin,60+M,01:00:35,
1,504,401,"WINTER, MARKUS",Germany,,M,Open,40-59M,01:00:57,
1,529,906,"ULLRICH, ANDREAS",Germany,,M,Fin,60+M,01:01:48,
1,537,257,"WAGNER, THOMAS",Germany,,M,Fin,40-59M,01:01:51,
1,539,284,"REINKING, NIELS",Germany,,M,Fin,20-39M,01:02:07,
1,542,1222,"WITTHUHN, MARIO",Germany,,M,Fin,40-59M,01:02:29,
1,568,1013,"ALTMAYER, ELIAS",Germany,,M,Open,U20M,01:03:50,
1,569,1003,"SCHÜTZE, MARC",Germany,,M,Fin,40-59M,01:03:51,
1,570,520,"SCHLENKER, THOMAS",Germany,,M,Open,40-59M,01:03:59,
1,617,285,"REINKING, DIRK",Germany,,M,Fin,40-59M,01:05:34,
1,650,1004,"ROSENDORFER, JACOB",Germany,,M,Fin,40-59M,01:07:03,
1,684,621,"GLUTH, LEON",Germany,,M,Fin,20-39M,01:08:56,
1,690,1306,"PELZER, DIRK",Germany,,M,Open,40-59M,01:09:35,
1,701,1131,"HEIDE, MARKUS",Germany,,M,Fin,40-59M,01:10:08,
1,709,1225,"MEEUW, FOLKERT",Germany,,M,Fin,60+M,01:10:34,
1,723,1208,"GROSZER, PATRICK",Germany,,M,Open,40-59M,01:11:13,
1,742,101163,"GUTEWORT, FRANK",Germany,,M,Fin,40-59M,01:12:10,
1,774,1246,"PRZYTARSKI, TORSTEN",Germany,,M,Fin,40-59M,01:14:01,
1,787,983,"HARTMANN, MARCEL",Germany,,M,Fin,40-59M,01:14:19,
1,817,694,"DANNINGER, BENEDIKT",Germany,,M,Fin,20-39M,01:16:17,
1,825,511,"JÄGER, CHRISTIAN",Germany,,M,Open,40-59M,01:16:56,
1,834,78,"KOWALSKI, ROMAN",Germany,,M,Fin,40-59M,01:17:48,
1,854,1183,"ELLENBERG, ARNE",Germany,,M,Fin,40-59M,01:19:07,
1,899,1268,"BROZIO, MICHAEL",Germany,,M,Fin,40-59M,01:22:25,
1,907,576,"LINDENMAIER, GOETZ",Germany,,M,Fin,40-59M,01:23:09,
1,909,394,"KONRAD, PHILIPP",Germany,,M,Fin,20-39M,01:23:15,
1,909,740,"MAYER-BERG, CHRISTOPHER",Germany,,M,Fin,40-59M,01:23:15,
1,915,348,"LEHMANN, MARC",Germany,,M,Fin,40-59M,01:23:56,
1,945,555,"EHLERS, CEDRIC",Germany,,M,Fin,20-39M,01:27:30,
1,947,491,"BÄUERLE, SIMON",Germany,,M,Fin,40-59M,01:27:31,
1,979,594,"BREDOW, ANTON",Germany,,M,Fin,20-39M,01:31:35,
1,985,471,"SEITZ, FLORIAN",Germany,,M,Fin,40-59M,01:33:00,
1,1002,254,"BENTLEY, CHRIS",Germany,,M,Fin,40-59M,01:34:50,
1,1041,766,"VELLGUTH, BJÖRN",Germany,,M,Open,20-39M,01:48:14,
2,22,7,"PRIEN, NICOLAS",Germany,,M,Open,20-39M,00:33:59,
2,69,59,"DEUS, CHRISTOPH",Germany,,M,Fin,20-39M,00:37:27,
2,171,401,"WINTER, MARKUS",Germany,,M,Open,40-59M,00:41:52,
2,227,263,"KRENZEL, CHRISTOPH",Germany,,M,Fin,60+M,00:44:32,
2,271,497,"KUEMPEL, MARIO",Germany,,M,Fin,20-39M,00:46:20,
2,277,221,"HOCK, MICHAEL",Germany,,M,Fin,40-59M,00:46:25,
2,307,876,"BECKER, JAN WIM",Germany,,M,Open,U20M,00:47:20,
2,318,1208,"GROSZER, PATRICK",Germany,,M,Open,40-59M,00:47:41,
2,327,210,"KOESTER, STEPHAN",Germany,,M,Open,40-59M,00:48:02,
2,346,1268,"BROZIO, MICHAEL",Germany,,M,Fin,40-59M,00:48:38,
2,459,276,"HEINRICHS, JÖRG",Germany,,M,Fin,40-59M,00:51:43,
2,487,78,"KOWALSKI, ROMAN",Germany,,M,Fin,40-59M,00:52:42,
2,515,284,"REINKING, NIELS",Germany,,M,Fin,20-39M,00:53:22,
2,539,491,"BÄUERLE, SIMON",Germany,,M,Fin,40-59M,00:54:16,
2,562,511,"JÄGER, CHRISTIAN",Germany,,M,Open,40-59M,00:55:18,
2,575,574,"GIELEN, CHRISTOPH",Germany,,M,Fin,20-39M,00:55:52,
2,621,520,"SCHLENKER, THOMAS",Germany,,M,Open,40-59M,00:57:31,
2,652,1222,"WITTHUHN, MARIO",Germany,,M,Fin,40-59M,00:58:30,
2,676,1306,"PELZER, DIRK",Germany,,M,Open,40-59M,00:59:12,
2,684,905,"HAACK, KARSTEN",Germany,,M,Fin,60+M,00:59:22,
2,684,1003,"SCHÜTZE, MARC",Germany,,M,Fin,40-59M,00:59:22,
2,725,257,"WAGNER, THOMAS",Germany,,M,Fin,40-59M,01:00:45,
2,743,906,"ULLRICH, ANDREAS",Germany,,M,Fin,60+M,01:01:14,
2,760,1356,"PAGEL, ANDREAS",Germany,,M,Fin,60+M,01:01:51,
2,775,621,"GLUTH, LEON",Germany,,M,Fin,20-39M,01:02:20,
2,787,694,"DANNINGER, BENEDIKT",Germany,,M,Fin,20-39M,01:02:52,
2,813,285,"REINKING, DIRK",Germany,,M,Fin,40-59M,01:04:05,
2,848,576,"LINDENMAIER, GOETZ",Germany,,M,Fin,40-59M,01:05:33,
2,865,1246,"PRZYTARSKI, TORSTEN",Germany,,M,Fin,40-59M,01:06:26,
2,879,394,"KONRAD, PHILIPP",Germany,,M,Fin,20-39M,01:07:05,
2,899,1183,"ELLENBERG, ARNE",Germany,,M,Fin,40-59M,01:07:42,
2,942,1013,"ALTMAYER, ELIAS",Germany,,M,Open,U20M,01:09:18,
2,946,766,"VELLGUTH, BJÖRN",Germany,,M,Open,20-39M,01:09:30,
2,958,594,"BREDOW, ANTON",Germany,,M,Fin,20-39M,01:09:52,
2,965,1362,"LÜBKERT, KAY",Germany,,M,Fin,40-59M,01:10:20,
2,980,555,"EHLERS, CEDRIC",Germany,,M,Fin,20-39M,01:11:02,
2,985,708,"KUEMPEL, PHILIPP",Germany,,M,Foil,40-59M,01:11:16,
2,990,112,"VOGL, STEFAN",Germany,,M,Fin,40-59M,01:11:35,
2,996,1225,"MEEUW, FOLKERT",Germany,,M,Fin,60+M,01:11:51,
2,1012,282,"NEUSS, CHRISTIAN",Germany,,M,Fin,40-59M,01:13:02,
2,1022,740,"MAYER-BERG, CHRISTOPHER",Germany,,M,Fin,40-59M,01:13:52,
2,1050,970,"ALTMAYER, BORIS",Germany,,M,Open,40-59M,01:15:56,
