RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
3,270,389,"BALDI, XAVIER",Spain,M,Open,40-59M,00:45:59
3,342,41,"OLABE CLAVIJO, OSKAR",Spain,M,Fin,40-59M,00:48:40
3,542,375,"URQUIJO SUAREZ, LEONARDO",Spain,M,Open,40-59M,00:55:00
3,583,30,"GOIZUETA, RAFAEL",Spain,M,Open,40-59M,00:56:34
3,592,1032,"DE LA FIGUERA VON WICHMANN, RAFAEL",Spain,M,Foil,40-59M,00:57:00
3,653,47,"ZAMARRO PARRA, JOSÉ LUIS",Spain,M,Fin,40-59M,00:59:57
3,714,980,"CALVO CALVO, ANTONIO",Spain,M,Fin,20-39M,01:02:19
3,850,586,"LORENTE, DAMIAN",Spain,M,Fin,20-39M,01:07:57
3,918,1063,"COLLELLMIR, PAU",Spain,M,Fin,40-59M,01:13:10
3,921,101086,"TORRIJOS MORENA, FERNANDO",Spain,M,Fin,40-59M,01:13:25
3,928,155,"GONZALO DEL MORAL, RAUL",Spain,M,Fin,40-59M,01:14:47
3,963,761,"VILA, POL",Spain,M,Fin,20-39M,01:22:23
3,983,167,"ZUMARRAGA, ALEJANDRO",Spain,M,Fin,40-59M,DNF
3,983,308,"MIQUEL, DANI",Spain,M,Fin,20-39M,DNF
3,983,365,"SALA ALBERT, RAIMUNDO",Spain,M,Fin,40-59M,DNF
3,983,195,"CARRASCO, JOAQUÍN",Spain,M,Open,40-59M,DNS
3,983,313,"SABATÉ DELRIU, JOAN",Spain,M,Fin,40-59M,DNS
3,983,569,"CARDENAL, GUILLEM",Spain,M,Fin,40-59M,DNS
3,983,709,"MIR, JUAN",Spain,M,Fin,40-59M,DNS
3,983,1039,"FRANCO SEGURA, XAVIER",Spain,M,Fin,40-59M,DNS
4,45,390,"FORÉS, NICO",Spain,M,Foil,20-39M,00:36:29
4,69,11,"DUNKERBECK, BJORN",Spain,M,Fin,40-59M,00:38:13
4,82,10891,"ALABAU, BLANCA",Spain,F,Open,17-30F,00:39:09
4,101,549,"RODES, JOAQUIM",Spain,M,Fin,40-59M,00:40:06
4,158,513,"CAÑADA RIPOLL, ARNAU",Spain,M,Foil,20-39M,00:42:35
4,210,111,"DUNKERBECK, LIAM",Spain,M,Open,U20M,00:44:46
4,217,389,"BALDI, XAVIER",Spain,M,Open,40-59M,00:44:52
4,380,1032,"DE LA FIGUERA VON WICHMANN, RAFAEL",Spain,M,Foil,40-59M,00:51:20
4,484,375,"URQUIJO SUAREZ, LEONARDO",Spain,M,Open,40-59M,00:54:45
4,524,30,"GOIZUETA, RAFAEL",Spain,M,Open,40-59M,00:55:54
4,666,365,"SALA ALBERT, RAIMUNDO",Spain,M,Fin,40-59M,01:00:11
4,698,41,"OLABE CLAVIJO, OSKAR",Spain,M,Fin,40-59M,01:01:06
4,737,980,"CALVO CALVO, ANTONIO",Spain,M,Fin,20-39M,01:02:37
4,743,586,"LORENTE, DAMIAN",Spain,M,Fin,20-39M,01:02:44
4,818,761,"VILA, POL",Spain,M,Fin,20-39M,01:05:21
4,859,101086,"TORRIJOS MORENA, FERNANDO",Spain,M,Fin,40-59M,01:07:41
4,908,313,"SABATÉ DELRIU, JOAN",Spain,M,Fin,40-59M,01:11:26
4,925,155,"GONZALO DEL MORAL, RAUL",Spain,M,Fin,40-59M,01:13:04
4,939,1063,"COLLELLMIR, PAU",Spain,M,Fin,40-59M,01:15:27
4,947,47,"ZAMARRO PARRA, JOSÉ LUIS",Spain,M,Fin,40-59M,01:16:43
4,1010,195,"CARRASCO, JOAQUÍN",Spain,M,Open,40-59M,01:48:35
4,1016,569,"CARDENAL, GUILLEM",Spain,M,Fin,40-59M,01:59:53
4,1018,167,"ZUMARRAGA, ALEJANDRO",Spain,M,Fin,40-59M,DNF
4,1018,308,"MIQUEL, DANI",Spain,M,Fin,20-39M,DNF
4,1018,709,"MIR, JUAN",Spain,M,Fin,40-59M,DNF
4,1018,1039,"FRANCO SEGURA, XAVIER",Spain,M,Fin,40-59M,DNS
