RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,39,549,"RODES, JOAQUIM",Spain,M,Fin,40-59M,00:38:15
1,45,390,"FORÉS, NICO",Spain,M,Foil,20-39M,00:38:45
1,72,10891,"ALABAU, BLANCA",Spain,F,Open,17-30F,00:40:57
1,90,111,"DUNKERBECK, LIAM",Spain,M,Open,U20M,00:42:19
1,161,389,"BALDI, XAVIER",Spain,M,Open,40-59M,00:46:06
1,169,513,"CAÑADA RIPOLL, ARNAU",Spain,M,Foil,20-39M,00:46:26
1,301,41,"OLABE CLAVIJO, OSKAR",Spain,M,Fin,40-59M,00:52:54
1,341,11,"DUNKERBECK, BJORN",Spain,M,Fin,40-59M,00:55:15
1,464,1032,"DE LA FIGUERA VON WICHMANN, RAFAEL",Spain,M,Foil,40-59M,00:59:31
1,476,375,"URQUIJO SUAREZ, LEONARDO",Spain,M,Open,40-59M,00:59:56
1,689,365,"SALA ALBERT, RAIMUNDO",Spain,M,Fin,40-59M,01:09:34
1,737,155,"GONZALO DEL MORAL, RAUL",Spain,M,Fin,40-59M,01:12:02
1,859,47,"ZAMARRO PARRA, JOSÉ LUIS",Spain,M,Fin,40-59M,01:19:21
1,941,761,"VILA, POL",Spain,M,Fin,20-39M,01:26:49
1,963,313,"SABATÉ DELRIU, JOAN",Spain,M,Fin,40-59M,01:30:00
1,991,30,"GOIZUETA, RAFAEL",Spain,M,Open,40-59M,01:33:50
1,1047,1063,"COLLELLMIR, PAU",Spain,M,Fin,40-59M,01:50:49
1,1051,586,"LORENTE, DAMIAN",Spain,M,Fin,20-39M,01:52:46
2,66,549,"RODES, JOAQUIM",Spain,M,Fin,40-59M,00:37:25
2,94,10891,"ALABAU, BLANCA",Spain,F,Open,17-30F,00:39:03
2,132,513,"CAÑADA RIPOLL, ARNAU",Spain,M,Foil,20-39M,00:40:31
2,139,11,"DUNKERBECK, BJORN",Spain,M,Fin,40-59M,00:40:41
2,140,111,"DUNKERBECK, LIAM",Spain,M,Open,U20M,00:40:42
2,196,389,"BALDI, XAVIER",Spain,M,Open,40-59M,00:43:11
2,486,41,"OLABE CLAVIJO, OSKAR",Spain,M,Fin,40-59M,00:52:41
2,491,1032,"DE LA FIGUERA VON WICHMANN, RAFAEL",Spain,M,Foil,40-59M,00:52:49
2,577,375,"URQUIJO SUAREZ, LEONARDO",Spain,M,Open,40-59M,00:55:53
2,599,30,"GOIZUETA, RAFAEL",Spain,M,Open,40-59M,00:56:49
2,754,586,"LORENTE, DAMIAN",Spain,M,Fin,20-39M,01:01:36
2,795,47,"ZAMARRO PARRA, JOSÉ LUIS",Spain,M,Fin,40-59M,01:03:09
2,830,365,"SALA ALBERT, RAIMUNDO",Spain,M,Fin,40-59M,01:04:49
2,841,980,"CALVO CALVO, ANTONIO",Spain,M,Fin,20-39M,01:05:18
2,887,709,"MIR, JUAN",Spain,M,Fin,40-59M,01:07:15
2,956,313,"SABATÉ DELRIU, JOAN",Spain,M,Fin,40-59M,01:09:51
2,969,761,"VILA, POL",Spain,M,Fin,20-39M,01:10:35
2,1024,155,"GONZALO DEL MORAL, RAUL",Spain,M,Fin,40-59M,01:14:01
2,1030,1063,"COLLELLMIR, PAU",Spain,M,Fin,40-59M,01:14:19
2,1087,195,"CARRASCO, JOAQUÍN",Spain,M,Open,40-59M,01:23:03
2,1120,569,"CARDENAL, GUILLEM",Spain,M,Fin,40-59M,02:03:40
2,1121,308,"MIQUEL, DANI",Spain,M,Fin,20-39M,DNF
2,1121,390,"FORÉS, NICO",Spain,M,Foil,20-39M,DNF
2,1121,101086,"TORRIJOS MORENA, FERNANDO",Spain,M,Fin,40-59M,DNF
2,1121,167,"ZUMARRAGA, ALEJANDRO",Spain,M,Fin,40-59M,DNS
2,1121,1039,"FRANCO SEGURA, XAVIER",Spain,M,Fin,40-59M,DNS
3,73,549,"RODES, JOAQUIM",Spain,M,Fin,40-59M,00:38:16
3,104,10891,"ALABAU, BLANCA",Spain,F,Open,17-30F,00:39:39
3,106,11,"DUNKERBECK, BJORN",Spain,M,Fin,40-59M,00:39:42
3,111,390,"FORÉS, NICO",Spain,M,Foil,20-39M,00:39:55
3,134,111,"DUNKERBECK, LIAM",Spain,M,Open,U20M,00:40:54
3,229,513,"CAÑADA RIPOLL, ARNAU",Spain,M,Foil,20-39M,00:44:27
