RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,397,117,"VORONINS, ERIKS",Latvia,,M,Fin,40-59M,00:57:19,
1,824,986,"BALTINS, VILNIS",Latvia,,M,Fin,40-59M,01:16:55,
1,1063,499,"RESNAIS, ATIS",Latvia,,M,Open,40-59M,02:05:45,
2,314,117,"VORONINS, ERIKS",Latvia,,M,Fin,40-59M,00:47:31,
2,870,986,"BALTINS, VILNIS",Latvia,,M,Fin,40-59M,01:06:36,
2,904,823,"BALODIS, ALDIS",Latvia,,M,Fin,40-59M,01:07:55,
2,1118,499,"RESNAIS, ATIS",Latvia,,M,Open,40-59M,01:55:43,
3,276,117,"VORONINS, ERIKS",Latvia,,M,Fin,40-59M,00:46:11,
3,982,499,"RESNAIS, ATIS",Latvia,,M,Open,40-59M,01:49:25,
3,983,823,"BALODIS, ALDIS",Latvia,,M,Fin,40-59M,,DNS
3,983,986,"BALTINS, VILNIS",Latvia,,M,Fin,40-59M,,DNS
4,230,117,"VORONINS, ERIKS",Latvia,,M,Fin,40-59M,00:45:32,
4,629,823,"BALODIS, ALDIS",Latvia,,M,Fin,40-59M,00:59:01,
4,937,986,"BALTINS, VILNIS",Latvia,,M,Fin,40-59M,01:15:10,
4,1012,499,"RESNAIS, ATIS",Latvia,,M,Open,40-59M,01:52:05,
