RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
2,905,813,"GANGURA, ANDREI GABRIEL",Romania,M,Fin,40-59M,01:08:01,
3,983,813,"GANGURA, ANDREI GABRIEL",Romania,M,Fin,40-59M,,DNF
4,1018,813,"GANGURA, ANDREI GABRIEL",Romania,M,Fin,40-59M,,DNS
