RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,254,845,"CUNHA, ELISIÁRIO",Portugal,,M,Fin,40-59M,00:50:29,
1,306,251,"SILVA, RUI",Portugal,,M,Fin,40-59M,00:53:09,
1,445,231,"ÁLVARO, RAIMUNDO",Portugal,,M,Fin,40-59M,00:58:54,
1,660,1181,"CLÍMACO, CARLOS",Portugal,,M,Fin,60+M,01:07:27,
1,704,546,"MILHAZES, MARIO",Portugal,,M,Fin,40-59M,01:10:20,
1,868,552,"DOS RAMOS GOMES MENDONÇA, ELVIO",Portugal,,M,Fin,60+M,01:19:48,
1,984,869,"PIMENTEL, AFONSO",Portugal,,M,Fin,40-59M,01:32:46,
2,363,1181,"CLÍMACO, CARLOS",Portugal,,M,Fin,60+M,00:49:13,
2,366,845,"CUNHA, ELISIÁRIO",Portugal,,M,Fin,40-59M,00:49:24,
2,490,231,"ÁLVARO, RAIMUNDO",Portugal,,M,Fin,40-59M,00:52:47,
2,607,914,"CARDÃO, RICARDO",Portugal,,M,Fin,40-59M,00:57:00,
2,617,251,"SILVA, RUI",Portugal,,M,Fin,40-59M,00:57:13,
2,890,552,"DOS RAMOS GOMES MENDONÇA, ELVIO",Portugal,,M,Fin,60+M,01:07:24,
2,987,869,"PIMENTEL, AFONSO",Portugal,,M,Fin,40-59M,01:11:21,
2,1035,10222,"DELKER, COSTA",Portugal,,M,Fin,40-59M,01:14:36,
2,1121,546,"MILHAZES, MARIO",Portugal,,M,Fin,40-59M,,DNS
2,1121,1048,"CARVALHO, TIAGO",Portugal,,M,Fin,40-59M,,DNS
3,279,845,"CUNHA, ELISIÁRIO",Portugal,,M,Fin,40-59M,00:46:15,
3,436,1181,"CLÍMACO, CARLOS",Portugal,,M,Fin,60+M,00:51:13,
3,465,251,"SILVA, RUI",Portugal,,M,Fin,40-59M,00:52:20,
3,514,914,"CARDÃO, RICARDO",Portugal,,M,Fin,40-59M,00:54:05,
3,538,231,"ÁLVARO, RAIMUNDO",Portugal,,M,Fin,40-59M,00:54:49,
3,804,552,"DOS RAMOS GOMES MENDONÇA, ELVIO",Portugal,,M,Fin,60+M,01:05:58,
3,845,869,"PIMENTEL, AFONSO",Portugal,,M,Fin,40-59M,01:07:26,
3,983,546,"MILHAZES, MARIO",Portugal,,M,Fin,40-59M,,DNF
3,983,10222,"DELKER, COSTA",Portugal,,M,Fin,40-59M,,DNF
3,983,1048,"CARVALHO, TIAGO",Portugal,,M,Fin,40-59M,,DNS
4,320,251,"SILVA, RUI",Portugal,,M,Fin,40-59M,00:48:53,
4,364,231,"ÁLVARO, RAIMUNDO",Portugal,,M,Fin,40-59M,00:50:36,
4,448,914,"CARDÃO, RICARDO",Portugal,,M,Fin,40-59M,00:53:45,
4,516,1181,"CLÍMACO, CARLOS",Portugal,,M,Fin,60+M,00:55:44,
4,599,845,"CUNHA, ELISIÁRIO",Portugal,,M,Fin,40-59M,00:57:58,
4,800,546,"MILHAZES, MARIO",Portugal,,M,Fin,40-59M,01:04:45,
4,838,552,"DOS RAMOS GOMES MENDONÇA, ELVIO",Portugal,,M,Fin,60+M,01:06:25,
4,1018,869,"PIMENTEL, AFONSO",Portugal,,M,Fin,40-59M,,DNF
4,1018,1048,"CARVALHO, TIAGO",Portugal,,M,Fin,40-59M,,DNS
4,1018,10222,"DELKER, COSTA",Portugal,,M,Fin,40-59M,,DNS
