RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,477,668,"ZENG, AKUANG",China,M,Open,20-39M,01:00:07,
2,618,668,"ZENG, AKUANG",China,M,Open,20-39M,00:57:21,
2,1090,311,"CHEN, TING",China,M,Open,20-39M,01:23:31,
2,1121,1333,"ZHANG, SHI",China,M,Fin,20-39M,,DNF
2,1121,1334,"ZHANG, XIXIN",China,M,Fin,60+M,,DNF
3,964,311,"CHEN, TING",China,M,Open,20-39M,01:22:30,
3,983,668,"ZENG, AKUANG",China,M,Open,20-39M,,DNS
3,983,1333,"ZHANG, SHI",China,M,Fin,20-39M,,DNS
3,983,1334,"ZHANG, XIXIN",China,M,Fin,60+M,,DNS
4,989,311,"CHEN, TING",China,M,Open,20-39M,01:28:45,
4,1018,1333,"ZHANG, SHI",China,M,Fin,20-39M,,DNF
4,1018,1334,"ZHANG, XIXIN",China,M,Fin,60+M,,DNF
4,1018,668,"ZENG, AKUANG",China,M,Open,20-39M,,DNS
