RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,800,485,"RICCI, IVAN",Italy,M,Fin,40-59M,01:15:21,
1,813,356,"CHIAVERINI, DAVIDE",Italy,M,Fin,40-59M,01:16:03,
1,854,494,"MARCONI, TITO BRUNO",Italy,M,Fin,60+M,01:19:07,
1,968,1061,"ANDREANI, MARCO",Italy,M,Fin,60+M,01:30:25,
2,4,240,"MARTINI, Bruno",Italy,M,Open,20-39M,00:31:19,
2,9,10798,"IACHINO, MATTEO",Italy,M,Open,20-39M,00:32:08,
2,27,1249,"CUCCHI, Andréa",Italy,M,Fin,40-59M,00:34:09,
2,74,1105,"BRUNETTI, MASSIMILIANO",Italy,M,Fin,40-59M,00:37:44,
2,145,1055,"TARLAO, ZENO",Italy,M,Foil,20-39M,00:40:52,
2,157,641,"FIORENTINO, LUIGI",Italy,M,Fin,40-59M,00:41:26,
2,202,190,"PESELJ, FELIX",Italy,M,Foil,20-39M,00:43:25,
2,221,966,"ZARATE, SEBASTIAN",Italy,M,Open,20-39M,00:44:23,
2,265,68,"LAMI, CESARE",Italy,M,Fin,40-59M,00:46:00,
2,289,10378,"FRANCESCO, LEONI",Italy,M,Fin,20-39M,00:46:50,
2,319,188,"FREZZA, RICCARDO",Italy,M,Fin,40-59M,00:47:43,
2,377,579,"TAPPINO, ALESSIO",Italy,M,Foil,40-59M,00:49:42,
2,423,789,"SUOZZI, EROS",Italy,M,Fin,40-59M,00:50:55,
2,442,296,"DURANDO, RICCARDO",Italy,M,Fin,40-59M,00:51:19,
2,459,681,"BARUCHELLO, MATTEO",Italy,M,Fin,40-59M,00:51:43,
2,504,384,"CERALTI, LORENZO",Italy,M,Fin,40-59M,00:52:59,
2,511,919,"DONATI, ENRICO",Italy,M,Open,20-39M,00:53:12,
2,513,1005,"SALVATORI, GIUSEPPE",Italy,M,Open,40-59M,00:53:13,
2,555,590,"FILANTI, LUCA",Italy,M,Fin,40-59M,00:54:55,
2,627,1316,"SERAFINI, MAURO GIANNI",Italy,M,Fin,40-59M,00:57:46,
2,666,63,"RAGGI, ROMEO",Italy,M,Fin,40-59M,00:58:54,
2,675,964,"CONTI, CLAUDIO",Italy,M,Fin,40-59M,00:59:11,
2,682,1188,"CAVALLINI, ROBERTO",Italy,M,Fin,40-59M,00:59:19,
2,755,310,"BONFANTI, ANDREA",Italy,M,Fin,40-59M,01:01:38,
2,770,600,"BIANCHINI, FRANCESCO",Italy,M,Fin,40-59M,01:02:12,
2,798,494,"MARCONI, TITO BRUNO",Italy,M,Fin,60+M,01:03:21,
2,802,27,"ZANOLINI, ANDREA",Italy,M,Open,20-39M,01:03:32,
2,807,575,"DA PRATO, GABRIELE",Italy,M,Fin,40-59M,01:03:43,
2,835,833,"VANNI, MARCO",Italy,M,Fin,40-59M,01:04:58,
2,838,317,"TEDESCO, MICHELE",Italy,M,Fin,40-59M,01:05:05,
2,894,1061,"ANDREANI, MARCO",Italy,M,Fin,60+M,01:07:35,
2,900,356,"CHIAVERINI, DAVIDE",Italy,M,Fin,40-59M,01:07:44,
2,903,485,"RICCI, IVAN",Italy,M,Fin,40-59M,01:07:51,
2,908,610,"FARINA, MASSIMO",Italy,M,Open,60+M,01:08:03,
2,1028,626,"SALVIGNI, ANDREA",Italy,M,Fin,60+M,01:14:13,
2,1073,162,"RICCI, GIANNI",Italy,M,Fin,40-59M,01:19:36,
2,1085,1201,"PITTALIS, PIER GIUSEPPE",Italy,M,Open,40-59M,01:22:48,
2,1095,514,"DAMASSA, CHRISTIAN",Italy,M,Fin,40-59M,01:25:21,
2,1121,1321,"CHIAPPANI, RAFFAELE",Italy,M,Fin,20-39M,,DNF
2,1121,1331,"PAGANO, GIAMPAOLO",Italy,M,Foil,60+M,,DNF
2,1121,228,"RIBOLZI, FAUSTO",Italy,M,Fin,40-59M,,DNS
2,1121,232,"SILLANI, ENRICO",Italy,M,Fin,40-59M,,DNS
2,1121,264,"LELLI, DAVIDE",Italy,M,Fin,20-39M,,DNS
2,1121,597,"MARTINEZ, EDUARDO NICOLAS",Italy,M,Fin,40-59M,,DNS
2,1121,676,"SALIGARI, UGO",Italy,M,Fin,40-59M,,DNS
2,1121,743,"LELLI, TIBERIO",Italy,M,Fin,60+M,,DNS
2,1121,755,"SALVINI, NICO",Italy,M,Fin,40-59M,,DNS
2,1121,1150,"CASTAGNA, LAURA",Italy,F,Open,17-30F,,DNS
2,1121,1153,"GIACOMELLI, LUCA",Italy,F,Fin,45+F,,DNS
2,1121,1260,"BERARDI, PAOLO",Italy,M,Fin,40-59M,,DNS
2,1121,1346,"MOSCA, LUCA",Italy,M,Open,40-59M,,DNS
3,3,240,"MARTINI, Bruno",Italy,M,Open,20-39M,00:31:34,
3,13,10798,"IACHINO, MATTEO",Italy,M,Open,20-39M,00:33:24,
3,21,1249,"CUCCHI, Andréa",Italy,M,Fin,40-59M,00:34:17,
3,167,1055,"TARLAO, ZENO",Italy,M,Foil,20-39M,00:42:08,
3,197,681,"BARUCHELLO, MATTEO",Italy,M,Fin,40-59M,00:43:17,
3,243,190,"PESELJ, FELIX",Italy,M,Foil,20-39M,00:45:01,
3,264,966,"ZARATE, SEBASTIAN",Italy,M,Open,20-39M,00:45:47,
3,268,68,"LAMI, CESARE",Italy,M,Fin,40-59M,00:45:54,
3,273,384,"CERALTI, LORENZO",Italy,M,Fin,40-59M,00:46:02,
3,286,755,"SALVINI, NICO",Italy,M,Fin,40-59M,00:46:34,
3,323,1188,"CAVALLINI, ROBERTO",Italy,M,Fin,40-59M,00:48:04,
3,338,789,"SUOZZI, EROS",Italy,M,Fin,40-59M,00:48:33,
3,422,579,"TAPPINO, ALESSIO",Italy,M,Foil,40-59M,00:50:41,
3,446,676,"SALIGARI, UGO",Italy,M,Fin,40-59M,00:51:34,
3,485,310,"BONFANTI, ANDREA",Italy,M,Fin,40-59M,00:53:05,
3,567,833,"VANNI, MARCO",Italy,M,Fin,40-59M,00:56:08,
3,579,296,"DURANDO, RICCARDO",Italy,M,Fin,40-59M,00:56:27,
3,617,232,"SILLANI, ENRICO",Italy,M,Fin,40-59M,00:58:09,
3,630,317,"TEDESCO, MICHELE",Italy,M,Fin,40-59M,00:58:55,
3,665,485,"RICCI, IVAN",Italy,M,Fin,40-59M,01:00:38,
3,674,964,"CONTI, CLAUDIO",Italy,M,Fin,40-59M,01:00:52,
3,703,600,"BIANCHINI, FRANCESCO",Italy,M,Fin,40-59M,01:02:02,
3,752,626,"SALVIGNI, ANDREA",Italy,M,Fin,60+M,01:03:33,
3,756,494,"MARCONI, TITO BRUNO",Italy,M,Fin,60+M,01:03:47,
3,776,610,"FARINA, MASSIMO",Italy,M,Open,60+M,01:04:41,
3,857,514,"DAMASSA, CHRISTIAN",Italy,M,Fin,40-59M,01:08:40,
3,859,356,"CHIAVERINI, DAVIDE",Italy,M,Fin,40-59M,01:08:44,
3,936,1061,"ANDREANI, MARCO",Italy,M,Fin,60+M,01:15:26,
3,983,575,"DA PRATO, GABRIELE",Italy,M,Fin,40-59M,,DNF
3,983,1005,"SALVATORI, GIUSEPPE",Italy,M,Open,40-59M,,DNF
3,983,1260,"BERARDI, PAOLO",Italy,M,Fin,40-59M,,DNF
3,983,27,"ZANOLINI, ANDREA",Italy,M,Open,20-39M,,DNS
3,983,63,"RAGGI, ROMEO",Italy,M,Fin,40-59M,,DNS
3,983,162,"RICCI, GIANNI",Italy,M,Fin,40-59M,,DNS
3,983,228,"RIBOLZI, FAUSTO",Italy,M,Fin,40-59M,,DNS
3,983,264,"LELLI, DAVIDE",Italy,M,Fin,20-39M,,DNS
3,983,590,"FILANTI, LUCA",Italy,M,Fin,40-59M,,DNS
3,983,597,"MARTINEZ, EDUARDO NICOLAS",Italy,M,Fin,40-59M,,DNS
3,983,743,"LELLI, TIBERIO",Italy,M,Fin,60+M,,DNS
3,983,1150,"CASTAGNA, LAURA",Italy,F,Open,17-30F,,DNS
3,983,1153,"GIACOMELLI, LUCA",Italy,F,Fin,45+F,,DNS
3,983,1201,"PITTALIS, PIER GIUSEPPE",Italy,M,Open,40-59M,,DNS
3,983,1316,"SERAFINI, MAURO GIANNI",Italy,M,Fin,40-59M,,DNS
3,983,1321,"CHIAPPANI, RAFFAELE",Italy,M,Fin,20-39M,,DNS
3,983,1331,"PAGANO, GIAMPAOLO",Italy,M,Foil,60+M,,DNS
3,983,1346,"MOSCA, LUCA",Italy,M,Open,40-59M,,DNS
3,983,10378,"FRANCESCO, LEONI",Italy,M,Fin,20-39M,,DNS
3,983,188,"FREZZA, RICCARDO",Italy,M,Fin,40-59M,,DSQ
3,983,641,"FIORENTINO, LUIGI",Italy,M,Fin,40-59M,,DSQ
3,983,919,"DONATI, ENRICO",Italy,M,Open,20-39M,,DSQ
3,983,1105,"BRUNETTI, MASSIMILIANO",Italy,M,Fin,40-59M,,DSQ
4,8,10798,"IACHINO, MATTEO",Italy,M,Open,20-39M,00:32:28,
4,26,1249,"CUCCHI, Andréa",Italy,M,Fin,40-59M,00:34:38,
4,85,1105,"BRUNETTI, MASSIMILIANO",Italy,M,Fin,40-59M,00:39:16,
4,100,1055,"TARLAO, ZENO",Italy,M,Foil,20-39M,00:40:05,
4,118,966,"ZARATE, SEBASTIAN",Italy,M,Open,20-39M,00:40:58,
4,139,190,"PESELJ, FELIX",Italy,M,Foil,20-39M,00:41:56,
4,218,681,"BARUCHELLO, MATTEO",Italy,M,Fin,40-59M,00:44:56,
4,295,579,"TAPPINO, ALESSIO",Italy,M,Foil,40-59M,00:47:52,
4,337,1316,"SERAFINI, MAURO GIANNI",Italy,M,Fin,40-59M,00:49:40,
4,401,68,"LAMI, CESARE",Italy,M,Fin,40-59M,00:52:00,
4,402,755,"SALVINI, NICO",Italy,M,Fin,40-59M,00:52:04,
4,428,384,"CERALTI, LORENZO",Italy,M,Fin,40-59M,00:53:04,
4,434,188,"FREZZA, RICCARDO",Italy,M,Fin,40-59M,00:53:14,
4,468,919,"DONATI, ENRICO",Italy,M,Open,20-39M,00:54:21,
4,501,63,"RAGGI, ROMEO",Italy,M,Fin,40-59M,00:55:15,
4,549,676,"SALIGARI, UGO",Italy,M,Fin,40-59M,00:56:32,
4,609,296,"DURANDO, RICCARDO",Italy,M,Fin,40-59M,00:58:15,
4,636,833,"VANNI, MARCO",Italy,M,Fin,40-59M,00:59:14,
4,654,356,"CHIAVERINI, DAVIDE",Italy,M,Fin,40-59M,00:59:43,
4,729,964,"CONTI, CLAUDIO",Italy,M,Fin,40-59M,01:02:21,
4,740,590,"FILANTI, LUCA",Italy,M,Fin,40-59M,01:02:42,
4,755,494,"MARCONI, TITO BRUNO",Italy,M,Fin,60+M,01:03:14,
4,772,310,"BONFANTI, ANDREA",Italy,M,Fin,40-59M,01:03:50,
4,803,27,"ZANOLINI, ANDREA",Italy,M,Open,20-39M,01:04:51,
4,816,575,"DA PRATO, GABRIELE",Italy,M,Fin,40-59M,01:05:14,
4,817,1188,"CAVALLINI, ROBERTO",Italy,M,Fin,40-59M,01:05:16,
4,938,1061,"ANDREANI, MARCO",Italy,M,Fin,60+M,01:15:11,
4,1004,514,"DAMASSA, CHRISTIAN",Italy,M,Fin,40-59M,01:38:33,
4,1018,240,"MARTINI, Bruno",Italy,M,Open,20-39M,,DNF
4,1018,10378,"FRANCESCO, LEONI",Italy,M,Fin,20-39M,,DNF
4,1018,162,"RICCI, GIANNI",Italy,M,Fin,40-59M,,DNS
4,1018,228,"RIBOLZI, FAUSTO",Italy,M,Fin,40-59M,,DNS
4,1018,232,"SILLANI, ENRICO",Italy,M,Fin,40-59M,,DNS
4,1018,264,"LELLI, DAVIDE",Italy,M,Fin,20-39M,,DNS
4,1018,317,"TEDESCO, MICHELE",Italy,M,Fin,40-59M,,DNS
4,1018,485,"RICCI, IVAN",Italy,M,Fin,40-59M,,DNS
4,1018,597,"MARTINEZ, EDUARDO NICOLAS",Italy,M,Fin,40-59M,,DNS
4,1018,600,"BIANCHINI, FRANCESCO",Italy,M,Fin,40-59M,,DNS
4,1018,610,"FARINA, MASSIMO",Italy,M,Open,60+M,,DNS
4,1018,626,"SALVIGNI, ANDREA",Italy,M,Fin,60+M,,DNS
4,1018,641,"FIORENTINO, LUIGI",Italy,M,Fin,40-59M,,DNS
4,1018,743,"LELLI, TIBERIO",Italy,M,Fin,60+M,,DNS
4,1018,789,"SUOZZI, EROS",Italy,M,Fin,40-59M,,DNS
4,1018,1005,"SALVATORI, GIUSEPPE",Italy,M,Open,40-59M,,DNS
4,1018,1150,"CASTAGNA, LAURA",Italy,F,Open,17-30F,,DNS
4,1018,1153,"GIACOMELLI, LUCA",Italy,F,Fin,45+F,,DNS
4,1018,1201,"PITTALIS, PIER GIUSEPPE",Italy,M,Open,40-59M,,DNS
4,1018,1260,"BERARDI, PAOLO",Italy,M,Fin,40-59M,,DNS
4,1018,1321,"CHIAPPANI, RAFFAELE",Italy,M,Fin,20-39M,,DNS
4,1018,1331,"PAGANO, GIAMPAOLO",Italy,M,Foil,60+M,,DNS
4,1018,1346,"MOSCA, LUCA",Italy,M,Open,40-59M,,DNS
