RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,11,240,"MARTINI, Bruno",Italy,M,Open,20-39M,00:34:32,
1,12,10798,"IACHINO, MATTEO",Italy,M,Open,20-39M,00:34:44,
1,73,1249,"CUCCHI, Andréa",Italy,M,Fin,40-59M,00:41:04,
1,154,681,"BARUCHELLO, MATTEO",Italy,M,Fin,40-59M,00:45:55,
1,162,1105,"BRUNETTI, MASSIMILIANO",Italy,M,Fin,40-59M,00:46:10,
1,168,1055,"TARLAO, ZENO",Italy,M,Foil,20-39M,00:46:23,
1,175,190,"PESELJ, FELIX",Italy,M,Foil,20-39M,00:46:42,
1,237,384,"CERALTI, LORENZO",Italy,M,Fin,40-59M,00:49:22,
1,275,296,"DURANDO, RICCARDO",Italy,M,Fin,40-59M,00:51:30,
1,304,68,"LAMI, CESARE",Italy,M,Fin,40-59M,00:53:01,
1,499,579,"TAPPINO, ALESSIO",Italy,M,Foil,40-59M,01:00:49,
1,533,833,"VANNI, MARCO",Italy,M,Fin,40-59M,01:01:49,
1,547,964,"CONTI, CLAUDIO",Italy,M,Fin,40-59M,01:02:43,
1,554,600,"BIANCHINI, FRANCESCO",Italy,M,Fin,40-59M,01:03:00,
1,574,575,"DA PRATO, GABRIELE",Italy,M,Fin,40-59M,01:04:00,
1,589,1188,"CAVALLINI, ROBERTO",Italy,M,Fin,40-59M,01:04:35,
1,603,590,"FILANTI, LUCA",Italy,M,Fin,40-59M,01:05:11,
1,616,188,"FREZZA, RICCARDO",Italy,M,Fin,40-59M,01:05:33,
1,662,626,"SALVIGNI, ANDREA",Italy,M,Fin,60+M,01:07:31,
1,684,676,"SALIGARI, UGO",Italy,M,Fin,40-59M,01:08:56,
1,694,789,"SUOZZI, EROS",Italy,M,Fin,40-59M,01:09:42,
1,723,63,"RAGGI, ROMEO",Italy,M,Fin,40-59M,01:11:13,
1,752,27,"ZANOLINI, ANDREA",Italy,M,Open,20-39M,01:12:34,
