RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,1070,609,"DUMONT-MALIVERG, HERY",Tahiti,M,Fin,40-59M,02:17:46,
2,1121,609,"DUMONT-MALIVERG, HERY",Tahiti,M,Fin,40-59M,,DNS
3,983,609,"DUMONT-MALIVERG, HERY",Tahiti,M,Fin,40-59M,,DNS
4,1018,609,"DUMONT-MALIVERG, HERY",Tahiti,M,Fin,40-59M,,DNS
