RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,67,1323,,"TOMONORI, ANAMI",Japan,M,Open,20-39M,00:40:32,
1,799,1324,,"KOSUGE, YASUKO",Japan,M,Open,40-59M,01:15:19,
1,1039,168,,"YODA, KEIKO",Japan,F,Fin,45+F,01:46:26,
2,58,1323,,"TOMONORI, ANAMI",Japan,M,Open,20-39M,00:36:59,
2,730,168,,"YODA, KEIKO",Japan,F,Fin,45+F,01:00:51,
2,753,1324,,"KOSUGE, YASUKO",Japan,M,Open,40-59M,01:01:35,
2,1121,354,,"KUDO, AKIRA",Japan,F,Open,17-30F,,DNS
3,79,1323,,"TOMONORI, ANAMI",Japan,M,Open,20-39M,00:38:45,
3,743,1324,,"KOSUGE, YASUKO",Japan,M,Open,40-59M,01:03:13,
3,828,168,,"YODA, KEIKO",Japan,F,Fin,45+F,01:06:47,
3,983,354,,"KUDO, AKIRA",Japan,F,Open,17-30F,,DNS
4,52,1323,,"TOMONORI, ANAMI",Japan,M,Open,20-39M,00:37:18,
4,707,168,,"YODA, KEIKO",Japan,F,Fin,45+F,01:01:35,
4,1018,1324,,"KOSUGE, YASUKO",Japan,M,Open,40-59M,,DNF
4,1018,354,,"KUDO, AKIRA",Japan,F,Open,17-30F,,DNS
