RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,493,363,"FARZEKKOUB, KHALED",Algeria,,M,Fin,40-59M,01:00:36,
1,777,357,"HACHEMI, RYAD MARC",Algeria,,M,Fin,40-59M,01:14:03,
2,306,363,"FARZEKKOUB, KHALED",Algeria,,M,Fin,40-59M,00:47:19,
2,645,357,"HACHEMI, RYAD MARC",Algeria,,M,Fin,40-59M,00:58:24,
2,1121,1328,"SETTI, SUFYAN",Algeria,,M,Fin,40-59M,,DNF
3,344,363,"FARZEKKOUB, KHALED",Algeria,,M,Fin,40-59M,00:48:42,
3,744,357,"HACHEMI, RYAD MARC",Algeria,,M,Fin,40-59M,01:03:15,
3,983,1328,"SETTI, SUFYAN",Algeria,,M,Fin,40-59M,,DNF
4,557,363,"FARZEKKOUB, KHALED",Algeria,,M,Fin,40-59M,00:56:43,
4,578,357,"HACHEMI, RYAD MARC",Algeria,,M,Fin,40-59M,00:57:16,
4,1018,1328,"SETTI, SUFYAN",Algeria,,M,Fin,40-59M,,DNS
