RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,2,37,"SØE, JOHAN",Denmark,,M,Open,U20M,00:32:45,
1,38,177,"BOJE, ANDERS",Denmark,,M,Open,40-59M,00:38:10,
1,88,714,"ASMUSSEN, MIKKEL",Denmark,,M,Fin,40-59M,00:42:18,
1,109,1244,"SKYTTE, JESPER",Denmark,,M,Fin,40-59M,00:43:24,
1,112,1343,"VINTHER, NOAH",Denmark,,M,Open,U20M,00:43:31,
1,252,1044,"BØRGESEN, CHRISTIAN",Denmark,,M,Fin,40-59M,00:50:25,
1,255,1327,"KIANI, KUROSH",Denmark,,M,Foil,40-59M,00:50:30,
1,444,175,"NOER, FINN",Denmark,,M,Foil,40-59M,00:58:50,
1,565,277,"SVEJ, MARTIN",Denmark,,M,Open,40-59M,01:03:45,
1,582,954,"PLAMBECK, ALLAN",Denmark,,M,Fin,40-59M,01:04:20,
1,625,961,"SOHL, RALF",Denmark,,M,Fin,40-59M,01:05:45,
1,843,150,"GEHL, JAKOB",Denmark,,M,Fin,40-59M,01:18:17,
1,912,503,"WEDENDAHL, BIRGER",Denmark,,M,Fin,60+M,01:23:40,
1,945,1237,"JOSEPHSEN, ANDREI",Denmark,,M,Fin,40-59M,01:27:30,
1,971,476,"LARSEN, CHRISTINA",Denmark,,F,Fin,31-45F,01:30:39,
2,2,37,"SØE, JOHAN",Denmark,,M,Open,U20M,00:31:02,
2,37,177,"BOJE, ANDERS",Denmark,,M,Open,40-59M,00:35:17,
2,38,1343,"VINTHER, NOAH",Denmark,,M,Open,U20M,00:35:30,
2,66,714,"ASMUSSEN, MIKKEL",Denmark,,M,Fin,40-59M,00:37:25,
2,172,173,"RØGILD, BRIAN",Denmark,,M,Open,40-59M,00:41:53,
2,177,1327,"KIANI, KUROSH",Denmark,,M,Foil,40-59M,00:42:02,
2,270,1244,"SKYTTE, JESPER",Denmark,,M,Fin,40-59M,00:46:10,
2,315,1044,"BØRGESEN, CHRISTIAN",Denmark,,M,Fin,40-59M,00:47:33,
2,339,175,"NOER, FINN",Denmark,,M,Foil,40-59M,00:48:23,
2,429,277,"SVEJ, MARTIN",Denmark,,M,Open,40-59M,00:51:03,
2,551,1026,"HELLEMANN JENSEN, DAVID",Denmark,,M,Fin,20-39M,00:54:44,
2,584,503,"WEDENDAHL, BIRGER",Denmark,,M,Fin,60+M,00:56:10,
2,652,48,"SANDERHOFF, PERNILLE",Denmark,,F,Open,45+F,00:58:30,
