RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
2,700,961,"SOHL, RALF",Denmark,,M,Fin,40-59M,00:59:53,
2,742,954,"PLAMBECK, ALLAN",Denmark,,M,Fin,40-59M,01:01:13,
2,860,1237,"JOSEPHSEN, ANDREI",Denmark,,M,Fin,40-59M,01:06:20,
2,874,476,"LARSEN, CHRISTINA",Denmark,,F,Fin,31-45F,01:06:51,
2,892,1224,"GRAM, CARSTEN",Denmark,,M,Open,40-59M,01:07:32,
2,966,150,"GEHL, JAKOB",Denmark,,M,Fin,40-59M,01:10:22,
2,1121,484,"SEHESTED, THOMAS",Denmark,,M,Open,40-59M,,DNF
2,1121,1089,"CHRISTENSEN, HENRIK",Denmark,,M,Fin,60+M,,DNS
2,1121,1136,"ENGELBRECHT, HANS",Denmark,,M,Open,40-59M,,DNS
3,5,37,"SØE, JOHAN",Denmark,,M,Open,U20M,00:32:12,
3,26,177,"BOJE, ANDERS",Denmark,,M,Open,40-59M,00:34:39,
3,62,1343,"VINTHER, NOAH",Denmark,,M,Open,U20M,00:37:23,
3,67,714,"ASMUSSEN, MIKKEL",Denmark,,M,Fin,40-59M,00:37:47,
3,122,1327,"KIANI, KUROSH",Denmark,,M,Foil,40-59M,00:40:30,
3,174,173,"RØGILD, BRIAN",Denmark,,M,Open,40-59M,00:42:18,
3,341,1244,"SKYTTE, JESPER",Denmark,,M,Fin,40-59M,00:48:39,
3,354,277,"SVEJ, MARTIN",Denmark,,M,Open,40-59M,00:49:00,
3,374,1026,"HELLEMANN JENSEN, DAVID",Denmark,,M,Fin,20-39M,00:49:32,
3,623,954,"PLAMBECK, ALLAN",Denmark,,M,Fin,40-59M,00:58:33,
3,628,961,"SOHL, RALF",Denmark,,M,Fin,40-59M,00:58:50,
3,662,48,"SANDERHOFF, PERNILLE",Denmark,,F,Open,45+F,01:00:25,
3,674,476,"LARSEN, CHRISTINA",Denmark,,F,Fin,31-45F,01:00:52,
3,889,1237,"JOSEPHSEN, ANDREI",Denmark,,M,Fin,40-59M,01:10:47,
3,890,503,"WEDENDAHL, BIRGER",Denmark,,M,Fin,60+M,01:10:51,
3,935,150,"GEHL, JAKOB",Denmark,,M,Fin,40-59M,01:15:23,
3,983,175,"NOER, FINN",Denmark,,M,Foil,40-59M,,DNF
3,983,484,"SEHESTED, THOMAS",Denmark,,M,Open,40-59M,,DNF
3,983,1044,"BØRGESEN, CHRISTIAN",Denmark,,M,Fin,40-59M,,DNF
3,983,1224,"GRAM, CARSTEN",Denmark,,M,Open,40-59M,,DNF
3,983,1089,"CHRISTENSEN, HENRIK",Denmark,,M,Fin,60+M,,DNS
3,983,1136,"ENGELBRECHT, HANS",Denmark,,M,Open,40-59M,,DNS
4,1,37,"SØE, JOHAN",Denmark,,M,Open,U20M,00:31:18,
4,31,1343,"VINTHER, NOAH",Denmark,,M,Open,U20M,00:35:06,
4,40,1327,"KIANI, KUROSH",Denmark,,M,Foil,40-59M,00:36:11,
4,49,484,"SEHESTED, THOMAS",Denmark,,M,Open,40-59M,00:36:57,
4,58,177,"BOJE, ANDERS",Denmark,,M,Open,40-59M,00:37:34,
4,60,714,"ASMUSSEN, MIKKEL",Denmark,,M,Fin,40-59M,00:37:37,
4,61,173,"RØGILD, BRIAN",Denmark,,M,Open,40-59M,00:37:38,
4,325,1244,"SKYTTE, JESPER",Denmark,,M,Fin,40-59M,00:49:06,
4,334,175,"NOER, FINN",Denmark,,M,Foil,40-59M,00:49:29,
4,422,277,"SVEJ, MARTIN",Denmark,,M,Open,40-59M,00:52:48,
4,484,1044,"BØRGESEN, CHRISTIAN",Denmark,,M,Fin,40-59M,00:54:45,
4,662,961,"SOHL, RALF",Denmark,,M,Fin,40-59M,00:59:55,
4,669,954,"PLAMBECK, ALLAN",Denmark,,M,Fin,40-59M,01:00:15,
4,674,48,"SANDERHOFF, PERNILLE",Denmark,,F,Open,45+F,01:00:27,
4,705,503,"WEDENDAHL, BIRGER",Denmark,,M,Fin,60+M,01:01:25,
4,731,1237,"JOSEPHSEN, ANDREI",Denmark,,M,Fin,40-59M,01:02:27,
4,745,476,"LARSEN, CHRISTINA",Denmark,,F,Fin,31-45F,01:02:54,
4,1018,1136,"ENGELBRECHT, HANS",Denmark,,M,Open,40-59M,,DNF
4,1018,150,"GEHL, JAKOB",Denmark,,M,Fin,40-59M,,DNS
4,1018,1026,"HELLEMANN JENSEN, DAVID",Denmark,,M,Fin,20-39M,,DNS
4,1018,1089,"CHRISTENSEN, HENRIK",Denmark,,M,Fin,60+M,,DNS
4,1018,1224,"GRAM, CARSTEN",Denmark,,M,Open,40-59M,,DNS
