RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,271,328,"WATTENGEL, CHRISTOPHER",United States,M,Fin,40-59M,00:51:25
1,463,288,"DE WITT SENNISH, ALEXANDER",United States,M,Fin,40-59M,00:59:30
1,833,106,"WILLIAMS, CHRIS",United States,M,Foil,40-59M,01:17:42
2,577,328,"WATTENGEL, CHRISTOPHER",United States,M,Fin,40-59M,00:55:53
2,643,106,"WILLIAMS, CHRIS",United States,M,Foil,40-59M,00:58:20
2,808,288,"DE WITT SENNISH, ALEXANDER",United States,M,Fin,40-59M,01:03:49
2,1121,61,"HENDERSON, JEFFREY",United States,M,Fin,60+M,DNS
2,1121,803,"KASBEER, AMBER",United States,F,Fin,45+F,DNS
3,456,328,"WATTENGEL, CHRISTOPHER",United States,M,Fin,40-59M,00:51:59
3,632,288,"DE WITT SENNISH, ALEXANDER",United States,M,Fin,40-59M,00:59:06
3,887,106,"WILLIAMS, CHRIS",United States,M,Foil,40-59M,01:10:43
3,983,61,"HENDERSON, JEFFREY",United States,M,Fin,60+M,DNS
3,983,803,"KASBEER, AMBER",United States,F,Fin,45+F,DNS
4,501,106,"WILLIAMS, CHRIS",United States,M,Foil,40-59M,00:55:15
4,600,288,"DE WITT SENNISH, ALEXANDER",United States,M,Fin,40-59M,00:58:03
4,671,328,"WATTENGEL, CHRISTOPHER",United States,M,Fin,40-59M,01:00:16
4,1018,61,"HENDERSON, JEFFREY",United States,M,Fin,60+M,DNS
4,1018,803,"KASBEER, AMBER",United States,F,Fin,45+F,DNS
