RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,528,779,"VAN GELDEREN, OISIN",Ireland,M,Open,40-59M,01:01:47
2,432,779,"VAN GELDEREN, OISIN",Ireland,M,Open,40-59M,00:51:07
3,473,779,"VAN GELDEREN, OISIN",Ireland,M,Open,40-59M,00:52:36
4,1018,779,"VAN GELDEREN, OISIN",Ireland,M,Open,40-59M,DNF
