RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,27,486,,"STALLMAN, SCOTTY",United Kingdom,M,Open,20-39M,00:36:50,
1,63,10848,,"CHAMBERS, ANDY",United Kingdom,M,Fin,40-49M,00:40:16,
1,81,1273,,"SKYE, John",United Kingdom,M,Fin,40-59M,00:41:49,
1,92,777,,"LE MASURIER, CHRIS",United Kingdom,M,Open,40-59M,00:42:38,
1,141,1255,,"SPRIGGS, NIGEL",United Kingdom,M,Fin,40-59M,00:45:08,
1,143,258,,"DINSMORE, JAMES",United Kingdom,M,Open,40-59M,00:45:21,
1,166,16,,"WEGERER, FLORIAN",United Kingdom,M,Fin,20-39M,00:46:18,
1,185,635,,"HUTCHINSON, DEAN",United Kingdom,M,Fin,40-59M,00:47:04,
1,214,1079,,"SPOONER, MATTHEW",United Kingdom,M,Fin,40-59M,00:48:15,
1,233,213,,"HART, ANDY",United Kingdom,M,Open,20-39M,00:49:12,
1,244,984,,"CHIPPINGTON, SIMON",United Kingdom,M,Open,40-59M,00:49:46,
1,251,960,,"GIBSON, JENNA",United Kingdom,F,Open,17-30F,00:50:10,
1,277,229,,"BUKOLT, MACIEJ",United Kingdom,M,Fin,40-59M,00:51:40,
1,325,1001,,"JEFFERY, NICK",United Kingdom,M,Fin,40-59M,00:54:14,
1,331,352,,"GWYNN, STUART",United Kingdom,M,Open,40-59M,00:54:26,
1,336,481,,"PETTIFER, SIMON",United Kingdom,M,Open,40-59M,00:54:40,
1,350,1299,,"GEORGE, MICHAEL",United Kingdom,M,Open,40-59M,00:55:26,
1,354,10953,,"JACKSON, SARAH",United Kingdom,F,Open,17-30F,00:55:39,
1,365,88,,"CLARK, ROGER",United Kingdom,M,Fin,40-59M,00:56:06,
1,384,620,,"ROBBINS, BEN",United Kingdom,M,Fin,20-39M,00:56:47,
1,393,248,,"READ, ALICE",United Kingdom,F,Foil,17-30F,00:57:04,
1,432,139,,"HINSLEY, DAVID",United Kingdom,M,Fin,40-59M,00:58:27,
1,468,268,,"SHARP, ALEX",United Kingdom,M,Fin,40-59M,00:59:37,
1,483,335,,"RUSSELL, JONATHAN",United Kingdom,M,Fin,40-59M,01:00:20,
1,487,95,,"LATHAM, SAM",United Kingdom,M,Open,20-39M,01:00:32,
1,550,724,,"CONNELL, GARRY",United Kingdom,M,Open,40-59M,01:02:54,
1,588,1017,,"CURTIN, JACK",United Kingdom,M,Fin,20-39M,01:04:33,
1,592,294,,"TAIT, ALASTAIR",United Kingdom,M,Fin,40-59M,01:04:47,
1,614,764,,"LINDLEY, BRIAN",United Kingdom,M,Open,40-59M,01:05:25,
1,683,1215,,"JEFFERY, CHRISTOPHER",United Kingdom,M,Fin,40-59M,01:08:51,
1,713,744,,"SMITH, SAM",United Kingdom,M,Fin,20-39M,01:10:39,
1,771,506,,"JERRARD, MARTIN",United Kingdom,M,Fin,40-59M,01:13:52,
1,783,327,,"RUSSELL, GEORGE",United Kingdom,M,Fin,U20M,01:14:09,
1,811,1206,,"BUTT, TIM",United Kingdom,M,Fin,40-59M,01:15:53,
1,812,1019,,"MASKREY, BEN",United Kingdom,M,Fin,40-59M,01:16:00,
1,813,771,,"COLLES, TIM",United Kingdom,M,Fin,40-59M,01:16:03,
1,819,768,,"LARDER, RICHARD",United Kingdom,M,Fin,40-59M,01:16:33,
1,828,913,,"WHITE, PETER",United Kingdom,M,Fin,40-59M,01:17:08,
1,834,247,,"HOUGHTON, RICHARD",United Kingdom,M,Fin,40-59M,01:17:48,
1,848,901,,"TAYLOR, ROGER",United Kingdom,M,Fin,40-59M,01:18:30,
1,854,1348,,"POLL, ANTON",United Kingdom,M,Fin,40-59M,01:19:07,
1,859,1128,,"PALMER, MARK",United Kingdom,M,Fin,40-59M,01:19:21,
1,870,404,,"HARBER, HUGO",United Kingdom,M,Fin,40-59M,01:19:50,
1,912,1034,,"SIMMONS, CHRISTOPHER",United Kingdom,M,Open,40-59M,01:23:40,
1,987,607,,"THOMPSON, STEPHEN",United Kingdom,M,Fin,60+M,01:33:20,
1,1016,427,,"KEARNS, PAUL",United Kingdom,M,Fin,20-39M,01:38:30,
1,1020,811,,"BEDNALL, OLIVER",United Kingdom,M,Fin,20-39M,01:40:45,
1,1031,962,,"KUZMENOK, DENNIS",United Kingdom,M,Fin,20-39M,01:41:55,
1,1041,1465,,"SPALL, DAVID",United Kingdom,M,Foil,60+M,01:48:14,
1,1046,932,,"EDMINSON, FRAZER",United Kingdom,M,Fin,40-59M,01:49:47,
1,1047,943,,"TRUE, MICHAEL",United Kingdom,M,Fin,40-59M,01:50:49,
1,1060,825,,"WOOD, DARRIN",United Kingdom,M,Fin,40-59M,02:02:37,
1,1062,842,,"FARROW, NEIL",United Kingdom,M,Fin,40-59M,02:05:34,
2,21,486,,"STALLMAN, SCOTTY",United Kingdom,M,Open,20-39M,00:33:53,
2,45,1273,,"SKYE, John",United Kingdom,M,Fin,40-59M,00:35:47,
2,92,10848,,"CHAMBERS, ANDY",United Kingdom,M,Fin,40-49M,00:39:02,
