RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,242,403,"GARREL, NICOLAS DAVID",Luxembourg,M,Fin,40-59M,00:49:44
1,889,1203,"WENGLER, MARC",Luxembourg,M,Fin,40-59M,01:21:27
2,80,403,"GARREL, NICOLAS DAVID",Luxembourg,M,Fin,40-59M,00:38:22
2,871,1203,"WENGLER, MARC",Luxembourg,M,Fin,40-59M,01:06:38
3,88,403,"GARREL, NICOLAS DAVID",Luxembourg,M,Fin,40-59M,00:39:08
3,983,1203,"WENGLER, MARC",Luxembourg,M,Fin,40-59M,DNS
4,92,403,"GARREL, NICOLAS DAVID",Luxembourg,M,Fin,40-59M,00:39:36
4,716,1203,"WENGLER, MARC",Luxembourg,M,Fin,40-59M,01:01:56
