RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,879,226,"HORVATH, TAMAS",Hungary,M,Fin,40-59M,01:20:50,
2,1006,226,"HORVATH, TAMAS",Hungary,M,Fin,40-59M,01:12:20,
2,1111,165,"NADZON, GUSZTAV KAROLY",Hungary,M,Fin,40-59M,01:40:56,
2,1121,1212,"MOLNAR, BENCE",Hungary,M,Fin,40-59M,,DNS
3,878,226,"HORVATH, TAMAS",Hungary,M,Fin,40-59M,01:09:56,
3,983,165,"NADZON, GUSZTAV KAROLY",Hungary,M,Fin,40-59M,,DNF
3,983,1212,"MOLNAR, BENCE",Hungary,M,Fin,40-59M,,DNF
4,860,226,"HORVATH, TAMAS",Hungary,M,Fin,40-59M,01:07:44,
4,1018,1212,"MOLNAR, BENCE",Hungary,M,Fin,40-59M,,DNF
4,1018,165,"NADZON, GUSZTAV KAROLY",Hungary,M,Fin,40-59M,,DNS
