RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,75,1066,,"DESAEVER, LAURENT",Belgium,M,Fin,40-59M,00:41:06,
1,182,438,,"BLONDEEL, ROBIN",Belgium,M,Open,20-39M,00:46:56,
1,206,151,,"BULTYNCK, JONATHAN",Belgium,M,Fin,20-39M,00:47:59,
1,283,837,,"VAN LOOCKE, AART",Belgium,M,Open,20-39M,00:51:57,
1,371,737,,"DEHAENE, PIETER",Belgium,M,Fin,40-59M,00:56:17,
1,407,413,,"VANHOORNE, ANDREA",Belgium,F,Fin,17-30F,00:57:30,
1,431,114,,"DE BRUYNE, JEAN-MARC",Belgium,M,Fin,60+M,00:58:26,
1,471,208,,"CABY, PHILIPPE",Belgium,M,Fin,40-59M,00:59:48,
1,518,1176,,"GEORGE, EMMANUEL",Belgium,M,Fin,40-59M,01:01:25,
1,553,517,,"TALPE, TONY",Belgium,M,Fin,40-59M,01:02:58,
1,559,528,,"VANDEVYVER, MAARTEN",Belgium,M,Fin,20-39M,01:03:25,
1,599,453,,"VANDERICK, JOHN JOHN",Belgium,M,Fin,U16M,01:04:56,
1,611,727,,"MYLEMANS, VINCENT",Belgium,M,Fin,20-39M,01:05:21,
1,630,290,,"HEMERYK, BART",Belgium,M,Fin,40-59M,01:05:54,
1,639,1130,,"DEBO, NICK",Belgium,M,Fin,40-59M,01:06:32,
1,706,638,,"D'HAENE, THIBAULT",Belgium,M,Fin,20-39M,01:10:30,
1,706,1125,,"CABY, BENOIT",Belgium,M,Fin,40-59M,01:10:30,
1,712,655,,"VIEREN, KURT",Belgium,M,Fin,40-59M,01:10:38,
1,772,1184,,"DE VISSCHERE, PIETER",Belgium,M,Fin,40-59M,01:13:56,
1,778,1286,,"VAN DER AUWERMEULEN, EMMANUEL",Belgium,M,Fin,40-59M,01:14:04,
1,794,450,,"VAN PEETERSSEN, XAVIER",Belgium,M,Fin,40-59M,01:15:01,
1,916,137,,"JANSSENS, FRANKY",Belgium,M,Fin,40-59M,01:24:07,
1,952,1186,,"TERWECOREN, ANNELIES",Belgium,F,Fin,31-45F,01:28:18,
1,979,753,,"BERTIN, ANDRÉ",Belgium,M,Fin,40-59M,01:31:35,
1,1011,611,,"BAESEN, MATHIE",Belgium,M,Fin,20-39M,01:35:56,
2,89,1066,,"DESAEVER, LAURENT",Belgium,M,Fin,40-59M,00:38:48,
2,164,438,,"BLONDEEL, ROBIN",Belgium,M,Open,20-39M,00:41:41,
2,175,151,,"BULTYNCK, JONATHAN",Belgium,M,Fin,20-39M,00:41:59,
2,241,837,,"VAN LOOCKE, AART",Belgium,M,Open,20-39M,00:45:12,
2,303,413,,"VANHOORNE, ANDREA",Belgium,F,Fin,17-30F,00:47:11,
2,377,517,,"TALPE, TONY",Belgium,M,Fin,40-59M,00:49:42,
2,409,944,,"CLAEYS, MAARTEN",Belgium,M,Fin,40-59M,00:50:23,
2,434,737,,"DEHAENE, PIETER",Belgium,M,Fin,40-59M,00:51:09,
2,506,1176,,"GEORGE, EMMANUEL",Belgium,M,Fin,40-59M,00:53:02,
2,510,208,,"CABY, PHILIPPE",Belgium,M,Fin,40-59M,00:53:09,
2,540,638,,"D'HAENE, THIBAULT",Belgium,M,Fin,20-39M,00:54:21,
2,568,528,,"VANDEVYVER, MAARTEN",Belgium,M,Fin,20-39M,00:55:33,
2,614,1130,,"DEBO, NICK",Belgium,M,Fin,40-59M,00:57:11,
2,630,453,,"VANDERICK, JOHN JOHN",Belgium,M,Fin,U16M,00:57:53,
2,636,114,,"DE BRUYNE, JEAN-MARC",Belgium,M,Fin,60+M,00:58:05,
2,645,655,,"VIEREN, KURT",Belgium,M,Fin,40-59M,00:58:24,
2,745,1125,,"CABY, BENOIT",Belgium,M,Fin,40-59M,01:01:24,
2,812,1184,,"DE VISSCHERE, PIETER",Belgium,M,Fin,40-59M,01:04:02,
2,829,727,,"MYLEMANS, VINCENT",Belgium,M,Fin,20-39M,01:04:47,
