RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
2,836,1286,,"VAN DER AUWERMEULEN, EMMANUEL",Belgium,M,Fin,40-59M,01:05:01,
2,857,290,,"HEMERYK, BART",Belgium,M,Fin,40-59M,01:06:11,
2,902,450,,"VAN PEETERSSEN, XAVIER",Belgium,M,Fin,40-59M,01:07:48,
2,912,137,,"JANSSENS, FRANKY",Belgium,M,Fin,40-59M,01:08:21,
2,970,1186,,"TERWECOREN, ANNELIES",Belgium,F,Fin,31-45F,01:10:38,
2,977,753,,"BERTIN, ANDRÉ",Belgium,M,Fin,40-59M,01:10:57,
2,1045,611,,"BAESEN, MATHIE",Belgium,M,Fin,20-39M,01:15:33,
2,1121,353,,"LEEMAN, SAM",Belgium,M,Fin,40-59M,,DNS
2,1121,10038,,"ROYAUX, XAVIER",Belgium,M,Open,40-59M,,DNS
3,92,1066,,"DESAEVER, LAURENT",Belgium,M,Fin,40-59M,00:39:11,
3,167,438,,"BLONDEEL, ROBIN",Belgium,M,Open,20-39M,00:42:08,
3,191,151,,"BULTYNCK, JONATHAN",Belgium,M,Fin,20-39M,00:42:56,
3,248,837,,"VAN LOOCKE, AART",Belgium,M,Open,20-39M,00:45:14,
3,312,413,,"VANHOORNE, ANDREA",Belgium,F,Fin,17-30F,00:47:35,
3,336,517,,"TALPE, TONY",Belgium,M,Fin,40-59M,00:48:30,
3,450,638,,"D'HAENE, THIBAULT",Belgium,M,Fin,20-39M,00:51:42,
3,467,528,,"VANDEVYVER, MAARTEN",Belgium,M,Fin,20-39M,00:52:24,
3,479,208,,"CABY, PHILIPPE",Belgium,M,Fin,40-59M,00:52:46,
3,486,1130,,"DEBO, NICK",Belgium,M,Fin,40-59M,00:53:07,
3,554,737,,"DEHAENE, PIETER",Belgium,M,Fin,40-59M,00:55:35,
3,635,453,,"VANDERICK, JOHN JOHN",Belgium,M,Fin,U16M,00:59:13,
3,636,1184,,"DE VISSCHERE, PIETER",Belgium,M,Fin,40-59M,00:59:15,
3,658,1176,,"GEORGE, EMMANUEL",Belgium,M,Fin,40-59M,01:00:20,
3,689,290,,"HEMERYK, BART",Belgium,M,Fin,40-59M,01:01:30,
3,712,655,,"VIEREN, KURT",Belgium,M,Fin,40-59M,01:02:16,
3,753,1125,,"CABY, BENOIT",Belgium,M,Fin,40-59M,01:03:36,
3,778,727,,"MYLEMANS, VINCENT",Belgium,M,Fin,20-39M,01:04:47,
3,796,753,,"BERTIN, ANDRÉ",Belgium,M,Fin,40-59M,01:05:39,
3,801,114,,"DE BRUYNE, JEAN-MARC",Belgium,M,Fin,60+M,01:05:52,
3,839,1286,,"VAN DER AUWERMEULEN, EMMANUEL",Belgium,M,Fin,40-59M,01:07:10,
3,890,450,,"VAN PEETERSSEN, XAVIER",Belgium,M,Fin,40-59M,01:10:51,
3,898,1186,,"TERWECOREN, ANNELIES",Belgium,F,Fin,31-45F,01:11:16,
3,923,137,,"JANSSENS, FRANKY",Belgium,M,Fin,40-59M,01:13:35,
3,955,611,,"BAESEN, MATHIE",Belgium,M,Fin,20-39M,01:19:33,
3,983,353,,"LEEMAN, SAM",Belgium,M,Fin,40-59M,,DNS
3,983,10038,,"ROYAUX, XAVIER",Belgium,M,Open,40-59M,,DNS
3,983,944,,"CLAEYS, MAARTEN",Belgium,M,Fin,40-59M,,DSQ
4,58,1066,,"DESAEVER, LAURENT",Belgium,M,Fin,40-59M,00:37:34,
4,155,151,,"BULTYNCK, JONATHAN",Belgium,M,Fin,20-39M,00:42:26,
4,163,438,,"BLONDEEL, ROBIN",Belgium,M,Open,20-39M,00:42:50,
4,240,837,,"VAN LOOCKE, AART",Belgium,M,Open,20-39M,00:45:44,
4,263,944,,"CLAEYS, MAARTEN",Belgium,M,Fin,40-59M,00:46:44,
4,274,10038,,"ROYAUX, XAVIER",Belgium,M,Open,40-59M,00:47:05,
4,358,413,,"VANHOORNE, ANDREA",Belgium,F,Fin,17-30F,00:50:24,
4,362,638,,"D'HAENE, THIBAULT",Belgium,M,Fin,20-39M,00:50:35,
4,368,528,,"VANDEVYVER, MAARTEN",Belgium,M,Fin,20-39M,00:50:54,
4,414,1176,,"GEORGE, EMMANUEL",Belgium,M,Fin,40-59M,00:52:32,
4,432,1130,,"DEBO, NICK",Belgium,M,Fin,40-59M,00:53:09,
4,539,737,,"DEHAENE, PIETER",Belgium,M,Fin,40-59M,00:56:15,
4,548,208,,"CABY, PHILIPPE",Belgium,M,Fin,40-59M,00:56:31,
4,625,453,,"VANDERICK, JOHN JOHN",Belgium,M,Fin,U16M,00:58:54,
4,688,727,,"MYLEMANS, VINCENT",Belgium,M,Fin,20-39M,01:00:49,
4,693,114,,"DE BRUYNE, JEAN-MARC",Belgium,M,Fin,60+M,01:00:57,
4,724,1184,,"DE VISSCHERE, PIETER",Belgium,M,Fin,40-59M,01:02:09,
4,769,655,,"VIEREN, KURT",Belgium,M,Fin,40-59M,01:03:43,
4,770,450,,"VAN PEETERSSEN, XAVIER",Belgium,M,Fin,40-59M,01:03:44,
4,863,1125,,"CABY, BENOIT",Belgium,M,Fin,40-59M,01:07:55,
4,882,1186,,"TERWECOREN, ANNELIES",Belgium,F,Fin,31-45F,01:09:25,
4,893,137,,"JANSSENS, FRANKY",Belgium,M,Fin,40-59M,01:10:01,
4,894,753,,"BERTIN, ANDRÉ",Belgium,M,Fin,40-59M,01:10:06,
4,935,611,,"BAESEN, MATHIE",Belgium,M,Fin,20-39M,01:14:49,
4,1005,517,,"TALPE, TONY",Belgium,M,Fin,40-59M,01:39:36,
4,1018,290,,"HEMERYK, BART",Belgium,M,Fin,40-59M,,DNS
4,1018,353,,"LEEMAN, SAM",Belgium,M,Fin,40-59M,,DNS
4,1018,1286,,"VAN DER AUWERMEULEN, EMMANUEL",Belgium,M,Fin,40-59M,,DNS
