RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,755,1345,"LEBEAU, STEPHANE",Canada,M,Fin,40-59M,01:12:37,
2,862,1345,"LEBEAU, STEPHANE",Canada,M,Fin,40-59M,01:06:21,
2,988,1330,"LAING, GEORGE",Canada,M,Fin,40-59M,01:11:22,
2,1034,67,"CIOCIOLA, ANTOINE",Canada,M,Fin,60+M,01:14:33,
3,823,1345,"LEBEAU, STEPHANE",Canada,M,Fin,40-59M,01:06:42,
3,983,67,"CIOCIOLA, ANTOINE",Canada,M,Fin,60+M,,DNF
3,983,1330,"LAING, GEORGE",Canada,M,Fin,40-59M,,DNF
4,809,1345,"LEBEAU, STEPHANE",Canada,M,Fin,40-59M,01:05:03,
4,964,1330,"LAING, GEORGE",Canada,M,Fin,40-59M,01:19:33,
4,1018,67,"CIOCIOLA, ANTOINE",Canada,M,Fin,60+M,,DNF
