RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,56,334,,"RIEGLER, DANIEL",Austria,M,Foil,20-39M,00:39:48,
1,248,691,,"KALLEITNER, MICHAEL",Austria,M,Fin,40-59M,00:49:54,
1,279,1194,,"FRISCHLING, ROLAND",Austria,M,Fin,40-59M,00:51:41,
1,296,382,,"KOCHOLL, DOMINIK",Austria,M,Fin,40-59M,00:52:41,
1,379,953,,"PURWITZER, MARKUS",Austria,M,Fin,40-59M,00:56:30,
1,403,834,,"REICHHOLF, LOIS",Austria,M,Fin,40-59M,00:57:27,
1,565,1182,,"KLAUSER, MARTIN",Austria,M,Fin,40-59M,01:03:45,
1,965,161,,"BRATSCH, CHRISTIAN",Austria,M,Fin,60+M,01:30:05,
1,1012,1102,,"WESENDORFER, LAURENZ",Austria,M,Fin,U20M,01:36:25,
2,52,334,,"RIEGLER, DANIEL",Austria,M,Foil,20-39M,00:36:30,
2,72,953,,"PURWITZER, MARKUS",Austria,M,Fin,40-59M,00:37:34,
2,160,382,,"KOCHOLL, DOMINIK",Austria,M,Fin,40-59M,00:41:31,
2,231,834,,"REICHHOLF, LOIS",Austria,M,Fin,40-59M,00:44:52,
2,249,1194,,"FRISCHLING, ROLAND",Austria,M,Fin,40-59M,00:45:27,
2,583,161,,"BRATSCH, CHRISTIAN",Austria,M,Fin,60+M,00:56:09,
2,633,1102,,"WESENDORFER, LAURENZ",Austria,M,Fin,U20M,00:58:01,
2,1047,1193,,"WEINGRABER, KLAUS",Austria,M,Fin,40-59M,01:15:48,
2,1121,303,,"GRABNER, FRANZ",Austria,M,Fin,40-59M,,DNS
2,1121,568,,"VARTYAN, GEORG",Austria,M,Fin,40-59M,,DNS
2,1121,691,,"KALLEITNER, MICHAEL",Austria,M,Fin,40-59M,,DNS
2,1121,1054,,"BRANDL, MATTHIAS",Austria,M,Fin,40-59M,,DNS
2,1121,1138,,"ZUGSBRATL, MANUEL",Austria,M,Fin,20-39M,,DNS
2,1121,1182,,"KLAUSER, MARTIN",Austria,M,Fin,40-59M,,DNS
3,51,334,,"RIEGLER, DANIEL",Austria,M,Foil,20-39M,00:36:52,
3,74,953,,"PURWITZER, MARKUS",Austria,M,Fin,40-59M,00:38:26,
3,204,834,,"REICHHOLF, LOIS",Austria,M,Fin,40-59M,00:43:26,
3,211,1194,,"FRISCHLING, ROLAND",Austria,M,Fin,40-59M,00:43:36,
3,352,382,,"KOCHOLL, DOMINIK",Austria,M,Fin,40-59M,00:48:56,
3,495,161,,"BRATSCH, CHRISTIAN",Austria,M,Fin,60+M,00:53:19,
3,960,1193,,"WEINGRABER, KLAUS",Austria,M,Fin,40-59M,01:21:29,
3,983,303,,"GRABNER, FRANZ",Austria,M,Fin,40-59M,,DNS
3,983,568,,"VARTYAN, GEORG",Austria,M,Fin,40-59M,,DNS
3,983,691,,"KALLEITNER, MICHAEL",Austria,M,Fin,40-59M,,DNS
3,983,1054,,"BRANDL, MATTHIAS",Austria,M,Fin,40-59M,,DNS
3,983,1102,,"WESENDORFER, LAURENZ",Austria,M,Fin,U20M,,DNS
3,983,1138,,"ZUGSBRATL, MANUEL",Austria,M,Fin,20-39M,,DNS
3,983,1182,,"KLAUSER, MARTIN",Austria,M,Fin,40-59M,,DNS
4,32,334,,"RIEGLER, DANIEL",Austria,M,Foil,20-39M,00:35:30,
4,99,953,,"PURWITZER, MARKUS",Austria,M,Fin,40-59M,00:40:03,
4,173,382,,"KOCHOLL, DOMINIK",Austria,M,Fin,40-59M,00:43:11,
4,280,1102,,"WESENDORFER, LAURENZ",Austria,M,Fin,U20M,00:47:14,
4,359,834,,"REICHHOLF, LOIS",Austria,M,Fin,40-59M,00:50:25,
4,445,1194,,"FRISCHLING, ROLAND",Austria,M,Fin,40-59M,00:53:38,
4,527,161,,"BRATSCH, CHRISTIAN",Austria,M,Fin,60+M,00:55:58,
4,977,1193,,"WEINGRABER, KLAUS",Austria,M,Fin,40-59M,01:23:53,
4,1018,303,,"GRABNER, FRANZ",Austria,M,Fin,40-59M,,DNS
4,1018,568,,"VARTYAN, GEORG",Austria,M,Fin,40-59M,,DNS
4,1018,691,,"KALLEITNER, MICHAEL",Austria,M,Fin,40-59M,,DNS
4,1018,1054,,"BRANDL, MATTHIAS",Austria,M,Fin,40-59M,,DNS
4,1018,1138,,"ZUGSBRATL, MANUEL",Austria,M,Fin,20-39M,,DNS
4,1018,1182,,"KLAUSER, MARTIN",Austria,M,Fin,40-59M,,DNS
