RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,45,55,"EMANUELSSON, MARKUS",Sweden,,M,Open,40-59M,00:38:45,
1,47,45,"SJÖBERG, HUGO",Sweden,,M,Open,20-39M,00:38:53,
1,167,1228,"LARSSON, ERIK",Sweden,,M,Fin,40-59M,00:46:20,
1,272,877,"BJORKQVIST, ANDERS",Sweden,,M,Fin,40-59M,00:51:27,
1,623,695,"CARDENAL, JUAN",Sweden,,M,Fin,40-59M,01:05:43,
1,658,134,"BERGGREN, MATTIAS",Sweden,,M,Foil,40-59M,01:07:20,
1,876,1261,"KARL, GUNÉR",Sweden,,M,Fin,40-59M,01:20:37,
2,33,45,"SJÖBERG, HUGO",Sweden,,M,Open,20-39M,00:34:53,
2,60,55,"EMANUELSSON, MARKUS",Sweden,,M,Open,40-59M,00:37:03,
2,144,1228,"LARSSON, ERIK",Sweden,,M,Fin,40-59M,00:40:48,
2,254,134,"BERGGREN, MATTIAS",Sweden,,M,Foil,40-59M,00:45:41,
2,469,877,"BJORKQVIST, ANDERS",Sweden,,M,Fin,40-59M,00:52:01,
2,643,1261,"KARL, GUNÉR",Sweden,,M,Fin,40-59M,00:58:20,
2,759,103,"JOHANSSON, MICHAEL",Sweden,,M,Open,40-59M,01:01:48,
2,910,695,"CARDENAL, JUAN",Sweden,,M,Fin,40-59M,01:08:18,
2,1121,52,"ÖRNVANG, ROGER",Sweden,,M,Fin,40-59M,,DNS
3,50,45,"SJÖBERG, HUGO",Sweden,,M,Open,20-39M,00:36:49,
3,56,55,"EMANUELSSON, MARKUS",Sweden,,M,Open,40-59M,00:37:05,
3,183,1228,"LARSSON, ERIK",Sweden,,M,Fin,40-59M,00:42:39,
3,236,134,"BERGGREN, MATTIAS",Sweden,,M,Foil,40-59M,00:44:43,
3,514,1261,"KARL, GUNÉR",Sweden,,M,Fin,40-59M,00:54:05,
3,602,877,"BJORKQVIST, ANDERS",Sweden,,M,Fin,40-59M,00:57:39,
3,768,695,"CARDENAL, JUAN",Sweden,,M,Fin,40-59M,01:04:23,
3,983,103,"JOHANSSON, MICHAEL",Sweden,,M,Open,40-59M,,DNF
3,983,52,"ÖRNVANG, ROGER",Sweden,,M,Fin,40-59M,,DNS
4,46,45,"SJÖBERG, HUGO",Sweden,,M,Open,20-39M,00:36:31,
4,65,55,"EMANUELSSON, MARKUS",Sweden,,M,Open,40-59M,00:37:44,
4,107,1228,"LARSSON, ERIK",Sweden,,M,Fin,40-59M,00:40:20,
4,316,877,"BJORKQVIST, ANDERS",Sweden,,M,Fin,40-59M,00:48:43,
4,588,1261,"KARL, GUNÉR",Sweden,,M,Fin,40-59M,00:57:34,
4,833,103,"JOHANSSON, MICHAEL",Sweden,,M,Open,40-59M,01:06:12,
4,957,695,"CARDENAL, JUAN",Sweden,,M,Fin,40-59M,01:18:15,
4,1018,52,"ÖRNVANG, ROGER",Sweden,,M,Fin,40-59M,,DNS
4,1018,134,"BERGGREN, MATTIAS",Sweden,,M,Foil,40-59M,,DNS
