RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,270,605,"HOOGENDAM, FABIENNE",Netherlands,F,Fin,17-30F,00:51:20
1,273,1239,"HARMS, KOEN",Netherlands,M,Fin,20-39M,00:51:28
1,291,1317,"JONKMAN, JEROEN",Netherlands,M,Fin,40-59M,00:52:27
1,297,1223,"GEESINK, AJ",Netherlands,M,Fin,60+M,00:52:48
1,310,525,"VAN BEEK, GEERT",Netherlands,M,Fin,40-59M,00:53:18
1,325,1338,"BLEEKER, RALPH",Netherlands,M,Fin,40-59M,00:54:14
1,347,393,"HASSINK, ROGIER",Netherlands,M,Fin,40-59M,00:55:22
1,356,858,"VISKER, ALWIN",Netherlands,M,Fin,40-59M,00:55:43
1,358,895,"BAAS, ROBERT",Netherlands,M,Fin,60+M,00:55:49
1,362,10048,"BRÜLL, FINN",Netherlands,M,Open,U16M,00:55:59
1,366,371,"BIJLSMA, JASPER",Netherlands,M,Fin,20-39M,00:56:07
1,380,747,"LAMBERS, MARCO",Netherlands,M,Fin,40-59M,00:56:36
1,387,417,"HARMS, HIDDE",Netherlands,M,Fin,20-39M,00:56:49
1,389,1264,"SHYTIKOV, MAKSYM",Netherlands,M,Fin,20-39M,00:56:58
1,401,979,"HOMMEL, GUIDO",Netherlands,M,Fin,40-59M,00:57:24
1,438,1320,"MOBACH, MARTIJN",Netherlands,M,Fin,40-59M,00:58:42
1,450,510,"BUIJS, JORIS",Netherlands,M,Fin,40-59M,00:59:06
1,451,999,"BRULL, BAS",Netherlands,M,Open,40-59M,00:59:08
1,480,1024,"LEERDAM, ARJAN",Netherlands,M,Fin,40-59M,01:00:17
1,488,1234,"BONS, RONNIE (CORNELIS)",Netherlands,M,Fin,20-39M,01:00:34
1,496,437,"VERMOEN, MARCO",Netherlands,M,Fin,40-59M,01:00:44
1,496,1038,"BONS, DAVID",Netherlands,M,Fin,20-39M,01:00:44
1,523,154,"SCHORTINGHUIS, HUGO",Netherlands,M,Fin,U20M,01:01:37
1,529,312,"HOFSTETTER, ALEXANDER",Netherlands,M,Fin,40-59M,01:01:48
1,578,1312,"JOUSTRA, JAN",Netherlands,M,Fin,40-59M,01:04:17
1,578,10166,"BAAS, KIRSTEN",Netherlands,F,Fin,45+F,01:04:17
1,583,1404,"VAN ZADELHOFF, JEROEN",Netherlands,M,Fin,40-59M,01:04:23
1,586,300,"KUITER, PETER",Netherlands,M,Fin,40-59M,01:04:24
1,592,968,"KOOT, JASPER",Netherlands,M,Fin,40-59M,01:04:47
1,623,1279,"BEKS, STIJN",Netherlands,M,Open,U20M,01:05:43
1,635,1127,"BIERMANS, RENÉ",Netherlands,M,Fin,40-59M,01:06:15
1,645,1088,"BOER, MAGDELNA",Netherlands,F,Fin,45+F,01:06:44
1,672,1226,"KUIJVENHOVEN, CORSTIAAN",Netherlands,M,Fin,40-59M,01:08:11
1,677,13,"VAN BERKEL, OWEN",Netherlands,M,Open,20-39M,01:08:31
1,682,10967,"BIJL, LUKA",Netherlands,M,Open,U16M,01:08:50
1,694,937,"VAN NIEJENHUIS, HENK",Netherlands,M,Open,20-39M,01:09:42
1,696,1339,"MEDENDORP, ALEWIJN",Netherlands,M,Fin,40-59M,01:09:51
1,739,1113,"KRUSE, THOMAS",Netherlands,M,Fin,40-59M,01:12:03
1,762,1053,"AANTJES, KEES",Netherlands,M,Open,20-39M,01:13:10
1,793,184,"FREDRIKZE, EGBERT",Netherlands,M,Fin,20-39M,01:14:59
1,838,1276,"VAN DER MEER, JAN PIETER",Netherlands,M,Fin,40-59M,01:18:00
1,854,97,"BULTHUIS, JOHAN",Netherlands,M,Fin,40-59M,01:19:07
1,886,1043,"WIENTJES, KLAAS",Netherlands,M,Fin,20-39M,01:21:11
1,893,435,"GIMPEL, IRIS",Netherlands,F,Fin,31-45F,01:21:48
1,911,872,"VERHAGEN, PETER",Netherlands,M,Fin,60+M,01:23:38
1,916,483,"BAS, VERHOEF",Netherlands,M,Fin,40-59M,01:24:07
1,924,839,"KORT, HUUG",Netherlands,M,Fin,40-59M,01:24:59
1,928,1266,"VAN DER WOLF, MEINDERT",Netherlands,M,Foil,40-59M,01:25:21
1,932,1329,"BOSMAN, BERT",Netherlands,M,Fin,40-59M,01:25:44
1,937,1263,"VAN MUISWINKEL, KEES",Netherlands,M,Fin,40-59M,01:26:14
1,958,1265,"KEGEL, MERIJN",Netherlands,M,Fin,40-59M,01:29:22
1,958,1272,"IJZER, STEVEN",Netherlands,M,Fin,40-59M,01:29:22
1,963,978,"LUITEN, SANDER",Netherlands,M,Fin,40-59M,01:30:00
1,973,922,"DE BAKKER, LARS",Netherlands,M,Fin,20-39M,01:30:48
1,983,501,"FELLINGER, IVO",Netherlands,M,Fin,40-59M,01:32:44
1,995,1008,"GIJZEN, RON",Netherlands,M,Fin,40-59M,01:34:09
1,1003,790,"WILKE, KOEN",Netherlands,M,Fin,40-59M,01:34:54
1,1007,369,"KAPPETIJN, OLAF",Netherlands,M,Fin,40-59M,01:35:09
1,1012,1031,"SCHILPEROORT, RUUD",Netherlands,M,Fin,40-59M,01:36:25
1,1019,538,"DE BIE, BENJAMIN",Netherlands,M,Fin,40-59M,01:40:43
1,1021,798,"BAS, REIJMERS",Netherlands,M,Fin,40-59M,01:40:49
1,1033,373,"VAN ZEIJL, THOM",Netherlands,M,Fin,20-39M,01:42:05
1,1034,1107,"VAN OORSCHOT, JOEP",Netherlands,M,Fin,20-39M,01:43:29
1,1054,1071,"BOM, ERIC",Netherlands,M,Fin,40-59M,01:54:43
1,1061,857,"KAMMINGA, ERIC",Netherlands,M,Fin,40-59M,02:03:49
1,1071,928,"DUNNEWIND, ERNST",Netherlands,M,Fin,40-59M,02:19:19
2,6,20,"VRIESWIJK, AMADO",Netherlands,M,Open,20-39M,00:31:54
2,17,69,"VONK, JORDY",Netherlands,M,Open,20-39M,00:33:37
2,24,9,"FRANS, TATY",Netherlands,M,Fin,20-39M,00:34:05
2,40,647,"VAN DER MEER, HIDDE",Netherlands,M,Foil,U20M,00:35:41
2,43,584,"DALDORF, INGMAR",Netherlands,M,Open,20-39M,00:35:44
2,48,10955,"STROOSMA, SEM",Netherlands,M,Foil,U20M,00:36:06
2,49,10980,"BIJL, PIETER",Netherlands,M,Open,40-59M,00:36:24
2,60,613,"VAN DEN HEUVEL, THOMAS",Netherlands,M,Open,20-39M,00:37:03
2,64,57,"VAN DER STEEN, BEN",Netherlands,M,Open,40-59M,00:37:20
2,66,33,"WENNEKES, SARA",Netherlands,F,Foil,17-30F,00:37:25
2,75,535,"WONDERGEM, FLORIS",Netherlands,M,Fin,20-39M,00:37:45
2,82,525,"VAN BEEK, GEERT",Netherlands,M,Fin,40-59M,00:38:29
2,96,519,"WIERSTRA, NICO",Netherlands,M,Fin,40-59M,00:39:08
2,116,782,"HEIDA, FRANK",Netherlands,M,Fin,40-59M,00:39:58
2,119,527,"HESSELS, KOEN",Netherlands,M,Open,U20M,00:40:02
2,130,949,"ENGEL, MICHAËL",Netherlands,M,Fin,40-59M,00:40:26
2,162,703,"MARTIJN, VAN NOORD",Netherlands,M,Fin,20-39M,00:41:38
2,162,1353,"DE BOER, THEWES",Netherlands,M,Fin,40-59M,00:41:38
2,217,152,"BOSMAN, JORIS",Netherlands,M,Fin,40-59M,00:44:17
2,218,393,"HASSINK, ROGIER",Netherlands,M,Fin,40-59M,00:44:21
2,233,1277,"VAN DER VEEN, JELLE",Netherlands,M,Open,20-39M,00:44:54
2,239,1278,"IMMENGA, MARK",Netherlands,M,Open,20-39M,00:45:11
2,241,1264,"SHYTIKOV, MAKSYM",Netherlands,M,Fin,20-39M,00:45:12
2,246,912,"VERMEULEN, JAN WILLEM",Netherlands,M,Open,40-59M,00:45:18
2,258,1254,"KRUIJTZER, PETER",Netherlands,M,Fin,40-59M,00:45:48
2,261,1338,"BLEEKER, RALPH",Netherlands,M,Fin,40-59M,00:45:51
2,263,628,"VAN DER VEEN, FEMKE",Netherlands,F,Open,17-30F,00:45:53
2,275,571,"LAVERMAN, HERMAN",Netherlands,M,Fin,40-59M,00:46:22
2,284,1320,"MOBACH, MARTIJN",Netherlands,M,Fin,40-59M,00:46:40
2,293,1239,"HARMS, KOEN",Netherlands,M,Fin,20-39M,00:46:53
2,332,13,"VAN BERKEL, OWEN",Netherlands,M,Open,20-39M,00:48:11
2,344,747,"LAMBERS, MARCO",Netherlands,M,Fin,40-59M,00:48:32
2,348,895,"BAAS, ROBERT",Netherlands,M,Fin,60+M,00:48:43
2,351,1127,"BIERMANS, RENÉ",Netherlands,M,Fin,40-59M,00:48:52
2,374,1317,"JONKMAN, JEROEN",Netherlands,M,Fin,40-59M,00:49:40
2,381,1178,"DE JONG, DYLAN",Netherlands,M,Fin,40-59M,00:49:46
2,393,10048,"BRÜLL, FINN",Netherlands,M,Open,U16M,00:50:01
2,403,510,"BUIJS, JORIS",Netherlands,M,Fin,40-59M,00:50:17
2,421,371,"BIJLSMA, JASPER",Netherlands,M,Fin,20-39M,00:50:50
2,433,1279,"BEKS, STIJN",Netherlands,M,Open,U20M,00:51:08
2,459,605,"HOOGENDAM, FABIENNE",Netherlands,F,Fin,17-30F,00:51:43
2,474,97,"BULTHUIS, JOHAN",Netherlands,M,Fin,40-59M,00:52:11
2,474,300,"KUITER, PETER",Netherlands,M,Fin,40-59M,00:52:11
2,492,10130,"DITS, PEYTON",Netherlands,M,Open,U16M,00:52:50
2,500,1404,"VAN ZADELHOFF, JEROEN",Netherlands,M,Fin,40-59M,00:52:53
2,514,858,"VISKER, ALWIN",Netherlands,M,Fin,40-59M,00:53:16
2,521,1234,"BONS, RONNIE (CORNELIS)",Netherlands,M,Fin,20-39M,00:53:32
2,535,1226,"KUIJVENHOVEN, CORSTIAAN",Netherlands,M,Fin,40-59M,00:54:07
2,538,1043,"WIENTJES, KLAAS",Netherlands,M,Fin,20-39M,00:54:14
2,548,154,"SCHORTINGHUIS, HUGO",Netherlands,M,Fin,U20M,00:54:38
2,559,999,"BRULL, BAS",Netherlands,M,Open,40-59M,00:55:11
2,575,857,"KAMMINGA, ERIC",Netherlands,M,Fin,40-59M,00:55:52
2,591,543,"VOORBERG, NICK",Netherlands,M,Fin,20-39M,00:56:28
2,592,437,"VERMOEN, MARCO",Netherlands,M,Fin,40-59M,00:56:33
2,592,1113,"KRUSE, THOMAS",Netherlands,M,Fin,40-59M,00:56:33
2,605,979,"HOMMEL, GUIDO",Netherlands,M,Fin,40-59M,00:56:53
2,608,435,"GIMPEL, IRIS",Netherlands,F,Fin,31-45F,00:57:01
2,619,1223,"GEESINK, AJ",Netherlands,M,Fin,60+M,00:57:23
2,624,968,"KOOT, JASPER",Netherlands,M,Fin,40-59M,00:57:42
2,637,1031,"SCHILPEROORT, RUUD",Netherlands,M,Fin,40-59M,00:58:07
2,682,10166,"BAAS, KIRSTEN",Netherlands,F,Fin,45+F,00:59:19
2,699,1339,"MEDENDORP, ALEWIJN",Netherlands,M,Fin,40-59M,00:59:50
2,703,1227,"LAVRIJSEN, MARTIJN",Netherlands,M,Open,40-59M,00:59:59
2,708,1024,"LEERDAM, ARJAN",Netherlands,M,Fin,40-59M,01:00:14
2,714,798,"BAS, REIJMERS",Netherlands,M,Fin,40-59M,01:00:30
2,762,1071,"BOM, ERIC",Netherlands,M,Fin,40-59M,01:01:52
2,794,790,"WILKE, KOEN",Netherlands,M,Fin,40-59M,01:03:08
2,796,483,"BAS, VERHOEF",Netherlands,M,Fin,40-59M,01:03:11
2,819,1312,"JOUSTRA, JAN",Netherlands,M,Fin,40-59M,01:04:23
2,845,839,"KORT, HUUG",Netherlands,M,Fin,40-59M,01:05:23
2,850,922,"DE BAKKER, LARS",Netherlands,M,Fin,20-39M,01:05:46
2,856,978,"LUITEN, SANDER",Netherlands,M,Fin,40-59M,01:06:10
2,858,10967,"BIJL, LUKA",Netherlands,M,Open,U16M,01:06:18
2,863,184,"FREDRIKZE, EGBERT",Netherlands,M,Fin,20-39M,01:06:25
2,877,501,"FELLINGER, IVO",Netherlands,M,Fin,40-59M,01:06:57
2,918,872,"VERHAGEN, PETER",Netherlands,M,Fin,60+M,01:08:32
2,927,1263,"VAN MUISWINKEL, KEES",Netherlands,M,Fin,40-59M,01:08:52
2,929,1265,"KEGEL, MERIJN",Netherlands,M,Fin,40-59M,01:08:59
2,932,1052,"BRONKHORST, PETER-MARTIJN",Netherlands,M,Fin,40-59M,01:09:02
2,991,1280,"ROMEIJN, RUUD",Netherlands,M,Fin,60+M,01:11:37
2,1016,369,"KAPPETIJN, OLAF",Netherlands,M,Fin,40-59M,01:13:18
2,1022,538,"DE BIE, BENJAMIN",Netherlands,M,Fin,40-59M,01:13:52
2,1033,1008,"GIJZEN, RON",Netherlands,M,Fin,40-59M,01:14:29
2,1038,1276,"VAN DER MEER, JAN PIETER",Netherlands,M,Fin,40-59M,01:14:43
2,1055,373,"VAN ZEIJL, THOM",Netherlands,M,Fin,20-39M,01:16:32
2,1056,550,"BRONKHORST, MATHIJS",Netherlands,M,Fin,20-39M,01:16:33
2,1058,1107,"VAN OORSCHOT, JOEP",Netherlands,M,Fin,20-39M,01:16:52
2,1059,1270,"VAN DEN HOVEN, SANDER",Netherlands,M,Fin,40-59M,01:16:55
2,1072,1266,"VAN DER WOLF, MEINDERT",Netherlands,M,Foil,40-59M,01:19:35
2,1074,1053,"AANTJES, KEES",Netherlands,M,Open,20-39M,01:19:51
2,1084,1088,"BOER, MAGDELNA",Netherlands,F,Fin,45+F,01:22:36
2,1121,107,"HANEMAAIJER, THIJS",Netherlands,M,Open,U20M,DNF
2,1121,193,"DROOP, BJORN",Netherlands,M,Open,20-39M,DNF
2,1121,417,"HARMS, HIDDE",Netherlands,M,Fin,20-39M,DNF
2,1121,482,"POTS, ARNOLD",Netherlands,M,Fin,40-59M,DNF
2,1121,900,"HEIDA, PETER",Netherlands,M,Fin,40-59M,DNF
2,1121,937,"VAN NIEJENHUIS, HENK",Netherlands,M,Open,20-39M,DNF
2,1121,1240,"HARMS, ERIK",Netherlands,M,Fin,60+M,DNF
2,1121,1272,"IJZER, STEVEN",Netherlands,M,Fin,40-59M,DNF
2,1121,1329,"BOSMAN, BERT",Netherlands,M,Fin,40-59M,DNF
2,1121,54,"KOLDEWEID, RON",Netherlands,M,Fin,40-59M,DNS
2,1121,217,"HOFSTEENGE, ROBBERT",Netherlands,M,Fin,40-59M,DNS
2,1121,270,"VAN RUITEN, NIENKE",Netherlands,F,Fin,31-45F,DNS
2,1121,312,"HOFSTETTER, ALEXANDER",Netherlands,M,Fin,40-59M,DNS
2,1121,624,"VOS, ARJAN",Netherlands,M,Fin,40-59M,DNS
2,1121,821,"BEZEMER, DENNIS",Netherlands,M,Open,40-59M,DNS
2,1121,855,"VAN POPERING, ALBERT",Netherlands,M,Fin,40-59M,DNS
2,1121,882,"KLUIVERS, IGOR",Netherlands,M,Fin,40-59M,DNS
2,1121,904,"FABRIEK, WIETZE",Netherlands,M,Fin,40-59M,DNS
2,1121,909,"KRAAN, PEPIJN",Netherlands,M,Fin,40-59M,DNS
2,1121,928,"DUNNEWIND, ERNST",Netherlands,M,Fin,40-59M,DNS
2,1121,1038,"BONS, DAVID",Netherlands,M,Fin,20-39M,DNS
2,1121,1046,"DE JONG, A.A.H.",Netherlands,M,Fin,40-59M,DNS
2,1121,1074,"VAN HARTEN, ROBERT",Netherlands,M,Fin,60+M,DNS
2,1121,1165,"HEIDA, JAN",Netherlands,M,Fin,40-59M,DNS
2,1121,1271,"HUISMAN, ROB",Netherlands,M,Fin,40-59M,DNS
2,1121,1274,"POLS, HAICO",Netherlands,M,Fin,40-59M,DNS
2,1121,1281,"GIVEAWAY, NICOPRIEN",Netherlands,M,Fin,20-39M,DNS
2,1121,1313,"HORNSTRA, JORNE",Netherlands,M,Fin,40-59M,DNS
2,1121,1314,"HISCHE, PIETER JAN",Netherlands,M,Fin,40-59M,DNS
3,10,20,"VRIESWIJK, AMADO",Netherlands,M,Open,20-39M,00:32:34
3,14,69,"VONK, JORDY",Netherlands,M,Open,20-39M,00:33:32
3,17,584,"DALDORF, INGMAR",Netherlands,M,Open,20-39M,00:33:42
3,31,647,"VAN DER MEER, HIDDE",Netherlands,M,Foil,U20M,00:35:29
3,34,9,"FRANS, TATY",Netherlands,M,Fin,20-39M,00:35:42
3,42,10980,"BIJL, PIETER",Netherlands,M,Open,40-59M,00:36:02
3,45,535,"WONDERGEM, FLORIS",Netherlands,M,Fin,20-39M,00:36:16
3,54,10955,"STROOSMA, SEM",Netherlands,M,Foil,U20M,00:36:58
3,70,900,"HEIDA, PETER",Netherlands,M,Fin,40-59M,00:38:10
3,78,57,"VAN DER STEEN, BEN",Netherlands,M,Open,40-59M,00:38:41
3,87,527,"HESSELS, KOEN",Netherlands,M,Open,U20M,00:39:07
3,113,703,"MARTIJN, VAN NOORD",Netherlands,M,Fin,20-39M,00:40:05
3,117,33,"WENNEKES, SARA",Netherlands,F,Foil,17-30F,00:40:13
3,121,613,"VAN DEN HEUVEL, THOMAS",Netherlands,M,Open,20-39M,00:40:22
3,124,525,"VAN BEEK, GEERT",Netherlands,M,Fin,40-59M,00:40:35
3,125,782,"HEIDA, FRANK",Netherlands,M,Fin,40-59M,00:40:36
3,137,872,"VERHAGEN, PETER",Netherlands,M,Fin,60+M,00:41:04
3,143,1178,"DE JONG, DYLAN",Netherlands,M,Fin,40-59M,00:41:20
3,165,1277,"VAN DER VEEN, JELLE",Netherlands,M,Open,20-39M,00:42:04
3,167,571,"LAVERMAN, HERMAN",Netherlands,M,Fin,40-59M,00:42:08
3,177,152,"BOSMAN, JORIS",Netherlands,M,Fin,40-59M,00:42:28
3,190,1353,"DE BOER, THEWES",Netherlands,M,Fin,40-59M,00:42:55
3,192,519,"WIERSTRA, NICO",Netherlands,M,Fin,40-59M,00:42:59
3,225,747,"LAMBERS, MARCO",Netherlands,M,Fin,40-59M,00:44:01
3,240,1264,"SHYTIKOV, MAKSYM",Netherlands,M,Fin,20-39M,00:44:58
3,241,912,"VERMEULEN, JAN WILLEM",Netherlands,M,Open,40-59M,00:45:00
3,255,510,"BUIJS, JORIS",Netherlands,M,Fin,40-59M,00:45:28
3,272,1338,"BLEEKER, RALPH",Netherlands,M,Fin,40-59M,00:46:00
3,281,1278,"IMMENGA, MARK",Netherlands,M,Open,20-39M,00:46:17
3,291,628,"VAN DER VEEN, FEMKE",Netherlands,F,Open,17-30F,00:46:42
3,343,1279,"BEKS, STIJN",Netherlands,M,Open,U20M,00:48:41
3,345,10048,"BRÜLL, FINN",Netherlands,M,Open,U16M,00:48:46
3,345,10130,"DITS, PEYTON",Netherlands,M,Open,U16M,00:48:46
3,359,1404,"VAN ZADELHOFF, JEROEN",Netherlands,M,Fin,40-59M,00:49:11
3,360,1239,"HARMS, KOEN",Netherlands,M,Fin,20-39M,00:49:12
3,380,417,"HARMS, HIDDE",Netherlands,M,Fin,20-39M,00:49:42
3,384,1223,"GEESINK, AJ",Netherlands,M,Fin,60+M,00:49:47
3,389,1254,"KRUIJTZER, PETER",Netherlands,M,Fin,40-59M,00:49:52
3,404,895,"BAAS, ROBERT",Netherlands,M,Fin,60+M,00:50:12
3,406,13,"VAN BERKEL, OWEN",Netherlands,M,Open,20-39M,00:50:13
3,437,437,"VERMOEN, MARCO",Netherlands,M,Fin,40-59M,00:51:15
3,454,1043,"WIENTJES, KLAAS",Netherlands,M,Fin,20-39M,00:51:55
3,457,483,"BAS, VERHOEF",Netherlands,M,Fin,40-59M,00:52:02
3,463,858,"VISKER, ALWIN",Netherlands,M,Fin,40-59M,00:52:16
3,484,154,"SCHORTINGHUIS, HUGO",Netherlands,M,Fin,U20M,00:53:03
3,489,999,"BRULL, BAS",Netherlands,M,Open,40-59M,00:53:10
3,491,979,"HOMMEL, GUIDO",Netherlands,M,Fin,40-59M,00:53:15
3,493,857,"KAMMINGA, ERIC",Netherlands,M,Fin,40-59M,00:53:16
3,494,1320,"MOBACH, MARTIJN",Netherlands,M,Fin,40-59M,00:53:17
3,505,300,"KUITER, PETER",Netherlands,M,Fin,40-59M,00:53:52
3,506,1234,"BONS, RONNIE (CORNELIS)",Netherlands,M,Fin,20-39M,00:53:53
3,550,1226,"KUIJVENHOVEN, CORSTIAAN",Netherlands,M,Fin,40-59M,00:55:25
3,551,435,"GIMPEL, IRIS",Netherlands,F,Fin,31-45F,00:55:29
3,561,1107,"VAN OORSCHOT, JOEP",Netherlands,M,Fin,20-39M,00:55:50
3,572,97,"BULTHUIS, JOHAN",Netherlands,M,Fin,40-59M,00:56:20
3,595,1024,"LEERDAM, ARJAN",Netherlands,M,Fin,40-59M,00:57:09
3,597,1339,"MEDENDORP, ALEWIJN",Netherlands,M,Fin,40-59M,00:57:17
3,608,790,"WILKE, KOEN",Netherlands,M,Fin,40-59M,00:57:52
3,615,184,"FREDRIKZE, EGBERT",Netherlands,M,Fin,20-39M,00:58:08
3,641,1312,"JOUSTRA, JAN",Netherlands,M,Fin,40-59M,00:59:37
3,642,1127,"BIERMANS, RENÉ",Netherlands,M,Fin,40-59M,00:59:38
3,648,10166,"BAAS, KIRSTEN",Netherlands,F,Fin,45+F,00:59:48
3,657,10967,"BIJL, LUKA",Netherlands,M,Open,U16M,01:00:09
3,663,1113,"KRUSE, THOMAS",Netherlands,M,Fin,40-59M,01:00:27
3,677,1265,"KEGEL, MERIJN",Netherlands,M,Fin,40-59M,01:00:53
3,695,1240,"HARMS, ERIK",Netherlands,M,Fin,60+M,01:01:49
3,700,1329,"BOSMAN, BERT",Netherlands,M,Fin,40-59M,01:01:54
3,731,922,"DE BAKKER, LARS",Netherlands,M,Fin,20-39M,01:02:54
3,735,1263,"VAN MUISWINKEL, KEES",Netherlands,M,Fin,40-59M,01:02:59
3,741,839,"KORT, HUUG",Netherlands,M,Fin,40-59M,01:03:11
3,747,968,"KOOT, JASPER",Netherlands,M,Fin,40-59M,01:03:19
3,762,373,"VAN ZEIJL, THOM",Netherlands,M,Fin,20-39M,01:04:10
3,763,1031,"SCHILPEROORT, RUUD",Netherlands,M,Fin,40-59M,01:04:12
3,771,1227,"LAVRIJSEN, MARTIJN",Netherlands,M,Open,40-59M,01:04:27
3,774,798,"BAS, REIJMERS",Netherlands,M,Fin,40-59M,01:04:36
3,788,501,"FELLINGER, IVO",Netherlands,M,Fin,40-59M,01:05:12
3,816,937,"VAN NIEJENHUIS, HENK",Netherlands,M,Open,20-39M,01:06:28
3,829,393,"HASSINK, ROGIER",Netherlands,M,Fin,40-59M,01:06:49
3,840,371,"BIJLSMA, JASPER",Netherlands,M,Fin,20-39M,01:07:13
3,871,550,"BRONKHORST, MATHIJS",Netherlands,M,Fin,20-39M,01:09:25
3,910,1272,"IJZER, STEVEN",Netherlands,M,Fin,40-59M,01:12:42
3,916,904,"FABRIEK, WIETZE",Netherlands,M,Fin,40-59M,01:13:03
3,922,624,"VOS, ARJAN",Netherlands,M,Fin,40-59M,01:13:32
3,945,1008,"GIJZEN, RON",Netherlands,M,Fin,40-59M,01:16:51
3,966,1280,"ROMEIJN, RUUD",Netherlands,M,Fin,60+M,01:22:52
3,968,1266,"VAN DER WOLF, MEINDERT",Netherlands,M,Foil,40-59M,01:23:33
3,983,369,"KAPPETIJN, OLAF",Netherlands,M,Fin,40-59M,DNF
3,983,482,"POTS, ARNOLD",Netherlands,M,Fin,40-59M,DNF
3,983,882,"KLUIVERS, IGOR",Netherlands,M,Fin,40-59M,DNF
3,983,978,"LUITEN, SANDER",Netherlands,M,Fin,40-59M,DNF
3,983,1053,"AANTJES, KEES",Netherlands,M,Open,20-39M,DNF
3,983,1071,"BOM, ERIC",Netherlands,M,Fin,40-59M,DNF
3,983,54,"KOLDEWEID, RON",Netherlands,M,Fin,40-59M,DNS
3,983,193,"DROOP, BJORN",Netherlands,M,Open,20-39M,DNS
3,983,217,"HOFSTEENGE, ROBBERT",Netherlands,M,Fin,40-59M,DNS
3,983,270,"VAN RUITEN, NIENKE",Netherlands,F,Fin,31-45F,DNS
3,983,312,"HOFSTETTER, ALEXANDER",Netherlands,M,Fin,40-59M,DNS
3,983,538,"DE BIE, BENJAMIN",Netherlands,M,Fin,40-59M,DNS
3,983,821,"BEZEMER, DENNIS",Netherlands,M,Open,40-59M,DNS
3,983,855,"VAN POPERING, ALBERT",Netherlands,M,Fin,40-59M,DNS
3,983,909,"KRAAN, PEPIJN",Netherlands,M,Fin,40-59M,DNS
3,983,928,"DUNNEWIND, ERNST",Netherlands,M,Fin,40-59M,DNS
3,983,949,"ENGEL, MICHAËL",Netherlands,M,Fin,40-59M,DNS
3,983,1046,"DE JONG, A.A.H.",Netherlands,M,Fin,40-59M,DNS
3,983,1074,"VAN HARTEN, ROBERT",Netherlands,M,Fin,60+M,DNS
3,983,1088,"BOER, MAGDELNA",Netherlands,F,Fin,45+F,DNS
3,983,1165,"HEIDA, JAN",Netherlands,M,Fin,40-59M,DNS
3,983,1270,"VAN DEN HOVEN, SANDER",Netherlands,M,Fin,40-59M,DNS
3,983,1271,"HUISMAN, ROB",Netherlands,M,Fin,40-59M,DNS
3,983,1274,"POLS, HAICO",Netherlands,M,Fin,40-59M,DNS
