RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,9,20,"VRIESWIJK, AMADO",Netherlands,M,Open,20-39M,00:33:47
1,10,69,"VONK, JORDY",Netherlands,M,Open,20-39M,00:34:15
1,24,647,"VAN DER MEER, HIDDE",Netherlands,M,Foil,U20M,00:36:12
1,26,584,"DALDORF, INGMAR",Netherlands,M,Open,20-39M,00:36:49
1,40,535,"WONDERGEM, FLORIS",Netherlands,M,Fin,20-39M,00:38:26
1,48,10955,"STROOSMA, SEM",Netherlands,M,Foil,U20M,00:39:02
1,52,10980,"BIJL, PIETER",Netherlands,M,Open,40-59M,00:39:34
1,54,949,"ENGEL, MICHAËL",Netherlands,M,Fin,40-59M,00:39:43
1,55,33,"WENNEKES, SARA",Netherlands,F,Foil,17-30F,00:39:44
1,58,9,"FRANS, TATY",Netherlands,M,Fin,20-39M,00:40:00
1,61,527,"HESSELS, KOEN",Netherlands,M,Open,U20M,00:40:13
1,65,782,"HEIDA, FRANK",Netherlands,M,Fin,40-59M,00:40:25
1,88,1353,"DE BOER, THEWES",Netherlands,M,Fin,40-59M,00:42:18
1,96,107,"HANEMAAIJER, THIJS",Netherlands,M,Open,U20M,00:42:50
1,108,1178,"DE JONG, DYLAN",Netherlands,M,Fin,40-59M,00:43:22
1,110,519,"WIERSTRA, NICO",Netherlands,M,Fin,40-59M,00:43:29
1,125,152,"BOSMAN, JORIS",Netherlands,M,Fin,40-59M,00:44:12
1,136,703,"MARTIJN, VAN NOORD",Netherlands,M,Fin,20-39M,00:44:49
1,156,613,"VAN DEN HEUVEL, THOMAS",Netherlands,M,Open,20-39M,00:46:01
1,176,57,"VAN DER STEEN, BEN",Netherlands,M,Open,40-59M,00:46:43
1,180,193,"DROOP, BJORN",Netherlands,M,Open,20-39M,00:46:54
1,180,1277,"VAN DER VEEN, JELLE",Netherlands,M,Open,20-39M,00:46:54
1,186,543,"VOORBERG, NICK",Netherlands,M,Fin,20-39M,00:47:06
1,187,10130,"DITS, PEYTON",Netherlands,M,Open,U16M,00:47:07
1,202,912,"VERMEULEN, JAN WILLEM",Netherlands,M,Open,40-59M,00:47:44
1,211,1278,"IMMENGA, MARK",Netherlands,M,Open,20-39M,00:48:13
1,216,571,"LAVERMAN, HERMAN",Netherlands,M,Fin,40-59M,00:48:17
1,240,628,"VAN DER VEEN, FEMKE",Netherlands,F,Open,17-30F,00:49:29
1,265,1254,"KRUIJTZER, PETER",Netherlands,M,Fin,40-59M,00:50:55
