RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,575,302,,"OLSZEWSKI, MACIEJ",Poland,M,Fin,40-59M,01:04:09,
1,676,562,,"KACPERSKI, MICHAL",Poland,M,Open,40-59M,01:08:30,
1,760,933,,"WOLYNIEC, BOGDAN",Poland,M,Fin,40-59M,01:13:00,
2,938,933,,"WOLYNIEC, BOGDAN",Poland,M,Fin,40-59M,01:09:11,
2,943,302,,"OLSZEWSKI, MACIEJ",Poland,M,Fin,40-59M,01:09:22,
2,975,562,,"KACPERSKI, MICHAL",Poland,M,Open,40-59M,01:10:55,
2,1121,370,,"DOMERADZKI, RAFA",Poland,M,Fin,40-59M,,DNS
2,1121,756,,"TORCZYSKI, TOMASZ",Poland,M,Fin,60+M,,DNS
2,1121,1147,,"KOSTRZEWA, MARIUSZ",Poland,M,Fin,40-59M,,DNS
2,1121,10100,,"RUTKOWSKI, MACIEK",Poland,M,Open,20-39M,,DNS
3,781,562,,"KACPERSKI, MICHAL",Poland,M,Open,40-59M,01:05:00,
3,970,756,,"TORCZYSKI, TOMASZ",Poland,M,Fin,60+M,01:26:37,
3,983,370,,"DOMERADZKI, RAFA",Poland,M,Fin,40-59M,01:59:51,
3,983,302,,"OLSZEWSKI, MACIEJ",Poland,M,Fin,40-59M,,DNS
3,983,933,,"WOLYNIEC, BOGDAN",Poland,M,Fin,40-59M,,DNS
3,983,1147,,"KOSTRZEWA, MARIUSZ",Poland,M,Fin,40-59M,,DNS
3,983,10100,,"RUTKOWSKI, MACIEK",Poland,M,Open,20-39M,,DNS
4,777,562,,"KACPERSKI, MICHAL",Poland,M,Open,40-59M,01:04:02,
4,1018,302,,"OLSZEWSKI, MACIEJ",Poland,M,Fin,40-59M,,DNS
4,1018,370,,"DOMERADZKI, RAFA",Poland,M,Fin,40-59M,,DNS
4,1018,756,,"TORCZYSKI, TOMASZ",Poland,M,Fin,60+M,,DNS
4,1018,933,,"WOLYNIEC, BOGDAN",Poland,M,Fin,40-59M,,DNS
4,1018,1147,,"KOSTRZEWA, MARIUSZ",Poland,M,Fin,40-59M,,DNS
4,1018,10100,,"RUTKOWSKI, MACIEK",Poland,M,Open,20-39M,,DNS
