RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
2,463,679,"TSENG, RONALD",Chinese Taipei,,M,Open,20-39M,00:51:47,
3,983,679,"TSENG, RONALD",Chinese Taipei,,M,Open,20-39M,,DNS
4,896,679,"TSENG, RONALD",Chinese Taipei,,M,Open,20-39M,01:10:12,
