RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,410,320,"FIVIAN, LUKAS",Switzerland,M,Fin,40-59M,00:57:38,
1,453,975,"TORNAY, VINCENT",Switzerland,M,Fin,40-59M,00:59:10,
1,489,1301,"SCHABACK, PASCAL",Switzerland,M,Fin,20-39M,01:00:35,
1,539,10312,"LOCHER, GUILLAUME",Switzerland,M,Fin,20-39M,01:02:07,
1,598,79,"SIGRIST, DIEGO",Switzerland,M,Fin,40-59M,01:04:54,
1,711,170,"WASMER, ANDY",Switzerland,M,Fin,40-59M,01:10:37,
1,723,541,"GILLIAND, SYLVAIN",Switzerland,M,Fin,40-59M,01:11:13,
1,746,1090,"BÄNZIGER, ALEXANDER",Switzerland,M,Fin,20-39M,01:12:19,
1,809,696,"ANDRES, THOMAS",Switzerland,M,Fin,40-59M,01:15:46,
1,886,469,"KRUMM, PATRICK",Switzerland,M,Fin,40-59M,01:21:11,
1,1012,1250,"MUSTER, LUCAS",Switzerland,M,Fin,40-59M,01:36:25,
2,65,1304,"COLOMBO, ELIA",Switzerland,M,Open,20-39M,00:37:23,
2,401,1301,"SCHABACK, PASCAL",Switzerland,M,Fin,20-39M,00:50:14,
2,508,10312,"LOCHER, GUILLAUME",Switzerland,M,Fin,20-39M,00:53:03,
2,543,26,"SINTIC, PAUL",Switzerland,M,Open,40-59M,00:54:29,
2,546,79,"SIGRIST, DIEGO",Switzerland,M,Fin,40-59M,00:54:36,
2,567,975,"TORNAY, VINCENT",Switzerland,M,Fin,40-59M,00:55:32,
2,634,541,"GILLIAND, SYLVAIN",Switzerland,M,Fin,40-59M,00:58:02,
2,648,320,"FIVIAN, LUKAS",Switzerland,M,Fin,40-59M,00:58:26,
2,674,170,"WASMER, ANDY",Switzerland,M,Fin,40-59M,00:59:09,
2,695,469,"KRUMM, PATRICK",Switzerland,M,Fin,40-59M,00:59:42,
2,698,1090,"BÄNZIGER, ALEXANDER",Switzerland,M,Fin,20-39M,00:59:49,
2,882,1250,"MUSTER, LUCAS",Switzerland,M,Fin,40-59M,01:07:08,
2,940,946,"MEIER, ALEXANDRA",Switzerland,F,Open,45+F,01:09:16,
2,954,738,"FELS, STEPHAN",Switzerland,M,Open,40-59M,01:09:46,
2,1026,1325,"HOFMANN, SVEN",Switzerland,M,Fin,20-39M,01:14:03,
2,1093,696,"ANDRES, THOMAS",Switzerland,M,Fin,40-59M,01:24:41,
2,1121,90,"GERMANN, NIKOLAI",Switzerland,M,Fin,40-59M,,DNS
2,1121,431,"SCHÖNBERGER, YVES",Switzerland,M,Open,40-59M,,DNS
2,1121,1009,"ALAIN, JÖRG",Switzerland,M,Fin,40-59M,,DNS
3,80,1304,"COLOMBO, ELIA",Switzerland,M,Open,20-39M,00:38:50,
3,307,10312,"LOCHER, GUILLAUME",Switzerland,M,Fin,20-39M,00:47:14,
3,431,1301,"SCHABACK, PASCAL",Switzerland,M,Fin,20-39M,00:51:05,
3,452,79,"SIGRIST, DIEGO",Switzerland,M,Fin,40-59M,00:51:48,
3,497,26,"SINTIC, PAUL",Switzerland,M,Open,40-59M,00:53:22,
3,541,541,"GILLIAND, SYLVAIN",Switzerland,M,Fin,40-59M,00:54:53,
3,556,975,"TORNAY, VINCENT",Switzerland,M,Fin,40-59M,00:55:41,
3,559,320,"FIVIAN, LUKAS",Switzerland,M,Fin,40-59M,00:55:44,
3,562,738,"FELS, STEPHAN",Switzerland,M,Open,40-59M,00:55:56,
3,611,469,"KRUMM, PATRICK",Switzerland,M,Fin,40-59M,00:58:00,
3,640,1090,"BÄNZIGER, ALEXANDER",Switzerland,M,Fin,20-39M,00:59:32,
3,717,170,"WASMER, ANDY",Switzerland,M,Fin,40-59M,01:02:23,
3,905,946,"MEIER, ALEXANDRA",Switzerland,F,Open,45+F,01:11:55,
3,951,1250,"MUSTER, LUCAS",Switzerland,M,Fin,40-59M,01:17:24,
3,983,90,"GERMANN, NIKOLAI",Switzerland,M,Fin,40-59M,,DNS
3,983,431,"SCHÖNBERGER, YVES",Switzerland,M,Open,40-59M,,DNS
3,983,696,"ANDRES, THOMAS",Switzerland,M,Fin,40-59M,,DNS
3,983,1009,"ALAIN, JÖRG",Switzerland,M,Fin,40-59M,,DNS
3,983,1325,"HOFMANN, SVEN",Switzerland,M,Fin,20-39M,,DNS
4,35,1304,"COLOMBO, ELIA",Switzerland,M,Open,20-39M,00:35:45,
4,277,26,"SINTIC, PAUL",Switzerland,M,Open,40-59M,00:47:06,
4,285,10312,"LOCHER, GUILLAUME",Switzerland,M,Fin,20-39M,00:47:25,
4,395,1301,"SCHABACK, PASCAL",Switzerland,M,Fin,20-39M,00:51:53,
4,550,170,"WASMER, ANDY",Switzerland,M,Fin,40-59M,00:56:34,
4,596,79,"SIGRIST, DIEGO",Switzerland,M,Fin,40-59M,00:57:50,
4,697,320,"FIVIAN, LUKAS",Switzerland,M,Fin,40-59M,01:01:04,
4,726,1250,"MUSTER, LUCAS",Switzerland,M,Fin,40-59M,01:02:12,
4,808,1090,"BÄNZIGER, ALEXANDER",Switzerland,M,Fin,20-39M,01:04:59,
4,873,946,"MEIER, ALEXANDRA",Switzerland,F,Open,45+F,01:08:36,
4,918,696,"ANDRES, THOMAS",Switzerland,M,Fin,40-59M,01:12:22,
4,988,738,"FELS, STEPHAN",Switzerland,M,Open,40-59M,01:28:21,
4,1018,1009,"ALAIN, JÖRG",Switzerland,M,Fin,40-59M,,DNF
4,1018,90,"GERMANN, NIKOLAI",Switzerland,M,Fin,40-59M,,DNS
4,1018,431,"SCHÖNBERGER, YVES",Switzerland,M,Open,40-59M,,DNS
4,1018,469,"KRUMM, PATRICK",Switzerland,M,Fin,40-59M,,DNS
4,1018,541,"GILLIAND, SYLVAIN",Switzerland,M,Fin,40-59M,,DNS
4,1018,975,"TORNAY, VINCENT",Switzerland,M,Fin,40-59M,,DNS
4,1018,1325,"HOFMANN, SVEN",Switzerland,M,Fin,20-39M,,DNS
