RaceNo,Place,Tally,HelmName,Nat,HelmSex,Class,HelmAgeGroup,Elapsed
1,1,465,"GOYARD, NICOLAS",France,M,Foil,20-39M,00:32:19
1,2,37,"SØE, JOHAN",Denmark,M,Open,U20M,00:32:45
1,3,14,"MORTEFON, PIERRE",France,M,Open,20-39M,00:32:57
1,4,330,"HUPPERT, WILLIAM",France,M,Foil,20-39M,00:32:58
1,5,3,"GOYARD, THOMAS",France,M,Foil,20-39M,00:33:02
1,6,531,"WAREMBOURG, NICOLAS",France,M,Open,40-59M,00:33:03
1,7,752,"COUSIN, ALEXANDRE",France,M,Open,20-39M,00:33:22
1,8,192,"ALBEAU, ANTOINE",France,M,Open,40-59M,00:33:43
1,9,20,"VRIESWIJK, AMADO",Netherlands,M,Open,20-39M,00:33:47
1,10,69,"VONK, JORDY",Netherlands,M,Open,20-39M,00:34:15
1,11,240,"MARTINI, Bruno",Italy,M,Open,20-39M,00:34:32
1,12,10798,"IACHINO, MATTEO",Italy,M,Open,20-39M,00:34:44
1,13,99,"QUESTEL, ANTOINE",France,M,Open,20-39M,00:34:47
1,14,819,"MATHIS, ALEXIS",France,M,Foil,20-39M,00:34:53
1,15,1104,"MAROTTI, ENRICO",Croatia,M,Foil,20-39M,00:35:05
1,16,18,"JASIUNAS, RYTIS",Lithuania,M,Open,20-39M,00:35:23
1,17,1220,"JULES, LOHAN",France,M,Fin,20-39M,00:35:28
1,18,6,"BONTEMPS, JULIEN",France,M,Foil,40-59M,00:35:33
1,19,1159,"MERCEUR, BENOÎT",France,M,Open,20-39M,00:35:42
1,20,338,"MESTRE, ADRIEN",France,M,Foil,20-39M,00:35:44
1,21,820,"GUIRAUD, LUCAS",France,M,Foil,20-39M,00:35:48
1,22,91,"BORDES, CEDRIC",France,M,Open,20-39M,00:36:11
1,22,665,"BOURGEOIS, SÉBASTIEN",France,M,Open,20-39M,00:36:11
1,24,647,"VAN DER MEER, HIDDE",Netherlands,M,Foil,U20M,00:36:12
1,25,10159,"GENEVOIS, Armand",France,M,Foil,20-39M,00:36:26
1,26,584,"DALDORF, INGMAR",Netherlands,M,Open,20-39M,00:36:49
1,27,486,"STALLMAN, SCOTTY",United Kingdom,M,Open,20-39M,00:36:50
1,28,73,"FASQUELLE, VICTOR",France,M,Fin,20-39M,00:36:55
1,29,7,"PRIEN, NICOLAS",Germany,M,Open,20-39M,00:37:02
1,30,479,"MURATEL, OSCAR",France,M,Foil,U20M,00:37:03
1,31,585,"KLAAIJSEN, DENNIS",France,M,Fin,40-59M,00:37:12
1,32,101500,"BOZEC, CLÉMENT",France,M,Open,20-39M,00:37:14
1,33,38,"GARANDEAU, NOE",France,M,Foil,U20M,00:37:20
1,34,888,"THIEME, JIMMY",France,M,Fin,20-39M,00:37:37
1,35,10945,"MACQUAERT, PIERRE",France,M,Open,20-39M,00:37:43
1,36,619,"CARFANTAN, OCTAVE",France,M,Open,U20M,00:38:04
1,37,1129,"ARNOUX, DAMIEN",France,M,Open,20-39M,00:38:08
1,38,177,"BOJE, ANDERS",Denmark,M,Open,40-59M,00:38:10
1,39,549,"RODES, JOAQUIM",Spain,M,Fin,40-59M,00:38:15
1,40,535,"WONDERGEM, FLORIS",Netherlands,M,Fin,20-39M,00:38:26
1,41,557,"ASSORIN, MATHIEU",France,M,Foil,U20M,00:38:27
1,42,592,"LAUMOND, JOHANN",France,M,Fin,20-39M,00:38:34
1,43,602,"SAILLARD, NICOLAS",France,M,Open,20-39M,00:38:35
1,44,171,"LEMETEYER, JUSTINE",France,F,Open,17-30F,00:38:44
1,45,55,"EMANUELSSON, MARKUS",Sweden,M,Open,40-59M,00:38:45
1,45,390,"FORÉS, NICO",Spain,M,Foil,20-39M,00:38:45
1,47,45,"SJÖBERG, HUGO",Sweden,M,Open,20-39M,00:38:53
1,48,10955,"STROOSMA, SEM",Netherlands,M,Foil,U20M,00:39:02
1,49,29,"BERNARD, OLIVIER",France,M,Open,40-59M,00:39:07
1,50,250,"EVRARD, CYRIL",France,M,Open,U20M,00:39:08
1,51,10714,"GUYADER, ALEXANDRE",France,M,Open,40-59M,00:39:23
1,52,10980,"BIJL, PIETER",Netherlands,M,Open,40-59M,00:39:34
1,53,273,"JOLY, XAVIER",France,M,Open,40-59M,00:39:36
1,54,949,"ENGEL, MICHAËL",Netherlands,M,Fin,40-59M,00:39:43
1,55,33,"WENNEKES, SARA",Netherlands,F,Foil,17-30F,00:39:44
1,56,334,"RIEGLER, DANIEL",Austria,M,Foil,20-39M,00:39:48
1,57,416,"DREYFUS, TIMOTHÉ",France,M,Foil,U20M,00:39:54
1,58,9,"FRANS, TATY",Netherlands,M,Fin,20-39M,00:40:00
1,58,1322,"MOUSSILMANI, CYRIL",France,M,Fin,40-59M,00:40:00
1,60,410,"LHUILLIER, MAXIME",France,M,Fin,20-39M,00:40:10
1,61,527,"HESSELS, KOEN",Netherlands,M,Open,U20M,00:40:13
1,62,422,"CERVERA, DAMIEN",France,M,Fin,20-39M,00:40:14
1,63,10848,"CANO, MATEO",France,M,Open,40-59M,00:40:16
1,64,633,"PIERBONI, LUCAS",France,M,Open,U20M,00:40:19
1,65,782,"HEIDA, FRANK",Netherlands,M,Fin,40-59M,00:40:25
1,66,101,"DEVIME, LAURENT",France,M,Fin,40-59M,00:40:30
1,67,1323,"TOMONORI, ANAMI",Japan,M,Open,20-39M,00:40:32
1,68,775,"COUSIN QUESTEL, DELPHINE",France,F,Open,31-45F,00:40:33
1,69,973,"CHAUMET-LAGRANGE, RENAUD",France,M,Fin,40-59M,00:40:34
1,70,60,"HOUDIER, FREDERIC",France,M,Fin,40-59M,00:40:35
1,71,449,"DALIBOT, MAËL",France,M,Foil,U20M,00:40:50
1,72,10891,"ALABAU, BLANCA",Spain,F,Open,17-30F,00:40:57
1,73,1249,"CUCCHI, Andréa",Italy,M,Fin,40-59M,00:41:04
1,74,684,"GROUEIX, BASTIEN",France,M,Fin,U20M,00:41:05
1,75,1066,"DESAEVER, LAURENT",Belgium,M,Fin,40-59M,00:41:06
1,76,902,"JOLY, ELIOT",France,M,Fin,U20M,00:41:24
1,77,939,"RUQUET, SIMON",France,M,Fin,20-39M,00:41:25
