RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,604,475,"MEZEY, ZOLTÁN",Hungary,,M,40-49M,01:22:03,604.0,
1,679,669,"KUNT, ANDRAS",Hungary,,M,50-59M,,,DNF
1,679,982,"PREGUN, GYULA",Hungary,,M,50-59M,,,DNF
1,679,1029,"TÖRÖK, CECILIA",Hungary,,F,31-45F,,,DNF
1,679,1118,"FERENC, SZKE",Hungary,,M,40-49M,,,DNF
1,679,640,"HERCZOG, PÉTER",Hungary,,M,40-49M,,,DNS
2,565,475,"MEZEY, ZOLTÁN",Hungary,,M,40-49M,00:59:00,565.0,
2,580,669,"KUNT, ANDRAS",Hungary,,M,50-59M,00:59:41,580.0,
2,863,640,"HERCZOG, PÉTER",Hungary,,M,40-49M,,,DNS
2,863,982,"PREGUN, GYULA",Hungary,,M,50-59M,,,DNS
2,863,1029,"TÖRÖK, CECILIA",Hungary,,F,31-45F,,,DNS
2,863,1118,"FERENC, SZKE",Hungary,,M,40-49M,,,DNS
3,560,475,"MEZEY, ZOLTÁN",Hungary,,M,40-49M,01:00:17,560.0,
3,829,640,"HERCZOG, PÉTER",Hungary,,M,40-49M,,,DNF
3,829,1029,"TÖRÖK, CECILIA",Hungary,,F,31-45F,,,DNF
3,829,1118,"FERENC, SZKE",Hungary,,M,40-49M,,,DNF
3,829,669,"KUNT, ANDRAS",Hungary,,M,50-59M,,,DNS
3,829,982,"PREGUN, GYULA",Hungary,,M,50-59M,,,DNS
4,613,669,"KUNT, ANDRAS",Hungary,,M,50-59M,01:19:00,613.0,
4,637,475,"MEZEY, ZOLTÁN",Hungary,,M,40-49M,01:21:22,637.0,
4,818,640,"HERCZOG, PÉTER",Hungary,,M,40-49M,,,DNF
4,818,982,"PREGUN, GYULA",Hungary,,M,50-59M,,,DNS
4,818,1029,"TÖRÖK, CECILIA",Hungary,,F,31-45F,,,DNS
4,818,1118,"FERENC, SZKE",Hungary,,M,40-49M,,,DNS
5,420,475,"MEZEY, ZOLTÁN",Hungary,,M,40-49M,,416.0,
5,732,640,"HERCZOG, PÉTER",Hungary,,M,40-49M,,1249.0,
5,732,669,"KUNT, ANDRAS",Hungary,,M,50-59M,,1249.0,
5,732,982,"PREGUN, GYULA",Hungary,,M,50-59M,,1249.0,
5,732,1029,"TÖRÖK, CECILIA",Hungary,,F,31-45F,,1249.0,
5,732,1118,"FERENC, SZKE",Hungary,,M,40-49M,,1249.0,
