RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
4,576,575,"COOPER, RODDY",United Kingdom,,M,50-59M,01:16:38,576.0,
4,619,295,"JERRARD, MARTIN",United Kingdom,K-74,M,50-59M,01:19:44,619.0,
4,670,926,"MASKREY, BEN",United Kingdom,,M,40-49M,01:23:40,670.0,
4,728,242,"BARNES, NICHOLAS",United Kingdom,,M,40-49M,01:30:30,728.0,
4,776,1421,"GOODWIN, GARRY",United Kingdom,,M,60+M,01:37:41,776.0,
4,818,267,"CHESTER, ADAM",United Kingdom,,M,40-49M,,,DNF
4,818,282,"KIRSCHNER, JON",United Kingdom,,M,50-59M,,,DNF
4,818,427,"KEARNS, PAUL",United Kingdom,,M,30-39M,,,DNF
4,818,641,"MCCULLOCH, SIMON",United Kingdom,,M,30-39M,,,DNF
4,818,796,"DAY, MARK",United Kingdom,,M,50-59M,,,DNF
4,818,1025,"THOMPSON, PETER",United Kingdom,,M,50-59M,,,DNF
4,818,1037,"ZIELINSKI, MARCIN",United Kingdom,,M,40-49M,,,DNF
4,818,20,"SILLS, SAM",United Kingdom,,M,20-29M,,,DNS
4,818,64,"SHAW, MICHAEL",United Kingdom,,M,50-59M,,,DNS
4,818,88,"CLARK, ROGER",United Kingdom,K88,M,50-59M,,,DNS
4,818,95,"LATHAM, SAM",United Kingdom,K15,M,20-29M,,,DNS
4,818,123,"THOMPSON, STEVE",United Kingdom,,M,60+M,,,DNS
4,818,222,"SQUIRES, TOM",United Kingdom,,M,20-29M,,,DNS
4,818,268,"SHARP, ALEX",United Kingdom,,M,50-59M,,,DNS
4,818,414,"JEFFERY, CHRISTOPHER",United Kingdom,,M,40-49M,,,DNS
4,818,543,"COLLES, TIM",United Kingdom,,M,40-49M,,,DNS
4,818,636,"GREENTREE, NEIL",United Kingdom,,M,50-59M,,,DNS
4,818,818,"WARREN, GEORGE",United Kingdom,,M,60+M,,,DNS
4,818,1023,"SPRIGGS, NIGEL",United Kingdom,,M,50-59M,,,DNS
4,818,1054,"METCALFE, JONATHAN",United Kingdom,,M,50-59M,,,DNS
5,33,10092,"PROFFIT, BEN",United Kingdom,,M,40-49M,,32.0,
5,53,493,"DINSMORE, JAMES",United Kingdom,GBR-659,M,40-49M,,52.0,
5,207,213,"HART, ANDY",United Kingdom,,M,30-39M,,204.0,
5,213,440,"HUTCHINSON, DEAN",United Kingdom,,M,50-59M,,210.0,
5,217,177,"READ, ALICE",United Kingdom,GBR-248,F,17-30F,,214.0,
5,227,267,"CHESTER, ADAM",United Kingdom,,M,40-49M,,224.0,
5,228,71,"JACKSON, SARAH",United Kingdom,GBR-71,F,17-30F,,225.0,
5,242,491,"COOK, SHAUN",United Kingdom,,M,40-49M,,239.0,
5,280,865,"HINSLEY, DAVID",United Kingdom,,M,50-59M,,277.0,
5,332,1022,"SPOONER, MATTHEW",United Kingdom,,M,50-59M,,328.0,
5,337,757,"ELLIOT, GUY",United Kingdom,,M,40-49M,,333.0,
5,450,606,"CONNELL, GARRY",United Kingdom,GBR-606,M,50-59M,,446.0,
5,496,623,"JEFFERY, NICK",United Kingdom,,M,40-49M,,492.0,
5,507,575,"COOPER, RODDY",United Kingdom,,M,50-59M,,503.0,
5,517,926,"MASKREY, BEN",United Kingdom,,M,40-49M,,512.0,
5,668,295,"JERRARD, MARTIN",United Kingdom,K-74,M,50-59M,,661.0,
5,713,242,"BARNES, NICHOLAS",United Kingdom,,M,40-49M,,706.0,
5,732,20,"SILLS, SAM",United Kingdom,,M,20-29M,,1249.0,
5,732,268,"SHARP, ALEX",United Kingdom,,M,50-59M,,1249.0,
5,732,282,"KIRSCHNER, JON",United Kingdom,,M,50-59M,,1249.0,
5,732,358,"NORTHWOOD, GERRY",United Kingdom,,M,60+M,,1249.0,
5,732,427,"KEARNS, PAUL",United Kingdom,,M,30-39M,,1249.0,
5,732,579,"TAYLOR, ROGER",United Kingdom,GBR-901,M,40-49M,,1249.0,
5,732,641,"MCCULLOCH, SIMON",United Kingdom,,M,30-39M,,1249.0,
5,732,796,"DAY, MARK",United Kingdom,,M,50-59M,,1249.0,
5,732,984,"CHIPPINGTON, SIMON",United Kingdom,GBR-984,M,50-59M,,1249.0,
5,732,1025,"THOMPSON, PETER",United Kingdom,,M,50-59M,,1249.0,
5,732,1421,"GOODWIN, GARRY",United Kingdom,,M,60+M,,1249.0,
5,940,64,"SHAW, MICHAEL",United Kingdom,,M,50-59M,,1250.0,
5,940,88,"CLARK, ROGER",United Kingdom,K88,M,50-59M,,1250.0,
5,940,95,"LATHAM, SAM",United Kingdom,K15,M,20-29M,,1250.0,
5,940,123,"THOMPSON, STEVE",United Kingdom,,M,60+M,,1250.0,
5,940,222,"SQUIRES, TOM",United Kingdom,,M,20-29M,,1250.0,
5,940,414,"JEFFERY, CHRISTOPHER",United Kingdom,,M,40-49M,,1250.0,
5,940,543,"COLLES, TIM",United Kingdom,,M,40-49M,,1250.0,
5,940,636,"GREENTREE, NEIL",United Kingdom,,M,50-59M,,1250.0,
5,940,818,"WARREN, GEORGE",United Kingdom,,M,60+M,,1250.0,
5,940,1023,"SPRIGGS, NIGEL",United Kingdom,,M,50-59M,,1250.0,
5,940,1037,"ZIELINSKI, MARCIN",United Kingdom,,M,40-49M,,1250.0,
5,940,1054,"METCALFE, JONATHAN",United Kingdom,,M,50-59M,,1250.0,
