RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,73,10092,"PROFFIT, BEN",United Kingdom,,M,40-49M,00:41:47,73.0,
1,99,493,"DINSMORE, JAMES",United Kingdom,GBR-659,M,40-49M,00:43:57,99.0,
1,108,1025,"THOMPSON, PETER",United Kingdom,,M,50-59M,00:44:28,108.0,
1,144,71,"JACKSON, SARAH",United Kingdom,GBR-71,F,17-30F,00:46:32,144.0,
1,181,606,"CONNELL, GARRY",United Kingdom,GBR-606,M,50-59M,00:48:52,181.0,
1,193,440,"HUTCHINSON, DEAN",United Kingdom,,M,50-59M,00:49:28,193.0,
1,258,1022,"SPOONER, MATTHEW",United Kingdom,,M,50-59M,00:53:59,258.0,
1,292,575,"COOPER, RODDY",United Kingdom,,M,50-59M,00:55:44,292.0,
1,296,267,"CHESTER, ADAM",United Kingdom,,M,40-49M,00:56:00,296.0,
1,303,491,"COOK, SHAUN",United Kingdom,,M,40-49M,00:56:13,303.0,
1,304,358,"NORTHWOOD, GERRY",United Kingdom,,M,60+M,00:56:18,304.0,
1,345,177,"READ, ALICE",United Kingdom,GBR-248,F,17-30F,00:59:12,345.0,
1,372,865,"HINSLEY, DAVID",United Kingdom,,M,50-59M,01:00:26,372.0,
1,403,757,"ELLIOT, GUY",United Kingdom,,M,40-49M,01:02:07,403.0,
1,419,242,"BARNES, NICHOLAS",United Kingdom,,M,40-49M,01:03:07,419.0,
1,422,623,"JEFFERY, NICK",United Kingdom,,M,40-49M,01:03:13,422.0,
1,442,984,"CHIPPINGTON, SIMON",United Kingdom,GBR-984,M,50-59M,01:04:23,442.0,
1,626,926,"MASKREY, BEN",United Kingdom,,M,40-49M,01:25:13,626.0,
1,679,64,"SHAW, MICHAEL",United Kingdom,,M,50-59M,,,DNF
1,679,88,"CLARK, ROGER",United Kingdom,K88,M,50-59M,,,DNF
1,679,213,"HART, ANDY",United Kingdom,,M,30-39M,,,DNF
1,679,268,"SHARP, ALEX",United Kingdom,,M,50-59M,,,DNF
1,679,282,"KIRSCHNER, JON",United Kingdom,,M,50-59M,,,DNF
1,679,295,"JERRARD, MARTIN",United Kingdom,K-74,M,50-59M,,,DNF
1,679,414,"JEFFERY, CHRISTOPHER",United Kingdom,,M,40-49M,,,DNF
1,679,427,"KEARNS, PAUL",United Kingdom,,M,30-39M,,,DNF
1,679,543,"COLLES, TIM",United Kingdom,,M,40-49M,,,DNF
1,679,579,"TAYLOR, ROGER",United Kingdom,GBR-901,M,40-49M,,,DNF
1,679,641,"MCCULLOCH, SIMON",United Kingdom,,M,30-39M,,,DNF
1,679,796,"DAY, MARK",United Kingdom,,M,50-59M,,,DNF
1,679,1037,"ZIELINSKI, MARCIN",United Kingdom,,M,40-49M,,,DNF
1,679,1421,"GOODWIN, GARRY",United Kingdom,,M,60+M,,,DNF
1,679,20,"SILLS, SAM",United Kingdom,,M,20-29M,,,DNS
1,679,95,"LATHAM, SAM",United Kingdom,K15,M,20-29M,,,DNS
1,679,123,"THOMPSON, STEVE",United Kingdom,,M,60+M,,,DNS
1,679,222,"SQUIRES, TOM",United Kingdom,,M,20-29M,,,DNS
1,679,636,"GREENTREE, NEIL",United Kingdom,,M,50-59M,,,DNS
1,679,818,"WARREN, GEORGE",United Kingdom,,M,60+M,,,DNS
1,679,1023,"SPRIGGS, NIGEL",United Kingdom,,M,50-59M,,,DNS
1,679,1054,"METCALFE, JONATHAN",United Kingdom,,M,50-59M,,,DNS
2,58,493,"DINSMORE, JAMES",United Kingdom,GBR-659,M,40-49M,00:38:19,58.0,
2,115,606,"CONNELL, GARRY",United Kingdom,GBR-606,M,50-59M,00:41:52,115.0,
2,129,10092,"PROFFIT, BEN",United Kingdom,,M,40-49M,00:42:32,129.0,
2,140,71,"JACKSON, SARAH",United Kingdom,GBR-71,F,17-30F,00:43:13,140.0,
2,192,491,"COOK, SHAUN",United Kingdom,,M,40-49M,00:45:12,192.0,
2,210,1025,"THOMPSON, PETER",United Kingdom,,M,50-59M,00:46:02,210.0,
2,226,1022,"SPOONER, MATTHEW",United Kingdom,,M,50-59M,00:46:32,226.0,
2,230,267,"CHESTER, ADAM",United Kingdom,,M,40-49M,00:46:43,230.0,
2,269,440,"HUTCHINSON, DEAN",United Kingdom,,M,50-59M,00:48:01,269.0,
2,294,213,"HART, ANDY",United Kingdom,,M,30-39M,00:49:08,294.0,
2,305,20,"SILLS, SAM",United Kingdom,,M,20-29M,00:49:36,305.0,
2,320,575,"COOPER, RODDY",United Kingdom,,M,50-59M,00:50:16,320.0,
2,362,757,"ELLIOT, GUY",United Kingdom,,M,40-49M,00:51:33,362.0,
2,384,427,"KEARNS, PAUL",United Kingdom,,M,30-39M,00:52:11,384.0,
2,385,177,"READ, ALICE",United Kingdom,GBR-248,F,17-30F,00:52:14,385.0,
2,398,358,"NORTHWOOD, GERRY",United Kingdom,,M,60+M,00:52:41,398.0,
2,439,623,"JEFFERY, NICK",United Kingdom,,M,40-49M,00:54:02,439.0,
2,493,984,"CHIPPINGTON, SIMON",United Kingdom,GBR-984,M,50-59M,00:55:37,493.0,
2,587,295,"JERRARD, MARTIN",United Kingdom,K-74,M,50-59M,01:00:12,587.0,
2,590,242,"BARNES, NICHOLAS",United Kingdom,,M,40-49M,01:00:21,590.0,
2,640,579,"TAYLOR, ROGER",United Kingdom,GBR-901,M,40-49M,01:02:30,640.0,
2,677,268,"SHARP, ALEX",United Kingdom,,M,50-59M,01:04:09,677.0,
2,749,1421,"GOODWIN, GARRY",United Kingdom,,M,60+M,01:08:19,749.0,
2,809,88,"CLARK, ROGER",United Kingdom,K88,M,50-59M,01:14:33,809.0,
2,863,64,"SHAW, MICHAEL",United Kingdom,,M,50-59M,,,DNF
2,863,282,"KIRSCHNER, JON",United Kingdom,,M,50-59M,,,DNF
2,863,641,"MCCULLOCH, SIMON",United Kingdom,,M,30-39M,,,DNF
2,863,796,"DAY, MARK",United Kingdom,,M,50-59M,,,DNF
2,863,95,"LATHAM, SAM",United Kingdom,K15,M,20-29M,,,DNS
2,863,123,"THOMPSON, STEVE",United Kingdom,,M,60+M,,,DNS
2,863,222,"SQUIRES, TOM",United Kingdom,,M,20-29M,,,DNS
2,863,414,"JEFFERY, CHRISTOPHER",United Kingdom,,M,40-49M,,,DNS
2,863,543,"COLLES, TIM",United Kingdom,,M,40-49M,,,DNS
2,863,636,"GREENTREE, NEIL",United Kingdom,,M,50-59M,,,DNS
2,863,818,"WARREN, GEORGE",United Kingdom,,M,60+M,,,DNS
2,863,865,"HINSLEY, DAVID",United Kingdom,,M,50-59M,,,DNS
2,863,926,"MASKREY, BEN",United Kingdom,,M,40-49M,,,DNS
2,863,1023,"SPRIGGS, NIGEL",United Kingdom,,M,50-59M,,,DNS
2,863,1037,"ZIELINSKI, MARCIN",United Kingdom,,M,40-49M,,,DNS
2,863,1054,"METCALFE, JONATHAN",United Kingdom,,M,50-59M,,,DNS
3,45,493,"DINSMORE, JAMES",United Kingdom,GBR-659,M,40-49M,00:36:10,45.0,
3,119,10092,"PROFFIT, BEN",United Kingdom,,M,40-49M,00:41:05,119.0,
3,155,267,"CHESTER, ADAM",United Kingdom,,M,40-49M,00:43:05,155.0,
3,160,20,"SILLS, SAM",United Kingdom,,M,20-29M,00:43:12,160.0,
3,162,1022,"SPOONER, MATTHEW",United Kingdom,,M,50-59M,00:43:17,162.0,
3,190,71,"JACKSON, SARAH",United Kingdom,GBR-71,F,17-30F,00:44:37,190.0,
3,225,213,"HART, ANDY",United Kingdom,,M,30-39M,00:46:17,225.0,
3,238,177,"READ, ALICE",United Kingdom,GBR-248,F,17-30F,00:46:32,238.0,
3,246,1025,"THOMPSON, PETER",United Kingdom,,M,50-59M,00:46:52,246.0,
3,260,440,"HUTCHINSON, DEAN",United Kingdom,,M,50-59M,00:47:40,260.0,
3,294,491,"COOK, SHAUN",United Kingdom,,M,40-49M,00:48:43,294.0,
3,415,606,"CONNELL, GARRY",United Kingdom,GBR-606,M,50-59M,00:53:38,415.0,
3,462,295,"JERRARD, MARTIN",United Kingdom,K-74,M,50-59M,00:55:48,462.0,
3,463,427,"KEARNS, PAUL",United Kingdom,,M,30-39M,00:55:49,463.0,
3,493,757,"ELLIOT, GUY",United Kingdom,,M,40-49M,00:57:12,493.0,
3,512,358,"NORTHWOOD, GERRY",United Kingdom,,M,60+M,00:57:53,512.0,
3,533,579,"TAYLOR, ROGER",United Kingdom,GBR-901,M,40-49M,00:58:51,533.0,
3,616,575,"COOPER, RODDY",United Kingdom,,M,50-59M,01:02:32,616.0,
3,663,88,"CLARK, ROGER",United Kingdom,K88,M,50-59M,01:05:02,663.0,
3,681,1421,"GOODWIN, GARRY",United Kingdom,,M,60+M,01:05:58,681.0,
3,697,242,"BARNES, NICHOLAS",United Kingdom,,M,40-49M,01:06:48,697.0,
3,728,926,"MASKREY, BEN",United Kingdom,,M,40-49M,01:09:10,728.0,
3,760,984,"CHIPPINGTON, SIMON",United Kingdom,GBR-984,M,50-59M,01:13:07,760.0,
3,803,623,"JEFFERY, NICK",United Kingdom,,M,40-49M,01:23:55,803.0,
3,810,543,"COLLES, TIM",United Kingdom,,M,40-49M,01:30:26,810.0,
3,829,64,"SHAW, MICHAEL",United Kingdom,,M,50-59M,,,DNF
3,829,268,"SHARP, ALEX",United Kingdom,,M,50-59M,,,DNF
3,829,95,"LATHAM, SAM",United Kingdom,K15,M,20-29M,,,DNS
3,829,123,"THOMPSON, STEVE",United Kingdom,,M,60+M,,,DNS
3,829,222,"SQUIRES, TOM",United Kingdom,,M,20-29M,,,DNS
3,829,282,"KIRSCHNER, JON",United Kingdom,,M,50-59M,,,DNS
3,829,414,"JEFFERY, CHRISTOPHER",United Kingdom,,M,40-49M,,,DNS
3,829,636,"GREENTREE, NEIL",United Kingdom,,M,50-59M,,,DNS
3,829,641,"MCCULLOCH, SIMON",United Kingdom,,M,30-39M,,,DNS
3,829,796,"DAY, MARK",United Kingdom,,M,50-59M,,,DNS
3,829,818,"WARREN, GEORGE",United Kingdom,,M,60+M,,,DNS
3,829,865,"HINSLEY, DAVID",United Kingdom,,M,50-59M,,,DNS
3,829,1023,"SPRIGGS, NIGEL",United Kingdom,,M,50-59M,,,DNS
3,829,1037,"ZIELINSKI, MARCIN",United Kingdom,,M,40-49M,,,DNS
3,829,1054,"METCALFE, JONATHAN",United Kingdom,,M,50-59M,,,DNS
4,31,10092,"PROFFIT, BEN",United Kingdom,,M,40-49M,00:39:29,31.0,
4,89,493,"DINSMORE, JAMES",United Kingdom,GBR-659,M,40-49M,00:44:50,89.0,
4,186,71,"JACKSON, SARAH",United Kingdom,GBR-71,F,17-30F,00:52:50,186.0,
4,189,177,"READ, ALICE",United Kingdom,GBR-248,F,17-30F,00:53:05,189.0,
4,205,1022,"SPOONER, MATTHEW",United Kingdom,,M,50-59M,00:54:01,205.0,
4,296,491,"COOK, SHAUN",United Kingdom,,M,40-49M,01:00:13,296.0,
4,310,865,"HINSLEY, DAVID",United Kingdom,,M,50-59M,01:00:50,310.0,
4,319,440,"HUTCHINSON, DEAN",United Kingdom,,M,50-59M,01:01:21,319.0,
4,378,213,"HART, ANDY",United Kingdom,,M,30-39M,01:04:50,378.0,
4,398,757,"ELLIOT, GUY",United Kingdom,,M,40-49M,01:06:35,398.0,
4,442,623,"JEFFERY, NICK",United Kingdom,,M,40-49M,01:08:57,442.0,
4,453,606,"CONNELL, GARRY",United Kingdom,GBR-606,M,50-59M,01:09:29,453.0,
4,544,358,"NORTHWOOD, GERRY",United Kingdom,,M,60+M,01:14:29,544.0,
4,559,579,"TAYLOR, ROGER",United Kingdom,GBR-901,M,40-49M,01:15:14,559.0,
4,564,984,"CHIPPINGTON, SIMON",United Kingdom,GBR-984,M,50-59M,01:15:43,564.0,
