RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,27,401,"MAROTTI, Enrico",Croatia,M,30-39M,00:37:13,27.0,
2,15,401,"MAROTTI, Enrico",Croatia,M,30-39M,00:34:09,15.0,
3,8,401,"MAROTTI, Enrico",Croatia,M,30-39M,00:33:09,8.0,
4,16,401,"MAROTTI, Enrico",Croatia,M,30-39M,00:37:16,16.0,
5,732,401,"MAROTTI, Enrico",Croatia,M,30-39M,,1249.0,
