RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,16,11,"DUNKERBECK, Bjorn",Spain,,M,50-59M,00:35:18,16.0,
1,53,990,"RODES, Joaquin",Spain,,M,50-59M,00:39:39,53.0,
1,129,1170,"PEREZ AGUILERA, Francisco",Spain,,M,40-49M,00:45:37,129.0,
1,136,389,"BALDI, Xavier",Spain,,M,50-59M,00:46:02,136.0,
1,145,111,"DUNKERBECK, Liam",Spain,,M,16-19M,00:46:33,145.0,
1,161,486,"NICO, Forés",Spain,,M,20-29M,00:47:30,161.0,
1,284,163,"ZAMARRO PARRA, José Luis",Spain,,M,40-49M,00:55:14,284.0,
1,285,392,"FERNANDEZ ALMAZAN, Alejandro",Spain,,M,50-59M,00:55:16,285.0,
1,445,551,"MARTINEZ, Daniel",Spain,,M,50-59M,01:04:40,445.0,
1,481,228,"MARTIN BENITEZ, Juan Andres",Spain,,M,50-59M,01:08:13,481.0,
1,490,375,"URQUIJO SUAREZ, Leonardo",Spain,,M,40-49M,01:09:32,490.0,
1,503,704,"ALBIZU, Iñaki",Spain,,M,50-59M,01:10:23,503.0,
1,513,1171,"GALDEANO, Manuel",Spain,,M,40-49M,01:11:27,513.0,
1,526,6,"OLABE CLAVIJO, Oskar",Spain,,M,50-59M,01:12:52,526.0,
1,659,155,"GONZALO DEL MORAL, Raúl",Spain,,M,40-49M,01:37:44,659.0,
1,679,195,"CARRASCO, Joaquin",Spain,,M,50-59M,,,DNF
1,679,308,"CAÑADA RIPOLL, Arnau",Spain,,M,20-29M,,,DNF
1,679,458,"SALA ALBERT, Raimundo",Spain,,M,40-49M,,,DNF
1,679,707,"BRU, Raul",Spain,,M,40-49M,,,DNF
1,679,708,"PÉREZ MARTÍN, Antonio",Spain,,M,30-39M,,,DNF
1,679,791,"COLLELLMIR, Pau",Spain,,M,40-49M,,,DNF
1,679,938,"ZUMARRAGA, Alejandro",Spain,,M,50-59M,,,DNF
1,679,184,"VALLS, Pep",Spain,,M,50-59M,,,DNS
1,679,313,"SABATE DELRIU, Joan",Spain,,M,40-49M,,,DNS
1,679,439,"DE SANDE DIAZ, Felipe Vicente",Spain,,M,40-49M,,,DNS
1,679,569,"CARDENAL BASTE, Guillem",Spain,,M,50-59M,,,DNS
1,679,621,"SOTO, Josep",Spain,,M,40-49M,,,DNS
1,679,653,"LORENTE LOPEZ, Eric",Spain,,M,40-49M,,,DNS
1,679,813,"DIAZ, Alexander",Spain,,M,40-49M,,,DNS
1,679,1013,"ESCORIZA RODRIGUEZ, Francis",Spain,,M,40-49M,,,DNS
1,679,1136,"NAVAS, Pablo",Spain,,M,20-29M,,,DNS
1,679,1137,"POVEDANO, Javier",Spain,,M,50-59M,,,DNS
1,679,1164,"GIL GHERARDI, Marino",Spain,,M,16-19M,,,DNS
2,36,11,"DUNKERBECK, Bjorn",Spain,,M,50-59M,00:36:20,36.0,
2,55,990,"RODES, Joaquin",Spain,,M,50-59M,00:38:09,55.0,
2,103,1170,"PEREZ AGUILERA, Francisco",Spain,,M,40-49M,00:41:09,103.0,
2,142,486,"NICO, Forés",Spain,,M,20-29M,00:43:18,142.0,
2,146,111,"DUNKERBECK, Liam",Spain,,M,16-19M,00:43:29,146.0,
2,190,389,"BALDI, Xavier",Spain,,M,50-59M,00:45:06,190.0,
2,482,392,"FERNANDEZ ALMAZAN, Alejandro",Spain,,M,50-59M,00:55:15,482.0,
2,486,6,"OLABE CLAVIJO, Oskar",Spain,,M,50-59M,00:55:19,486.0,
2,502,163,"ZAMARRO PARRA, José Luis",Spain,,M,40-49M,00:56:01,502.0,
2,507,704,"ALBIZU, Iñaki",Spain,,M,50-59M,00:56:13,507.0,
2,510,375,"URQUIJO SUAREZ, Leonardo",Spain,,M,40-49M,00:56:22,510.0,
2,520,1013,"ESCORIZA RODRIGUEZ, Francis",Spain,,M,40-49M,00:56:52,520.0,
2,575,1171,"GALDEANO, Manuel",Spain,,M,40-49M,00:59:22,575.0,
2,703,184,"VALLS, Pep",Spain,,M,50-59M,01:05:39,703.0,
2,736,708,"PÉREZ MARTÍN, Antonio",Spain,,M,30-39M,01:07:31,736.0,
2,751,551,"MARTINEZ, Daniel",Spain,,M,50-59M,01:08:31,751.0,
2,831,155,"GONZALO DEL MORAL, Raúl",Spain,,M,40-49M,01:18:36,831.0,
2,849,791,"COLLELLMIR, Pau",Spain,,M,40-49M,01:28:01,849.0,
2,863,195,"CARRASCO, Joaquin",Spain,,M,50-59M,,,DNF
2,863,228,"MARTIN BENITEZ, Juan Andres",Spain,,M,50-59M,,,DNF
2,863,308,"CAÑADA RIPOLL, Arnau",Spain,,M,20-29M,,,DNF
