RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,90,250,"EVRARD, Cyril",Belgium,,M,16-19M,00:43:20,90.0,
1,125,874,"ROYAUX, Xavier",Belgium,,M,30-39M,00:45:23,125.0,
1,240,230,"SCHUTIJSER, Pieter",Belgium,,M,40-49M,00:53:04,240.0,
1,261,764,"CAESTECKER, Patrick",Belgium,,M,40-49M,00:54:13,261.0,
1,282,298,"FRANÇOIS, Bram",Belgium,,M,30-39M,00:55:12,282.0,
1,317,1030,"VAN KERSCHAVER, Olivier",Belgium,,M,40-49M,00:56:56,317.0,
1,331,706,"ALEXANDER, Raf",Belgium,,M,50-59M,00:58:07,331.0,
1,362,868,"HUBRECHT, Jo",Belgium,,M,40-49M,01:00:03,362.0,
1,400,201,"NIES, Michaël",Belgium,,M,40-49M,01:02:03,400.0,
1,407,802,"DEBO, Nick",Belgium,,M,50-59M,01:02:27,407.0,
1,409,297,"VERMEIRE, Johannes",Belgium,,M,50-59M,01:02:34,409.0,
1,418,394,"PARMENTIER, Filip",Belgium,,M,40-49M,01:03:06,418.0,
1,421,140,"DE BRUYNE, Jean-Marc",Belgium,,M,50-59M,01:03:11,421.0,
1,446,210,"GEORGE, Emmanuel",Belgium,,M,40-49M,01:04:43,446.0,
1,456,788,"CLEVERS, Olivier",Belgium,,M,50-59M,01:05:32,456.0,
1,463,1048,"VAN DER AUWERMEULEN, Emmanuel",Belgium,,M,50-59M,01:06:03,463.0,
1,481,1109,"SOLOME, Bram",Belgium,,M,40-49M,01:08:13,481.0,
1,543,529,"MOENS, Dirk",Belgium,,M,40-49M,01:14:03,543.0,
1,557,322,"CARBONEZ, Xavier",Belgium,,M,40-49M,01:15:20,557.0,
1,587,1103,"COOPMAN, Bernard",Belgium,,M,40-49M,01:20:52,587.0,
1,639,89,"ROBERT, Arnaud",Belgium,,M,30-39M,01:29:33,639.0,
1,679,56,"GERMAY, Jean-Luc",Belgium,,M,60+M,,,DNF
1,679,316,"TALPE, Tony",Belgium,,M,40-49M,,,DNF
1,679,353,"LEEMAN, Samuel",Belgium,,M,40-49M,,,DNF
1,679,357,"JANSSENS, Franky",Belgium,,M,50-59M,,,DNF
1,679,359,"NIJS, Patrick",Belgium,,M,40-49M,,,DNF
1,679,363,"WOUTERS, Tim",Belgium,,M,50-59M,,,DNF
1,679,563,"VANWYNSBERGHE, Stefan",Belgium,,M,50-59M,,,DNF
1,679,629,"DEJONGHE, Dieter",Belgium,,M,40-49M,,,DNF
1,679,753,"BERTIN, André",Belgium,,M,50-59M,,,DNF
1,679,899,"VAN PEETERSSEN, Xavier",Belgium,,M,40-49M,,,DNF
1,679,1027,"TIMMERMAN, Maxime",Belgium,,M,30-39M,,,DNF
1,679,1036,"ZEEBROEK, Niels",Belgium,,M,30-39M,,,DNF
1,679,1041,"VANHOORNE, Andrea",Belgium,,F,17-30F,,,DNF
1,679,1499,"DUMONT, Caroline",Belgium,,F,45+F,,,DNF
1,679,24,"ELIAERTS, Tom",Belgium,,M,20-29M,,,DNS
1,679,54,"TYBERGHIEN, Pieter",Belgium,,M,40-49M,,,DNS
2,97,250,"EVRARD, Cyril",Belgium,,M,16-19M,00:40:39,97.0,
2,182,874,"ROYAUX, Xavier",Belgium,,M,30-39M,00:44:51,182.0,
2,281,210,"GEORGE, Emmanuel",Belgium,,M,40-49M,00:48:41,281.0,
2,289,298,"FRANÇOIS, Bram",Belgium,,M,30-39M,00:49:00,289.0,
2,298,706,"ALEXANDER, Raf",Belgium,,M,50-59M,00:49:15,298.0,
2,336,764,"CAESTECKER, Patrick",Belgium,,M,40-49M,00:50:53,336.0,
2,340,230,"SCHUTIJSER, Pieter",Belgium,,M,40-49M,00:50:55,340.0,
2,350,1041,"VANHOORNE, Andrea",Belgium,,F,17-30F,00:51:10,350.0,
2,379,868,"HUBRECHT, Jo",Belgium,,M,40-49M,00:52:03,379.0,
2,404,316,"TALPE, Tony",Belgium,,M,40-49M,00:52:59,404.0,
2,423,201,"NIES, Michaël",Belgium,,M,40-49M,00:53:32,423.0,
2,494,529,"MOENS, Dirk",Belgium,,M,40-49M,00:55:40,494.0,
2,532,788,"CLEVERS, Olivier",Belgium,,M,50-59M,00:57:32,532.0,
2,578,394,"PARMENTIER, Filip",Belgium,,M,40-49M,00:59:26,578.0,
2,636,1030,"VAN KERSCHAVER, Olivier",Belgium,,M,40-49M,01:02:20,636.0,
2,670,802,"DEBO, Nick",Belgium,,M,50-59M,01:03:59,670.0,
2,679,297,"VERMEIRE, Johannes",Belgium,,M,50-59M,01:04:22,679.0,
2,694,1048,"VAN DER AUWERMEULEN, Emmanuel",Belgium,,M,50-59M,01:05:02,694.0,
2,710,1109,"SOLOME, Bram",Belgium,,M,40-49M,01:06:10,710.0,
2,735,89,"ROBERT, Arnaud",Belgium,,M,30-39M,01:07:29,735.0,
2,764,1103,"COOPMAN, Bernard",Belgium,,M,40-49M,01:09:50,764.0,
2,807,140,"DE BRUYNE, Jean-Marc",Belgium,,M,50-59M,01:14:14,807.0,
2,808,322,"CARBONEZ, Xavier",Belgium,,M,40-49M,01:14:18,808.0,
2,810,753,"BERTIN, André",Belgium,,M,50-59M,01:14:51,810.0,
2,820,629,"DEJONGHE, Dieter",Belgium,,M,40-49M,01:15:52,820.0,
2,830,899,"VAN PEETERSSEN, Xavier",Belgium,,M,40-49M,01:18:32,830.0,
2,841,1036,"ZEEBROEK, Niels",Belgium,,M,30-39M,01:23:32,841.0,
2,863,56,"GERMAY, Jean-Luc",Belgium,,M,60+M,,,DNF
2,863,1027,"TIMMERMAN, Maxime",Belgium,,M,30-39M,,,DNF
2,863,24,"ELIAERTS, Tom",Belgium,,M,20-29M,,,DNS
2,863,54,"TYBERGHIEN, Pieter",Belgium,,M,40-49M,,,DNS
2,863,353,"LEEMAN, Samuel",Belgium,,M,40-49M,,,DNS
2,863,357,"JANSSENS, Franky",Belgium,,M,50-59M,,,DNS
2,863,359,"NIJS, Patrick",Belgium,,M,40-49M,,,DNS
2,863,363,"WOUTERS, Tim",Belgium,,M,50-59M,,,DNS
2,863,563,"VANWYNSBERGHE, Stefan",Belgium,,M,50-59M,,,DNS
2,863,1499,"DUMONT, Caroline",Belgium,,F,45+F,,,DNS
3,75,250,"EVRARD, Cyril",Belgium,,M,16-19M,00:38:27,75.0,
3,168,874,"ROYAUX, Xavier",Belgium,,M,30-39M,00:43:30,168.0,
3,232,316,"TALPE, Tony",Belgium,,M,40-49M,00:46:30,232.0,
3,274,764,"CAESTECKER, Patrick",Belgium,,M,40-49M,00:48:05,274.0,
3,352,1041,"VANHOORNE, Andrea",Belgium,,F,17-30F,00:51:42,352.0,
3,396,298,"FRANÇOIS, Bram",Belgium,,M,30-39M,00:53:09,396.0,
3,420,868,"HUBRECHT, Jo",Belgium,,M,40-49M,00:53:52,420.0,
3,476,140,"DE BRUYNE, Jean-Marc",Belgium,,M,50-59M,00:56:17,476.0,
3,534,1030,"VAN KERSCHAVER, Olivier",Belgium,,M,40-49M,00:58:56,534.0,
3,539,201,"NIES, Michaël",Belgium,,M,40-49M,00:59:19,539.0,
3,544,788,"CLEVERS, Olivier",Belgium,,M,50-59M,00:59:40,544.0,
3,556,1036,"ZEEBROEK, Niels",Belgium,,M,30-39M,01:00:08,556.0,
3,564,802,"DEBO, Nick",Belgium,,M,50-59M,01:00:24,564.0,
3,579,706,"ALEXANDER, Raf",Belgium,,M,50-59M,01:00:55,579.0,
3,581,529,"MOENS, Dirk",Belgium,,M,40-49M,01:01:05,581.0,
3,590,210,"GEORGE, Emmanuel",Belgium,,M,40-49M,01:01:23,590.0,
3,613,230,"SCHUTIJSER, Pieter",Belgium,,M,40-49M,01:02:14,613.0,
3,662,1109,"SOLOME, Bram",Belgium,,M,40-49M,01:04:58,662.0,
3,671,1048,"VAN DER AUWERMEULEN, Emmanuel",Belgium,,M,50-59M,01:05:21,671.0,
3,678,394,"PARMENTIER, Filip",Belgium,,M,40-49M,01:05:48,678.0,
3,710,1103,"COOPMAN, Bernard",Belgium,,M,40-49M,01:07:40,710.0,
3,715,899,"VAN PEETERSSEN, Xavier",Belgium,,M,40-49M,01:08:00,715.0,
3,755,322,"CARBONEZ, Xavier",Belgium,,M,40-49M,01:12:10,755.0,
3,790,1499,"DUMONT, Caroline",Belgium,,F,45+F,01:19:16,790.0,
3,794,56,"GERMAY, Jean-Luc",Belgium,,M,60+M,01:21:28,794.0,
3,804,357,"JANSSENS, Franky",Belgium,,M,50-59M,01:23:59,804.0,
3,807,89,"ROBERT, Arnaud",Belgium,,M,30-39M,01:25:46,807.0,
3,824,753,"BERTIN, André",Belgium,,M,50-59M,01:51:57,824.0,
3,829,297,"VERMEIRE, Johannes",Belgium,,M,50-59M,,,DNF
3,829,359,"NIJS, Patrick",Belgium,,M,40-49M,,,DNF
3,829,363,"WOUTERS, Tim",Belgium,,M,50-59M,,,DNF
3,829,1027,"TIMMERMAN, Maxime",Belgium,,M,30-39M,,,DNF
3,829,24,"ELIAERTS, Tom",Belgium,,M,20-29M,,,DNS
3,829,54,"TYBERGHIEN, Pieter",Belgium,,M,40-49M,,,DNS
3,829,353,"LEEMAN, Samuel",Belgium,,M,40-49M,,,DNS
3,829,563,"VANWYNSBERGHE, Stefan",Belgium,,M,50-59M,,,DNS
3,829,629,"DEJONGHE, Dieter",Belgium,,M,40-49M,,,DNS
4,36,250,"EVRARD, Cyril",Belgium,,M,16-19M,00:40:16,36.0,
4,102,874,"ROYAUX, Xavier",Belgium,,M,30-39M,00:45:57,102.0,
4,227,1041,"VANHOORNE, Andrea",Belgium,,F,17-30F,00:55:59,227.0,
4,283,764,"CAESTECKER, Patrick",Belgium,,M,40-49M,00:59:31,283.0,
4,298,298,"FRANÇOIS, Bram",Belgium,,M,30-39M,01:00:21,298.0,
4,338,1048,"VAN DER AUWERMEULEN, Emmanuel",Belgium,,M,50-59M,01:02:37,338.0,
4,347,363,"WOUTERS, Tim",Belgium,,M,50-59M,01:03:21,347.0,
4,384,316,"TALPE, Tony",Belgium,,M,40-49M,01:05:19,384.0,
4,385,802,"DEBO, Nick",Belgium,,M,50-59M,01:05:31,385.0,
4,389,868,"HUBRECHT, Jo",Belgium,,M,40-49M,01:05:50,389.0,
4,392,210,"GEORGE, Emmanuel",Belgium,,M,40-49M,01:05:59,392.0,
4,408,529,"MOENS, Dirk",Belgium,,M,40-49M,01:07:12,408.0,
4,417,788,"CLEVERS, Olivier",Belgium,,M,50-59M,01:07:30,417.0,
4,439,140,"DE BRUYNE, Jean-Marc",Belgium,,M,50-59M,01:08:50,439.0,
4,463,1036,"ZEEBROEK, Niels",Belgium,,M,30-39M,01:09:57,463.0,
4,467,1030,"VAN KERSCHAVER, Olivier",Belgium,,M,40-49M,01:10:12,467.0,
4,472,201,"NIES, Michaël",Belgium,,M,40-49M,01:10:27,472.0,
4,475,297,"VERMEIRE, Johannes",Belgium,,M,50-59M,01:10:39,475.0,
4,492,394,"PARMENTIER, Filip",Belgium,,M,40-49M,01:11:31,492.0,
4,525,706,"ALEXANDER, Raf",Belgium,,M,50-59M,01:13:01,525.0,
4,544,230,"SCHUTIJSER, Pieter",Belgium,,M,40-49M,01:14:29,544.0,
4,554,359,"NIJS, Patrick",Belgium,,M,40-49M,01:14:58,554.0,
4,615,322,"CARBONEZ, Xavier",Belgium,,M,40-49M,01:19:22,615.0,
4,645,89,"ROBERT, Arnaud",Belgium,,M,30-39M,01:21:58,645.0,
4,650,899,"VAN PEETERSSEN, Xavier",Belgium,,M,40-49M,01:22:20,650.0,
4,665,1109,"SOLOME, Bram",Belgium,,M,40-49M,01:23:21,665.0,
