RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
4,708,1103,"COOPMAN, Bernard",Belgium,,M,40-49M,01:27:53,708.0,
4,732,629,"DEJONGHE, Dieter",Belgium,,M,40-49M,01:30:52,732.0,
4,748,753,"BERTIN, André",Belgium,,M,50-59M,01:33:05,748.0,
4,818,56,"GERMAY, Jean-Luc",Belgium,,M,60+M,,,DNF
4,818,1499,"DUMONT, Caroline",Belgium,,F,45+F,,,DNF
4,818,24,"ELIAERTS, Tom",Belgium,,M,20-29M,,,DNS
4,818,54,"TYBERGHIEN, Pieter",Belgium,,M,40-49M,,,DNS
4,818,353,"LEEMAN, Samuel",Belgium,,M,40-49M,,,DNS
4,818,357,"JANSSENS, Franky",Belgium,,M,50-59M,,,DNS
4,818,563,"VANWYNSBERGHE, Stefan",Belgium,,M,50-59M,,,DNS
4,818,1027,"TIMMERMAN, Maxime",Belgium,,M,30-39M,,,DNS
5,57,250,"EVRARD, Cyril",Belgium,,M,16-19M,,56.0,
5,116,874,"ROYAUX, Xavier",Belgium,,M,30-39M,,115.0,
5,226,706,"ALEXANDER, Raf",Belgium,,M,50-59M,,223.0,
5,291,802,"DEBO, Nick",Belgium,,M,50-59M,,288.0,
5,292,297,"VERMEIRE, Johannes",Belgium,,M,50-59M,,289.0,
5,297,230,"SCHUTIJSER, Pieter",Belgium,,M,40-49M,,294.0,
5,299,764,"CAESTECKER, Patrick",Belgium,,M,40-49M,,296.0,
5,322,1041,"VANHOORNE, Andrea",Belgium,,F,17-30F,,319.0,
5,342,868,"HUBRECHT, Jo",Belgium,,M,40-49M,,338.0,
5,346,1030,"VAN KERSCHAVER, Olivier",Belgium,,M,40-49M,,342.0,
5,353,1036,"ZEEBROEK, Niels",Belgium,,M,30-39M,,349.0,
5,386,210,"GEORGE, Emmanuel",Belgium,,M,40-49M,,382.0,
5,401,140,"DE BRUYNE, Jean-Marc",Belgium,,M,50-59M,,397.0,
5,448,316,"TALPE, Tony",Belgium,,M,40-49M,,444.0,
5,456,89,"ROBERT, Arnaud",Belgium,,M,30-39M,,452.0,
5,458,788,"CLEVERS, Olivier",Belgium,,M,50-59M,,454.0,
5,482,298,"FRANÇOIS, Bram",Belgium,,M,30-39M,,478.0,
5,526,394,"PARMENTIER, Filip",Belgium,,M,40-49M,,520.0,
5,568,1103,"COOPMAN, Bernard",Belgium,,M,40-49M,,562.0,
5,574,322,"CARBONEZ, Xavier",Belgium,,M,40-49M,,568.0,
5,587,899,"VAN PEETERSSEN, Xavier",Belgium,,M,40-49M,,581.0,
5,624,201,"NIES, Michaël",Belgium,,M,40-49M,,617.0,
5,647,753,"BERTIN, André",Belgium,,M,50-59M,,640.0,
5,677,1499,"DUMONT, Caroline",Belgium,,F,45+F,,670.0,
5,684,1109,"SOLOME, Bram",Belgium,,M,40-49M,,677.0,
5,732,56,"GERMAY, Jean-Luc",Belgium,,M,60+M,,1249.0,
5,732,353,"LEEMAN, Samuel",Belgium,,M,40-49M,,1249.0,
5,732,357,"JANSSENS, Franky",Belgium,,M,50-59M,,1249.0,
5,732,359,"NIJS, Patrick",Belgium,,M,40-49M,,1249.0,
5,732,363,"WOUTERS, Tim",Belgium,,M,50-59M,,1249.0,
5,732,529,"MOENS, Dirk",Belgium,,M,40-49M,,1249.0,
5,732,629,"DEJONGHE, Dieter",Belgium,,M,40-49M,,1249.0,
5,732,1027,"TIMMERMAN, Maxime",Belgium,,M,30-39M,,1249.0,
5,732,1048,"VAN DER AUWERMEULEN, Emmanuel",Belgium,,M,50-59M,,1249.0,
5,940,24,"ELIAERTS, Tom",Belgium,,M,20-29M,,1250.0,
5,940,54,"TYBERGHIEN, Pieter",Belgium,,M,40-49M,,1250.0,
5,940,563,"VANWYNSBERGHE, Stefan",Belgium,,M,50-59M,,1250.0,
