RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,679,959,"PALMER, Mark",Australia,M,50-59M,,,DNS
2,863,959,"PALMER, Mark",Australia,M,50-59M,,,DNF
3,676,959,"PALMER, Mark",Australia,M,50-59M,01:05:35,676.0,
4,611,959,"PALMER, Mark",Australia,M,50-59M,01:18:41,611.0,
5,596,959,"PALMER, Mark",Australia,M,50-59M,,589.0,
