RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points
1,84,90,"GERMANN, Nikolai",Switzerland,M,50-59M,00:42:42,84.0
1,133,5,"STRUB, Alex",Switzerland,M,40-49M,00:45:52,133.0
1,234,1132,"GERBER, Stefan",Switzerland,M,40-49M,00:52:31,234.0
1,268,864,"TORNAY, Vincent",Switzerland,M,40-49M,00:54:37,268.0
1,301,469,"KRUMM, Patrick",Switzerland,M,50-59M,00:56:12,301.0
1,377,236,"ZELEY, Robin",Switzerland,M,13-15M,01:00:46,377.0
1,425,97,"WASMER, Andy",Switzerland,M,50-59M,01:03:19,425.0
1,510,1208,"LOCHER, Guillaume",Switzerland,M,20-29M,01:11:11,510.0
1,612,1097,"MEIER, Alexandra",Switzerland,F,45+F,01:23:20,612.0
1,613,178,"BEYELER, Frédéric",Switzerland,M,40-49M,01:23:22,613.0
1,632,320,"FIVIAN, Lukas",Switzerland,M,40-49M,01:26:43,632.0
1,658,502,"BROSTEAUX, Olivier",Switzerland,M,50-59M,01:37:43,658.0
1,679,183,"SINTIC, Paul",Switzerland,M,50-59M,DNF,DNF
1,679,272,"GUENIN, David",Switzerland,M,40-49M,DNF,DNF
1,679,345,"SCHÄRER, Rolf",Switzerland,M,50-59M,DNF,DNF
1,679,949,"MUSTER, Ludwig",Switzerland,M,40-49M,DNF,DNF
1,679,1186,"ERSNT, Mathias",Switzerland,M,40-49M,DNF,DNF
1,679,1300,"ANDRES, Thomas",Switzerland,M,50-59M,DNF,DNF
1,679,1301,"BUEHLER, Rudolf",Switzerland,M,50-59M,DNF,DNF
1,679,166,"YERSIN, David",Switzerland,M,60+M,DNS,DNS
1,679,167,"YERSIN, Simon",Switzerland,M,30-39M,DNS,DNS
1,679,349,"ANDERA, Elena",Switzerland,F,17-30F,DNS,DNS
1,679,376,"TRAPP, Rainer",Switzerland,M,50-59M,DNS,DNS
1,679,875,"JÖRG, Alain",Switzerland,M,50-59M,DNS,DNS
1,679,1019,"SOFIA, Natale",Switzerland,M,60+M,DNS,DNS
2,133,90,"GERMANN, Nikolai",Switzerland,M,50-59M,00:42:49,133.0
2,143,5,"STRUB, Alex",Switzerland,M,40-49M,00:43:20,143.0
2,238,1132,"GERBER, Stefan",Switzerland,M,40-49M,00:46:53,238.0
2,252,1186,"ERSNT, Mathias",Switzerland,M,40-49M,00:47:26,252.0
2,345,1208,"LOCHER, Guillaume",Switzerland,M,20-29M,00:51:05,345.0
2,362,469,"KRUMM, Patrick",Switzerland,M,50-59M,00:51:33,362.0
2,471,236,"ZELEY, Robin",Switzerland,M,13-15M,00:54:59,471.0
2,515,97,"WASMER, Andy",Switzerland,M,50-59M,00:56:36,515.0
2,597,183,"SINTIC, Paul",Switzerland,M,50-59M,01:00:32,597.0
2,632,272,"GUENIN, David",Switzerland,M,40-49M,01:02:12,632.0
2,754,502,"BROSTEAUX, Olivier",Switzerland,M,50-59M,01:08:53,754.0
2,757,320,"FIVIAN, Lukas",Switzerland,M,40-49M,01:09:03,757.0
2,764,1097,"MEIER, Alexandra",Switzerland,F,45+F,01:09:50,764.0
2,863,178,"BEYELER, Frédéric",Switzerland,M,40-49M,DNF,DNF
2,863,345,"SCHÄRER, Rolf",Switzerland,M,50-59M,DNF,DNF
2,863,949,"MUSTER, Ludwig",Switzerland,M,40-49M,DNF,DNF
2,863,1300,"ANDRES, Thomas",Switzerland,M,50-59M,DNF,DNF
2,863,1301,"BUEHLER, Rudolf",Switzerland,M,50-59M,DNF,DNF
2,863,166,"YERSIN, David",Switzerland,M,60+M,DNS,DNS
2,863,167,"YERSIN, Simon",Switzerland,M,30-39M,DNS,DNS
2,863,349,"ANDERA, Elena",Switzerland,F,17-30F,DNS,DNS
2,863,376,"TRAPP, Rainer",Switzerland,M,50-59M,DNS,DNS
2,863,864,"TORNAY, Vincent",Switzerland,M,40-49M,DNS,DNS
2,863,875,"JÖRG, Alain",Switzerland,M,50-59M,DNS,DNS
2,863,1019,"SOFIA, Natale",Switzerland,M,60+M,DNS,DNS
3,139,5,"STRUB, Alex",Switzerland,M,40-49M,00:41:57,139.0
3,172,90,"GERMANN, Nikolai",Switzerland,M,50-59M,00:43:38,172.0
3,220,1186,"ERSNT, Mathias",Switzerland,M,40-49M,00:46:10,220.0
3,232,1132,"GERBER, Stefan",Switzerland,M,40-49M,00:46:30,232.0
3,363,469,"KRUMM, Patrick",Switzerland,M,50-59M,00:52:10,363.0
3,443,236,"ZELEY, Robin",Switzerland,M,13-15M,00:54:55,443.0
3,455,272,"GUENIN, David",Switzerland,M,40-49M,00:55:32,455.0
3,485,97,"WASMER, Andy",Switzerland,M,50-59M,00:56:40,485.0
3,529,864,"TORNAY, Vincent",Switzerland,M,40-49M,00:58:36,529.0
3,594,183,"SINTIC, Paul",Switzerland,M,50-59M,01:01:37,594.0
3,617,320,"FIVIAN, Lukas",Switzerland,M,40-49M,01:02:37,617.0
3,686,502,"BROSTEAUX, Olivier",Switzerland,M,50-59M,01:06:08,686.0
3,747,178,"BEYELER, Frédéric",Switzerland,M,40-49M,01:10:55,747.0
3,829,345,"SCHÄRER, Rolf",Switzerland,M,50-59M,DNF,DNF
3,829,166,"YERSIN, David",Switzerland,M,60+M,DNS,DNS
3,829,167,"YERSIN, Simon",Switzerland,M,30-39M,DNS,DNS
3,829,349,"ANDERA, Elena",Switzerland,F,17-30F,DNS,DNS
3,829,376,"TRAPP, Rainer",Switzerland,M,50-59M,DNS,DNS
3,829,875,"JÖRG, Alain",Switzerland,M,50-59M,DNS,DNS
3,829,949,"MUSTER, Ludwig",Switzerland,M,40-49M,DNS,DNS
3,829,1019,"SOFIA, Natale",Switzerland,M,60+M,DNS,DNS
3,829,1097,"MEIER, Alexandra",Switzerland,F,45+F,DNS,DNS
3,829,1300,"ANDRES, Thomas",Switzerland,M,50-59M,DNS,DNS
3,829,1301,"BUEHLER, Rudolf",Switzerland,M,50-59M,DNS,DNS
3,829,1208,"LOCHER, Guillaume",Switzerland,M,20-29M,DSQ,DSQ
4,105,5,"STRUB, Alex",Switzerland,M,40-49M,00:46:06,105.0
4,134,90,"GERMANN, Nikolai",Switzerland,M,50-59M,00:49:27,134.0
4,213,1208,"LOCHER, Guillaume",Switzerland,M,20-29M,00:54:43,213.0
4,215,1300,"ANDRES, Thomas",Switzerland,M,50-59M,00:55:13,215.0
4,228,236,"ZELEY, Robin",Switzerland,M,13-15M,00:56:15,228.0
4,278,1186,"ERSNT, Mathias",Switzerland,M,40-49M,00:59:18,278.0
4,303,1132,"GERBER, Stefan",Switzerland,M,40-49M,01:00:41,303.0
4,439,97,"WASMER, Andy",Switzerland,M,50-59M,01:08:50,439.0
4,461,469,"KRUMM, Patrick",Switzerland,M,50-59M,01:09:50,461.0
4,578,320,"FIVIAN, Lukas",Switzerland,M,40-49M,01:16:48,578.0
4,580,183,"SINTIC, Paul",Switzerland,M,50-59M,01:16:49,580.0
4,676,272,"GUENIN, David",Switzerland,M,40-49M,01:24:07,676.0
4,685,1301,"BUEHLER, Rudolf",Switzerland,M,50-59M,01:24:53,685.0
4,691,949,"MUSTER, Ludwig",Switzerland,M,40-49M,01:25:43,691.0
4,749,502,"BROSTEAUX, Olivier",Switzerland,M,50-59M,01:33:51,749.0
4,790,345,"SCHÄRER, Rolf",Switzerland,M,50-59M,01:42:14,790.0
4,818,1097,"MEIER, Alexandra",Switzerland,F,45+F,DNF,DNF
4,818,166,"YERSIN, David",Switzerland,M,60+M,DNS,DNS
4,818,167,"YERSIN, Simon",Switzerland,M,30-39M,DNS,DNS
4,818,178,"BEYELER, Frédéric",Switzerland,M,40-49M,DNS,DNS
4,818,349,"ANDERA, Elena",Switzerland,F,17-30F,DNS,DNS
4,818,376,"TRAPP, Rainer",Switzerland,M,50-59M,DNS,DNS
4,818,864,"TORNAY, Vincent",Switzerland,M,40-49M,DNS,DNS
4,818,875,"JÖRG, Alain",Switzerland,M,50-59M,DNS,DNS
4,818,1019,"SOFIA, Natale",Switzerland,M,60+M,DNS,DNS
5,97,5,"STRUB, Alex",Switzerland,M,40-49M,,96.0
5,181,1186,"ERSNT, Mathias",Switzerland,M,40-49M,,179.0
5,183,90,"GERMANN, Nikolai",Switzerland,M,50-59M,,180.0
5,286,1208,"LOCHER, Guillaume",Switzerland,M,20-29M,,283.0
5,311,236,"ZELEY, Robin",Switzerland,M,13-15M,,308.0
5,338,864,"TORNAY, Vincent",Switzerland,M,40-49M,,334.0
5,449,97,"WASMER, Andy",Switzerland,M,50-59M,,445.0
5,453,183,"SINTIC, Paul",Switzerland,M,50-59M,,449.0
5,463,469,"KRUMM, Patrick",Switzerland,M,50-59M,,459.0
5,621,1301,"BUEHLER, Rudolf",Switzerland,M,50-59M,,614.0
5,643,345,"SCHÄRER, Rolf",Switzerland,M,50-59M,,636.0
5,666,1300,"ANDRES, Thomas",Switzerland,M,50-59M,,659.0
5,673,949,"MUSTER, Ludwig",Switzerland,M,40-49M,,666.0
5,724,272,"GUENIN, David",Switzerland,M,40-49M,,1248.0
5,732,178,"BEYELER, Frédéric",Switzerland,M,40-49M,,1249.0
5,732,320,"FIVIAN, Lukas",Switzerland,M,40-49M,,1249.0
5,732,502,"BROSTEAUX, Olivier",Switzerland,M,50-59M,,1249.0
5,732,1097,"MEIER, Alexandra",Switzerland,F,45+F,,1249.0
5,940,166,"YERSIN, David",Switzerland,M,60+M,,1250.0
5,940,167,"YERSIN, Simon",Switzerland,M,30-39M,,1250.0
5,940,349,"ANDERA, Elena",Switzerland,F,17-30F,,1250.0
5,940,376,"TRAPP, Rainer",Switzerland,M,50-59M,,1250.0
5,940,875,"JÖRG, Alain",Switzerland,M,50-59M,,1250.0
5,940,1019,"SOFIA, Natale",Switzerland,M,60+M,,1250.0
5,940,1132,"GERBER, Stefan",Switzerland,M,40-49M,,1250.0
