RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points,Code
4,751,588,"JUUL, Gustav Wilhelm",Denmark,M,50-59M,01:33:55,751.0,
4,818,48,"SANDERHOFF, Pernille",Denmark,F,45+F,,,DNF
4,818,83,"HESSELBERG, Michael",Denmark,M,50-59M,,,DNF
4,818,135,"ANDERS, Boje",Denmark,M,40-49M,,,DNF
4,818,382,"RØGILD, Brian",Denmark,M,50-59M,,,DNF
4,818,590,"FREDSKILDE, Carsten",Denmark,M,50-59M,,,DNF
4,818,262,"SEHESTED, Thomas",Denmark,M,40-49M,,,DNS
5,16,37,"SØE, Johan",Denmark,M,16-19M,,15.0,
5,41,288,"JUUL LARSEN, Kasper",Denmark,M,40-49M,,40.0,
5,51,41,"VINTHER, Noah",Denmark,M,16-19M,,50.0,
5,171,329,"LAMHAUGE ANKER, Martin",Denmark,M,50-59M,,170.0,
5,192,216,"THRANE, Kasper",Denmark,M,40-49M,,189.0,
5,406,277,"SVEJ, Martin",Denmark,M,50-59M,,402.0,
5,561,1020,"SOHL, Ralf",Denmark,M,40-49M,,556.0,
5,652,590,"FREDSKILDE, Carsten",Denmark,M,50-59M,,645.0,
5,732,83,"HESSELBERG, Michael",Denmark,M,50-59M,,1249.0,
5,732,588,"JUUL, Gustav Wilhelm",Denmark,M,50-59M,,1249.0,
5,732,591,"ENGELBRECHT, Hans Christian",Denmark,M,50-59M,,1249.0,
5,732,736,"BØRGESEN, Christian",Denmark,M,50-59M,,1249.0,
5,940,48,"SANDERHOFF, Pernille",Denmark,F,45+F,,1250.0,
5,940,135,"ANDERS, Boje",Denmark,M,40-49M,,1250.0,
5,940,262,"SEHESTED, Thomas",Denmark,M,40-49M,,1250.0,
5,940,382,"RØGILD, Brian",Denmark,M,50-59M,,1250.0,
