RaceNo,Place,Tally,SailNo,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,679,550,,"BRUGNINI, Rafael",Uruguay,M,50-59M,,,DNS
2,863,550,,"BRUGNINI, Rafael",Uruguay,M,50-59M,,,DNS
3,829,550,,"BRUGNINI, Rafael",Uruguay,M,50-59M,,,DNS
4,818,550,,"BRUGNINI, Rafael",Uruguay,M,50-59M,,,DNS
5,940,550,,"BRUGNINI, Rafael",Uruguay,M,50-59M,,1250.0,
