RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,679,1151,"GOVERDOVSKIY, VADIM",Russia,,M,50-59M,,,DNF
2,863,1151,"GOVERDOVSKIY, VADIM",Russia,,M,50-59M,,,DNF
3,528,1151,"GOVERDOVSKIY, VADIM",Russia,,M,50-59M,00:58:34,528.0,
4,795,1151,"GOVERDOVSKIY, VADIM",Russia,,M,50-59M,01:45:31,795.0,
5,732,1151,"GOVERDOVSKIY, VADIM",Russia,,M,50-59M,,1249.0,
