RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,4,1401,"IACHINO, MATTEO",Italy,,M,30-39M,00:33:30,4.0,
1,96,1181,"BRUNETTI, MASSIMILIANO",Italy,,M,40-49M,00:43:49,96.0,
1,100,1177,"BENAMATI, FEDERICO",Italy,,M,16-19M,00:44:03,100.0,
1,158,1178,"TAPPINO, ALESSIO",Italy,,M,40-49M,00:47:23,158.0,
1,279,586,"VACCARI, ALESSANDRO",Italy,,M,50-59M,00:55:06,279.0,
1,325,626,"SALVIGNI, ANDREA",Italy,,M,60+M,00:57:31,325.0,
1,341,1194,"RICCARDO, FREZZA",Italy,,M,50-59M,00:59:00,341.0,
1,344,678,"SCARSINI, DANIELE",Italy,,M,50-59M,00:59:09,344.0,
1,375,904,"LELLI, DAVIDE",Italy,,M,20-29M,01:00:43,375.0,
1,375,1018,"IVAN, RICCI",Italy,,M,50-59M,01:00:43,375.0,
1,392,1450,"SALIGARI, UGO",Italy,,M,50-59M,01:01:31,392.0,
1,393,27,"ZANOLINI, ANDREA",Italy,,M,30-39M,01:01:32,393.0,
1,399,141,"MUSSONI, GIANLUIGI",Italy,,M,50-59M,01:01:55,399.0,
1,455,905,"LELLI, TIBERIO",Italy,,M,60+M,01:05:21,455.0,
1,521,833,"FARINA, MASSIMO",Italy,,M,60+M,01:12:17,521.0,
1,526,494,"MARCONI, TITO BRUNO",Italy,,M,60+M,01:12:52,526.0,
1,531,1187,"MARCO, VANNI",Italy,,M,50-59M,01:13:12,531.0,
1,536,200,"FILANTI, LUCA",Italy,,M,50-59M,01:13:42,536.0,
1,547,63,"RAGGI, ROMEO",Italy,,M,50-59M,01:14:12,547.0,
1,548,251,"CARLETTI, CLAUDIO",Italy,,M,60+M,01:14:18,548.0,
1,554,1083,"BIAGIOLINI, ANNA",Italy,,F,17-30F,01:15:03,554.0,
1,590,430,"BAIONI, FEDERICO",Italy,,M,20-29M,01:21:00,590.0,
1,599,232,"SILLANI, ENRICO",Italy,,M,50-59M,01:21:33,599.0,
1,653,1060,"ANDREANI, MARCO",Italy,,M,60+M,01:33:57,653.0,
1,679,102,"CERLATI, LORENZO",Italy,,M,40-49M,,,DNF
1,679,238,"MARTINEZ, EDUARDO",Italy,,M,50-59M,,,DNF
1,679,565,"DA PRATO, GABRIELE",Italy,,M,50-59M,,,DNF
1,679,568,"MOORS, ANNE-SOPHIE",Italy,,F,17-30F,,,DNF
1,679,587,"MAESTRELLO, TIZIANO",Italy,,M,50-59M,,,DNF
1,679,668,"LAMI, CESARE",Italy,,M,50-59M,,,DNF
1,679,855,"RICCI, GIANNI",Italy,,M,50-59M,,,DNF
1,679,995,"SALONIA, EROS",Italy,,M,50-59M,,,DNF
1,679,1195,"MATTIA, FREZZA",Italy,,M,16-19M,,,DNF
1,679,1197,"MARTINI, BRUNO",Italy,,M,20-29M,,,DNF
1,679,1201,"PISANI, MATTÉO",Italy,,M,20-29M,,,DNF
1,679,233,"SILLANI, ANDREA",Italy,,M,50-59M,,,DNS
1,679,254,"FORESTI, MAURIZIO DIEGO",Italy,,M,50-59M,,,DNS
1,679,378,"FRANCESCO, LEONI",Italy,,M,20-29M,,,DNS
1,679,549,"GIANFRANCO, GUERRA",Italy,,M,40-49M,,,DNS
1,679,701,"MORICCA, LUCA MARIA",Italy,,M,40-49M,,,DNS
1,679,957,"ORSI, FILIPPO",Italy,,M,40-49M,,,DNS
1,679,988,"PEDONE, RICCARDO",Italy,,M,60+M,,,DNS
1,679,1056,"CHIAVERINI, DAVIDE",Italy,,M,50-59M,,,DNS
2,8,1401,"IACHINO, MATTEO",Italy,,M,30-39M,00:33:30,8.0,
2,9,1197,"MARTINI, BRUNO",Italy,,M,20-29M,00:33:31,9.0,
2,45,1201,"PISANI, MATTÉO",Italy,,M,20-29M,00:36:53,45.0,
2,75,1181,"BRUNETTI, MASSIMILIANO",Italy,,M,40-49M,00:39:19,75.0,
2,125,1177,"BENAMATI, FEDERICO",Italy,,M,16-19M,00:42:20,125.0,
2,204,668,"LAMI, CESARE",Italy,,M,50-59M,00:45:48,204.0,
2,221,1178,"TAPPINO, ALESSIO",Italy,,M,40-49M,00:46:23,221.0,
2,283,586,"VACCARI, ALESSANDRO",Italy,,M,50-59M,00:48:42,283.0,
2,301,102,"CERLATI, LORENZO",Italy,,M,40-49M,00:49:22,301.0,
2,316,1195,"MATTIA, FREZZA",Italy,,M,16-19M,00:50:03,316.0,
2,346,1194,"RICCARDO, FREZZA",Italy,,M,50-59M,00:51:06,346.0,
2,370,904,"LELLI, DAVIDE",Italy,,M,20-29M,00:51:42,370.0,
2,402,678,"SCARSINI, DANIELE",Italy,,M,50-59M,00:52:51,402.0,
2,423,1450,"SALIGARI, UGO",Italy,,M,50-59M,00:53:32,423.0,
2,430,141,"MUSSONI, GIANLUIGI",Italy,,M,50-59M,00:53:45,430.0,
2,451,1187,"MARCO, VANNI",Italy,,M,50-59M,00:54:23,451.0,
2,498,1018,"IVAN, RICCI",Italy,,M,50-59M,00:55:53,498.0,
2,512,200,"FILANTI, LUCA",Italy,,M,50-59M,00:56:26,512.0,
2,520,63,"RAGGI, ROMEO",Italy,,M,50-59M,00:56:52,520.0,
2,528,1083,"BIAGIOLINI, ANNA",Italy,,F,17-30F,00:57:22,528.0,
2,553,251,"CARLETTI, CLAUDIO",Italy,,M,60+M,00:58:37,553.0,
2,599,549,"GIANFRANCO, GUERRA",Italy,,M,40-49M,01:00:40,599.0,
2,619,905,"LELLI, TIBERIO",Italy,,M,60+M,01:01:36,619.0,
2,625,232,"SILLANI, ENRICO",Italy,,M,50-59M,01:01:51,625.0,
2,664,494,"MARCONI, TITO BRUNO",Italy,,M,60+M,01:03:38,664.0,
2,695,568,"MOORS, ANNE-SOPHIE",Italy,,F,17-30F,01:05:08,695.0,
2,696,430,"BAIONI, FEDERICO",Italy,,M,20-29M,01:05:10,696.0,
2,706,833,"FARINA, MASSIMO",Italy,,M,60+M,01:05:49,706.0,
2,712,587,"MAESTRELLO, TIZIANO",Italy,,M,50-59M,01:06:19,712.0,
2,789,626,"SALVIGNI, ANDREA",Italy,,M,60+M,01:12:13,789.0,
2,829,855,"RICCI, GIANNI",Italy,,M,50-59M,01:18:28,829.0,
2,834,1060,"ANDREANI, MARCO",Italy,,M,60+M,01:19:13,834.0,
2,863,565,"DA PRATO, GABRIELE",Italy,,M,50-59M,,,DNF
2,863,27,"ZANOLINI, ANDREA",Italy,,M,30-39M,,,DNS
2,863,233,"SILLANI, ANDREA",Italy,,M,50-59M,,,DNS
2,863,238,"MARTINEZ, EDUARDO",Italy,,M,50-59M,,,DNS
2,863,254,"FORESTI, MAURIZIO DIEGO",Italy,,M,50-59M,,,DNS
2,863,378,"FRANCESCO, LEONI",Italy,,M,20-29M,,,DNS
2,863,701,"MORICCA, LUCA MARIA",Italy,,M,40-49M,,,DNS
2,863,957,"ORSI, FILIPPO",Italy,,M,40-49M,,,DNS
2,863,988,"PEDONE, RICCARDO",Italy,,M,60+M,,,DNS
2,863,995,"SALONIA, EROS",Italy,,M,50-59M,,,DNS
2,863,1056,"CHIAVERINI, DAVIDE",Italy,,M,50-59M,,,DNS
3,11,1401,"IACHINO, MATTEO",Italy,,M,30-39M,00:33:39,11.0,
3,18,1197,"MARTINI, BRUNO",Italy,,M,20-29M,00:34:17,18.0,
3,39,1201,"PISANI, MATTÉO",Italy,,M,20-29M,00:35:43,39.0,
3,77,1181,"BRUNETTI, MASSIMILIANO",Italy,,M,40-49M,00:38:36,77.0,
3,190,1177,"BENAMATI, FEDERICO",Italy,,M,16-19M,00:44:37,190.0,
3,215,1178,"TAPPINO, ALESSIO",Italy,,M,40-49M,00:46:01,215.0,
3,271,102,"CERLATI, LORENZO",Italy,,M,40-49M,00:48:01,271.0,
3,276,668,"LAMI, CESARE",Italy,,M,50-59M,00:48:12,276.0,
3,312,586,"VACCARI, ALESSANDRO",Italy,,M,50-59M,00:49:52,312.0,
3,328,1187,"MARCO, VANNI",Italy,,M,50-59M,00:50:38,328.0,
3,395,904,"LELLI, DAVIDE",Italy,,M,20-29M,00:53:08,395.0,
3,408,1018,"IVAN, RICCI",Italy,,M,50-59M,00:53:28,408.0,
3,423,27,"ZANOLINI, ANDREA",Italy,,M,30-39M,00:53:54,423.0,
3,451,232,"SILLANI, ENRICO",Italy,,M,50-59M,00:55:22,451.0,
3,452,1194,"RICCARDO, FREZZA",Italy,,M,50-59M,00:55:30,452.0,
3,472,678,"SCARSINI, DANIELE",Italy,,M,50-59M,00:56:02,472.0,
3,504,1450,"SALIGARI, UGO",Italy,,M,50-59M,00:57:32,504.0,
3,508,1083,"BIAGIOLINI, ANNA",Italy,,F,17-30F,00:57:43,508.0,
3,538,251,"CARLETTI, CLAUDIO",Italy,,M,60+M,00:59:13,538.0,
3,606,905,"LELLI, TIBERIO",Italy,,M,60+M,01:02:02,606.0,
3,631,855,"RICCI, GIANNI",Italy,,M,50-59M,01:03:11,631.0,
3,670,494,"MARCONI, TITO BRUNO",Italy,,M,60+M,01:05:19,670.0,
3,672,587,"MAESTRELLO, TIZIANO",Italy,,M,50-59M,01:05:22,672.0,
3,679,833,"FARINA, MASSIMO",Italy,,M,60+M,01:05:51,679.0,
3,702,430,"BAIONI, FEDERICO",Italy,,M,20-29M,01:07:12,702.0,
3,735,626,"SALVIGNI, ANDREA",Italy,,M,60+M,01:09:33,735.0,
3,792,1060,"ANDREANI, MARCO",Italy,,M,60+M,01:20:51,792.0,
3,829,565,"DA PRATO, GABRIELE",Italy,,M,50-59M,,,DNF
3,829,995,"SALONIA, EROS",Italy,,M,50-59M,,,DNF
3,829,1195,"MATTIA, FREZZA",Italy,,M,16-19M,,,DNF
3,829,63,"RAGGI, ROMEO",Italy,,M,50-59M,,,DNS
3,829,141,"MUSSONI, GIANLUIGI",Italy,,M,50-59M,,,DNS
3,829,200,"FILANTI, LUCA",Italy,,M,50-59M,,,DNS
3,829,233,"SILLANI, ANDREA",Italy,,M,50-59M,,,DNS
3,829,238,"MARTINEZ, EDUARDO",Italy,,M,50-59M,,,DNS
3,829,254,"FORESTI, MAURIZIO DIEGO",Italy,,M,50-59M,,,DNS
3,829,378,"FRANCESCO, LEONI",Italy,,M,20-29M,,,DNS
3,829,549,"GIANFRANCO, GUERRA",Italy,,M,40-49M,,,DNS
3,829,568,"MOORS, ANNE-SOPHIE",Italy,,F,17-30F,,,DNS
