RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,138,1189,"SHAMGAR, TOMER",Israel,,M,20-29M,00:46:12,138.0,
1,165,1119,"ELIYAHU, ILAN",Israel,,M,50-59M,00:47:33,165.0,
1,679,1,"DAGAN, ARNON",Israel,,M,40-49M,,,DNS
2,169,1119,"ELIYAHU, ILAN",Israel,,M,50-59M,00:44:23,169.0,
2,863,1189,"SHAMGAR, TOMER",Israel,,M,20-29M,,,DNF
2,863,1,"DAGAN, ARNON",Israel,,M,40-49M,,,DNS
3,73,1189,"SHAMGAR, TOMER",Israel,,M,20-29M,00:38:24,73.0,
3,829,1,"DAGAN, ARNON",Israel,,M,40-49M,,,DNS
3,829,1119,"ELIYAHU, ILAN",Israel,,M,50-59M,,,DNS
4,85,1119,"ELIYAHU, ILAN",Israel,,M,50-59M,00:44:10,85.0,
4,818,1189,"SHAMGAR, TOMER",Israel,,M,20-29M,,,DNF
4,818,1,"DAGAN, ARNON",Israel,,M,40-49M,,,DNS
5,153,1119,"ELIYAHU, ILAN",Israel,,M,50-59M,,152.0,
5,732,1189,"SHAMGAR, TOMER",Israel,,M,20-29M,,1249.0,
5,940,1,"DAGAN, ARNON",Israel,,M,40-49M,,1250.0,
