RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,87,999,"FRISCHLING, Roland",Austria,,M,40-49M,00:43:10,87.0,
1,149,284,"LEITNER, Clemens",Austria,,M,20-29M,00:46:52,149.0,
1,364,161,"BRATSCH, Christian",Austria,,M,50-59M,01:00:08,364.0,
1,366,744,"BRANDL, Matthias",Austria,,M,40-49M,01:00:12,366.0,
1,664,1035,"WESENDORFER, Laurenz",Austria,,M,16-19M,01:40:34,664.0,
1,679,517,"DACHSBERGER, Andreas",Austria,,M,50-59M,,,DNF
1,679,691,"KALLEITNER, Michael",Austria,,M,50-59M,,,DNF
1,679,929,"WEINGRABER, Klaus",Austria,,M,40-49M,,,DNF
1,679,120,"RAFFETSEDER, Bernhard",Austria,,M,20-29M,,,DNS
1,679,628,"REICHHOLF, Lois",Austria,,M,40-49M,,,DNS
1,679,10182,"LANG, Marco",Austria,,M,20-29M,,,DNS
2,177,999,"FRISCHLING, Roland",Austria,,M,40-49M,00:44:44,177.0,
2,220,691,"KALLEITNER, Michael",Austria,,M,50-59M,00:46:21,220.0,
2,242,284,"LEITNER, Clemens",Austria,,M,20-29M,00:47:01,242.0,
2,473,161,"BRATSCH, Christian",Austria,,M,50-59M,00:55:02,473.0,
2,478,744,"BRANDL, Matthias",Austria,,M,40-49M,00:55:09,478.0,
2,488,1035,"WESENDORFER, Laurenz",Austria,,M,16-19M,00:55:22,488.0,
2,738,517,"DACHSBERGER, Andreas",Austria,,M,50-59M,01:07:42,738.0,
2,847,929,"WEINGRABER, Klaus",Austria,,M,40-49M,01:26:12,847.0,
2,863,628,"REICHHOLF, Lois",Austria,,M,40-49M,,,DNF
2,863,120,"RAFFETSEDER, Bernhard",Austria,,M,20-29M,,,DNS
2,863,10182,"LANG, Marco",Austria,,M,20-29M,,,DNS
3,162,999,"FRISCHLING, Roland",Austria,,M,40-49M,00:43:17,162.0,
3,268,628,"REICHHOLF, Lois",Austria,,M,40-49M,00:47:56,268.0,
3,302,1035,"WESENDORFER, Laurenz",Austria,,M,16-19M,00:49:11,302.0,
3,303,691,"KALLEITNER, Michael",Austria,,M,50-59M,00:49:12,303.0,
3,349,284,"LEITNER, Clemens",Austria,,M,20-29M,00:51:36,349.0,
3,474,161,"BRATSCH, Christian",Austria,,M,50-59M,00:56:12,474.0,
3,526,744,"BRANDL, Matthias",Austria,,M,40-49M,00:58:31,526.0,
3,702,517,"DACHSBERGER, Andreas",Austria,,M,50-59M,01:07:12,702.0,
3,787,929,"WEINGRABER, Klaus",Austria,,M,40-49M,01:17:57,787.0,
3,829,120,"RAFFETSEDER, Bernhard",Austria,,M,20-29M,,,DNS
3,829,10182,"LANG, Marco",Austria,,M,20-29M,,,DNS
4,203,284,"LEITNER, Clemens",Austria,,M,20-29M,00:53:51,203.0,
4,216,691,"KALLEITNER, Michael",Austria,,M,50-59M,00:55:18,216.0,
4,243,999,"FRISCHLING, Roland",Austria,,M,40-49M,00:57:16,243.0,
4,251,628,"REICHHOLF, Lois",Austria,,M,40-49M,00:57:44,251.0,
4,331,161,"BRATSCH, Christian",Austria,,M,50-59M,01:02:03,331.0,
4,372,1035,"WESENDORFER, Laurenz",Austria,,M,16-19M,01:04:41,372.0,
4,581,744,"BRANDL, Matthias",Austria,,M,40-49M,01:16:51,581.0,
4,711,517,"DACHSBERGER, Andreas",Austria,,M,50-59M,01:28:31,711.0,
4,781,929,"WEINGRABER, Klaus",Austria,,M,40-49M,01:39:06,781.0,
4,818,120,"RAFFETSEDER, Bernhard",Austria,,M,20-29M,,,DNS
4,818,10182,"LANG, Marco",Austria,,M,20-29M,,,DNS
5,40,10182,"LANG, Marco",Austria,,M,20-29M,,39.0,
5,190,628,"REICHHOLF, Lois",Austria,,M,40-49M,,187.0,
5,205,284,"LEITNER, Clemens",Austria,,M,20-29M,,202.0,
5,264,999,"FRISCHLING, Roland",Austria,,M,40-49M,,261.0,
5,371,1035,"WESENDORFER, Laurenz",Austria,,M,16-19M,,367.0,
5,372,161,"BRATSCH, Christian",Austria,,M,50-59M,,368.0,
5,680,517,"DACHSBERGER, Andreas",Austria,,M,50-59M,,673.0,
5,714,929,"WEINGRABER, Klaus",Austria,,M,40-49M,,707.0,
5,940,120,"RAFFETSEDER, Bernhard",Austria,,M,20-29M,,1250.0,
5,940,691,"KALLEITNER, Michael",Austria,,M,50-59M,,1250.0,
5,940,744,"BRANDL, Matthias",Austria,,M,40-49M,,1250.0,
