RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,6,69,"VONK, Jordy",Netherlands,M,20-29M,00:33:34,6.0,
1,9,388,"DALDORF, Ingmar",Netherlands,M,30-39M,00:34:08,9.0,
1,19,331,"WONDERGEM, Floris",Netherlands,M,16-19M,00:36:03,19.0,
1,24,9,"FRANS, Taty",Netherlands,M,30-39M,00:36:28,24.0,
1,29,1176,"WESTERA, Ethan",Netherlands,M,20-29M,00:37:27,29.0,
1,30,1193,"VAN DER STEEN, Benny",Netherlands,M,40-49M,00:37:31,30.0,
1,33,333,"CAUMONT, Christian",Netherlands,M,50-59M,00:37:53,33.0,
1,61,390,"KLAAIJSEN, Dennis",Netherlands,M,40-49M,00:41:01,61.0,
1,76,703,"VAN NOORD, Martijn",Netherlands,M,20-29M,00:41:56,76.0,
1,97,690,"VAN DER VEEN, Femke",Netherlands,F,17-30F,00:43:50,97.0,
1,114,1086,"DE BOER, Thewes",Netherlands,M,40-49M,00:44:52,114.0,
1,162,1153,"VAN WAAS, Eric",Netherlands,M,50-59M,00:47:31,162.0,
1,191,225,"VAN DER VEEN, Jelle",Netherlands,M,20-29M,00:49:23,191.0,
1,203,366,"BOSMAN, Joris",Netherlands,M,40-49M,00:49:53,203.0,
1,227,909,"VERMOEN, Marco",Netherlands,M,40-49M,00:52:01,227.0,
1,235,510,"BUIJS, Joris",Netherlands,M,50-59M,00:52:35,235.0,
1,271,417,"HOOGENDAM, Fabienne",Netherlands,F,17-30F,00:54:40,271.0,
1,310,473,"BLANKENSTEIN, Eric",Netherlands,M,50-59M,00:56:30,310.0,
1,311,1047,"BIJLSMA, Jasper",Netherlands,M,20-29M,00:56:33,311.0,
1,320,172,"VENTE, Johan",Netherlands,M,50-59M,00:57:09,320.0,
1,384,643,"VISKER, Alwin",Netherlands,M,50-59M,01:01:03,384.0,
1,389,867,"HOMMEL, Guido",Netherlands,M,40-49M,01:01:16,389.0,
1,429,453,"SCHILPEROORT, Ruud",Netherlands,M,40-49M,01:03:29,429.0,
1,436,431,"BIJLSMA, Sipke",Netherlands,M,50-59M,01:04:00,436.0,
1,503,387,"VERMEULEN, Jan Willem",Netherlands,M,50-59M,01:10:23,503.0,
1,518,1263,"VAN MUISWINKEL, Kees",Netherlands,M,50-59M,01:12:02,518.0,
1,574,310,"LEERDAM, Arjan",Netherlands,M,50-59M,01:18:02,574.0,
1,615,675,"BAAS, Robert",Netherlands,M,50-59M,01:23:36,615.0,
1,622,749,"OUD, Luc",Netherlands,M,50-59M,01:24:38,622.0,
1,623,861,"ROGGEN, Niek",Netherlands,M,60+M,01:24:42,623.0,
1,641,1034,"VOORBERG, Nick",Netherlands,M,20-29M,01:30:04,641.0,
1,643,335,"BONS, Ronnie (Cornelis)",Netherlands,M,30-39M,01:30:43,643.0,
1,644,1010,"BONS, David",Netherlands,M,30-39M,01:30:52,644.0,
1,646,370,"BAAS, Kirsten",Netherlands,F,45+F,01:31:14,646.0,
1,679,33,"WENNEKES, Sara",Netherlands,F,17-30F,,,DNF
1,679,145,"HUISMAN, Niek",Netherlands,M,20-29M,,,DNF
1,679,154,"SCHORTINGHUIS, Hugo",Netherlands,M,16-19M,,,DNF
1,679,265,"VAN DER WOLF, Meindert",Netherlands,M,50-59M,,,DNF
1,679,326,"FABER, Hessel",Netherlands,M,40-49M,,,DNF
1,679,332,"KOOIJ, Jakob",Netherlands,M,20-29M,,,DNF
1,679,355,"DUNNEWIND, Arthur",Netherlands,M,16-19M,,,DNF
1,679,367,"GLATTLI, Nick",Netherlands,M,50-59M,,,DNF
1,679,426,"DE PAGTER, Edwin",Netherlands,M,40-49M,,,DNF
1,679,429,"VAN DEN HEUVEL, Thomas",Netherlands,M,20-29M,,,DNF
1,679,497,"HUISMAN, Rob",Netherlands,M,50-59M,,,DNF
1,679,635,"BOER, Marleen",Netherlands,F,45+F,,,DNF
1,679,679,"HOOIJMANS, Marcel",Netherlands,M,50-59M,,,DNF
1,679,683,"ORLEMANS, Jerome",Netherlands,M,50-59M,,,DNF
1,679,698,"MOBACH, Martijn",Netherlands,M,50-59M,,,DNF
1,679,729,"MORIA, Marco",Netherlands,M,50-59M,,,DNF
1,679,747,"LAMBERS, Marco",Netherlands,M,40-49M,,,DNF
1,679,756,"BULTHUIS, Johan",Netherlands,M,50-59M,,,DNF
1,679,887,"KRUSE, Thomas",Netherlands,M,50-59M,,,DNF
1,679,963,"KAPPETIJN, Olaf",Netherlands,M,50-59M,,,DNF
1,679,1038,"WIERSTRA, Nico",Netherlands,M,50-59M,,,DNF
1,679,1046,"DE JONG, Richard ( Aah )",Netherlands,M,40-49M,,,DNF
1,679,1087,"VANOPZEELAND, Luuc",Netherlands,M,20-29M,,,DNF
1,679,1154,"VAN WAAS, Dick",Netherlands,M,50-59M,,,DNF
1,679,106,"SCHUILING, Theo",Netherlands,M,50-59M,,,DNS
1,679,130,"AGEMA, Arnold",Netherlands,M,40-49M,,,DNS
1,679,312,"CALKHOVEN, Manouk",Netherlands,F,31-45F,,,DNS
1,679,483,"VAN DER ZEL, Paul",Netherlands,M,50-59M,,,DNS
1,679,541,"AL, John",Netherlands,M,50-59M,,,DNS
1,679,607,"HAVERKAMP, Jeroen",Netherlands,M,50-59M,,,DNS
1,679,798,"DE ROOS, Maarten",Netherlands,M,40-49M,,,DNS
1,679,968,"PIETERSE, Jeffrey",Netherlands,M,40-49M,,,DNS
1,679,1031,"VEENBOER, Floyd",Netherlands,M,40-49M,,,DNS
1,679,1234,"KLUIVERS, Igor",Netherlands,M,40-49M,,,DNS
2,5,69,"VONK, Jordy",Netherlands,M,20-29M,00:33:02,5.0,
2,6,388,"DALDORF, Ingmar",Netherlands,M,30-39M,00:33:19,6.0,
2,17,1176,"WESTERA, Ethan",Netherlands,M,20-29M,00:34:22,17.0,
2,26,331,"WONDERGEM, Floris",Netherlands,M,16-19M,00:35:30,26.0,
2,29,9,"FRANS, Taty",Netherlands,M,30-39M,00:35:51,29.0,
